name	is_dir	size	date
Namco-Sega-Nintendo Triforce	True	-	02-Dec-2025 13:46
System 147	True	-	02-Dec-2025 13:44
System 148	True	-	02-Dec-2025 13:43
System 246	True	-	02-Dec-2025 14:57
System 246 MAME style	True	-	02-Dec-2025 14:01
System 357	True	-	02-Dec-2025 14:47
System 357 (RPCS3)	True	-	02-Dec-2025 14:42
System 369 (RPCS3)	True	-	02-Dec-2025 15:00
System 478	True	-	17-Dec-2025 03:05
System 573	True	-	17-Dec-2025 03:04
System BNA1	True	-	02-Dec-2025 14:49
System ES1	True	-	02-Dec-2025 14:56
System ES3	True	-	02-Dec-2025 15:06
System N2	True	-	02-Dec-2025 14:57
