name	is_dir	size	date
La Wares.zip	False	850.6 KiB	05-Oct-2025 22:22
Lady Stalker - Kako kara no Chousen.zip	False	1.7 MiB	05-Oct-2025 22:22
Lagoon.zip	False	952.0 KiB	05-Oct-2025 22:22
Lamborghini American Challenge.zip	False	438.9 KiB	05-Oct-2025 22:22
Langrisser, Der.zip	False	1.6 MiB	05-Oct-2025 22:22
Laplace no Ma.zip	False	800.2 KiB	05-Oct-2025 22:22
Last Action Hero.zip	False	343.6 KiB	05-Oct-2025 22:22
Last Battle, The.zip	False	1.1 MiB	05-Oct-2025 22:22
Last Bible III.zip	False	3.2 MiB	05-Oct-2025 22:22
Lawnmower Man, The.zip	False	416.6 KiB	05-Oct-2025 22:22
Leading Company.zip	False	282.4 KiB	05-Oct-2025 22:22
Legend of The Mystical Ninja, The.zip	False	9.8 MiB	05-Oct-2025 22:22
Legend of Zelda, The - A Link to the Past.zip	False	2.0 MiB	05-Oct-2025 22:22
Legend.zip	False	366.0 KiB	05-Oct-2025 22:22
Lemmings 2 - The Tribes.zip	False	530.0 KiB	05-Oct-2025 22:22
Lemmings.zip	False	1.0 MiB	05-Oct-2025 22:22
Lennus II - Fuuin no Shito.zip	False	2.7 MiB	05-Oct-2025 22:22
Lester the Unlikely.zip	False	539.7 KiB	05-Oct-2025 22:22
Lethal Enforcers.zip	False	1.1 MiB	05-Oct-2025 22:22
Lethal Weapon.zip	False	298.2 KiB	05-Oct-2025 22:22
Libble Rabble.zip	False	560.7 KiB	05-Oct-2025 22:22
Liberty or Death.zip	False	357.4 KiB	05-Oct-2025 22:22
Light Fantasy II.zip	False	906.2 KiB	05-Oct-2025 22:22
Light Fantasy.zip	False	972.2 KiB	05-Oct-2025 22:22
Lion King, The.zip	False	878.1 KiB	05-Oct-2025 22:22
Little Magic.zip	False	528.5 KiB	05-Oct-2025 22:22
Little Master - Nijiiro no Maseki.zip	False	1.6 MiB	05-Oct-2025 22:22
Live A Live.zip	False	2.3 MiB	05-Oct-2025 22:22
Lock On.zip	False	790.2 KiB	05-Oct-2025 22:22
Lode Runner Twin - Justy to Liberty no Daibouken.zip	False	1007.6 KiB	05-Oct-2025 22:22
Lodoss-tou Senki.zip	False	902.4 KiB	05-Oct-2025 22:22
Logos Panic Goaisatsu.zip	False	503.2 KiB	05-Oct-2025 22:22
Looney Tunes B-Ball.zip	False	1.8 MiB	05-Oct-2025 22:22
Lord Monarch.zip	False	352.4 KiB	05-Oct-2025 22:22
Lord of Darkness.zip	False	1.7 MiB	05-Oct-2025 22:22
Lost Vikings 2.zip	False	346.5 KiB	05-Oct-2025 22:22
Love Quest.zip	False	1.2 MiB	05-Oct-2025 22:22
Lucky Luke.zip	False	788.4 KiB	05-Oct-2025 22:22
Lufia & The Fortress of Doom.zip	False	1.3 MiB	05-Oct-2025 22:22
Lufia II - Rise of the Sinistrals.zip	False	2.4 MiB	05-Oct-2025 22:22
Lupin Sansei - Densetsu no Hihou o Oe!.zip	False	1.0 MiB	05-Oct-2025 22:22
MACS Basic Rifle Marksmanship.zip	False	48.1 KiB	05-Oct-2025 22:22
MLBPA Baseball.zip	False	1.6 MiB	05-Oct-2025 22:22
Madden NFL '94.zip	False	223.0 KiB	05-Oct-2025 22:22
Madden NFL 95.zip	False	566.6 KiB	05-Oct-2025 22:22
Madden NFL 96.zip	False	194.3 KiB	05-Oct-2025 22:22
Madden NFL 97.zip	False	433.7 KiB	05-Oct-2025 22:22
Madden NFL 98.zip	False	494.3 KiB	05-Oct-2025 22:22
Madou Monogatari - Hanamaru Daiyouchienji.zip	False	1.5 MiB	05-Oct-2025 22:22
Maerchen Adventure Cotton 100%.zip	False	1.2 MiB	05-Oct-2025 22:22
Magic Boy.zip	False	772.7 KiB	05-Oct-2025 22:22
Magic Knight Rayearth.zip	False	1.4 MiB	05-Oct-2025 22:22
Magic Sword.zip	False	918.8 KiB	05-Oct-2025 22:22
Magical Drop 2.zip	False	770.8 KiB	05-Oct-2025 22:22
Magical Drop.zip	False	564.8 KiB	05-Oct-2025 22:22
Magical Pop'n.zip	False	1.4 MiB	05-Oct-2025 22:22
Magical Quest Starring Mickey Mouse, The.zip	False	1.1 MiB	05-Oct-2025 22:22
Magical Taruruuto-kun - Magic Adventure.zip	False	713.8 KiB	05-Oct-2025 22:22
Magna Braban - Henreki no Yuusha.zip	False	1.1 MiB	05-Oct-2025 22:22
Mahjong Club.zip	False	63.1 KiB	05-Oct-2025 22:22
Mahjong Gokuu Tenjiku.zip	False	772.5 KiB	05-Oct-2025 22:22
Mahjong Hishouden - Shin Naki no Ryuu.zip	False	749.9 KiB	05-Oct-2025 22:22
Mahjong Taikai II.zip	False	1.3 MiB	05-Oct-2025 22:22
Mahjong Touhaiden, The.zip	False	1.3 MiB	05-Oct-2025 22:22
Mahou Poi Poi Poitto!.zip	False	566.2 KiB	05-Oct-2025 22:22
Mahoujin Guruguru 2.zip	False	1.2 MiB	05-Oct-2025 22:22
Mahoujin Guruguru.zip	False	1.9 MiB	05-Oct-2025 22:22
Majin Tensei II - Spiral Nemesis.zip	False	2.9 MiB	05-Oct-2025 22:22
Majin Tensei.zip	False	1.2 MiB	05-Oct-2025 22:22
Majuu Ou.zip	False	554.9 KiB	05-Oct-2025 22:22
Maka Maka.zip	False	1.5 MiB	05-Oct-2025 22:22
Makeruna! Makendou 2 - Kimero! Youkai Souridaijin.zip	False	975.5 KiB	05-Oct-2025 22:22
Manchester United Championship Soccer.zip	False	178.8 KiB	05-Oct-2025 22:22
Mario Is Missing!.zip	False	616.8 KiB	05-Oct-2025 22:22
Mario Paint.zip	False	2.3 MiB	05-Oct-2025 22:22
Mario no Super Picross.zip	False	1.4 MiB	05-Oct-2025 22:22
Mario to Wario.zip	False	1.2 MiB	05-Oct-2025 22:22
Mario's Time Machine.zip	False	834.8 KiB	05-Oct-2025 22:22
Mark Davis' The Fishing Master.zip	False	1.1 MiB	05-Oct-2025 22:22
Marko's Magic Football.zip	False	662.8 KiB	05-Oct-2025 22:22
Marvel Super Heroes in War of the Gems.zip	False	803.8 KiB	05-Oct-2025 22:22
Marvelous - Mouhitotsu no Takara-jima.zip	False	3.5 MiB	05-Oct-2025 22:22
Mary Shelley's Frankenstein.zip	False	634.5 KiB	05-Oct-2025 22:22
Mask, The.zip	False	1.2 MiB	05-Oct-2025 22:22
Maten Densetsu - Senritsu no Ooparts.zip	False	657.8 KiB	05-Oct-2025 22:22
Math Blaster - Episode 1.zip	False	413.1 KiB	05-Oct-2025 22:22
Matsumura Kunihiro Den - Saikyou no Rekishi o Nurikaero!.zip	False	645.3 KiB	05-Oct-2025 22:22
Maui Mallard in Cold Shadow.zip	False	563.6 KiB	05-Oct-2025 22:22
Mazinger Z.zip	False	1.1 MiB	05-Oct-2025 22:22
Mecarobot Golf.zip	False	834.2 KiB	05-Oct-2025 22:22
MechWarrior 3050.zip	False	485.5 KiB	05-Oct-2025 22:22
MechWarrior.zip	False	677.4 KiB	05-Oct-2025 22:22
Mega Man 7.zip	False	2.1 MiB	05-Oct-2025 22:22
Mega Man Soccer.zip	False	1.0 MiB	05-Oct-2025 22:22
Mega Man X.zip	False	1.6 MiB	05-Oct-2025 22:22
Mega Man X2.zip	False	1.5 MiB	05-Oct-2025 22:22
Mega Man X3.zip	False	1.5 MiB	05-Oct-2025 22:22
Mega-lo-Mania.zip	False	215.9 KiB	05-Oct-2025 22:22
