name	is_dir	size	date
Athletics.zip	False	301.4 KiB	05-Oct-2025 22:43
Baseball.zip	False	120.0 KiB	05-Oct-2025 22:43
Basketball.zip	False	417.9 KiB	05-Oct-2025 22:43
Boxing.zip	False	740.4 KiB	05-Oct-2025 22:43
Football.zip	False	227.7 KiB	05-Oct-2025 22:43
Golf.zip	False	313.5 KiB	05-Oct-2025 22:43
Hockey.zip	False	396.4 KiB	05-Oct-2025 22:43
Other.zip	False	762.6 KiB	05-Oct-2025 22:43
Soccer.zip	False	153.9 KiB	05-Oct-2025 22:43
Tennis.zip	False	507.8 KiB	05-Oct-2025 22:43
Volleyball.zip	False	206.3 KiB	05-Oct-2025 22:43
Wrestling.zip	False	513.4 KiB	05-Oct-2025 22:43
