name	is_dir	size	date
7th Dragon 2020 (Japan) [T-En by Geoff Embree v0.91].chd	False	734.7 MiB	01-Jan-2024 19:18
7th Dragon 2020-II (Japan) [T-En by Geoff Embree v0.91].chd	False	792.4 MiB	01-Jan-2024 19:22
AIR (Japan) [T-En by Patr0805 v0.9].chd	False	958.6 MiB	01-Jan-2024 20:46
Amagami (Japan) (ebKore Plus) [T-En by Ni-shi-shi Translations v1.0.0] [Ai & Haruka].chd	False	1.2 GiB	01-Jan-2024 23:17
Amagami (Japan) (ebKore Plus) [T-En by Ni-shi-shi Translations v1.0.0] [Rihoko & Sae].chd	False	1.2 GiB	01-Jan-2024 23:23
Amagami (Japan) (ebKore Plus) [T-En by Ni-shi-shi Translations v1.0.0] [Tsukasa & Kaoru].chd	False	1.2 GiB	01-Jan-2024 23:30
Armored Core - Formula Front International (Japan) [T-En by C&P-kyun v20211016].chd	False	399.6 MiB	30-Jun-2024 10:22
Bakemonogatari Portable (Japan) [T-En by Anime Game Translations Team v1.0].chd	False	1.2 GiB	01-Jan-2024 23:35
Certain Scientific Railgun, A (Japan) [T-En by JeruTz Translations v20220625] [n].chd	False	887.5 MiB	30-Jun-2024 10:28
Danball Senki Boost (Japan) [T-En by DSB Translation Team v1.0] [i].chd	False	1.4 GiB	01-Jan-2024 23:48
Danganronpa - Hope's Academy and Despair's Students (Japan) [T-En by Project Zetsubou v1.0] [n].chd	False	877.7 MiB	01-Jan-2024 19:26
Digimon Adventure (Japan) [T-En by Kazari v1.2].chd	False	1.3 GiB	01-Jan-2024 23:57
Digimon World - Re-Digitize (Japan) [T-En by Operation Decoded v1.1] [Dub version].chd	False	663.9 MiB	01-Jan-2024 18:12
Digimon World - Re-Digitize (Japan) [T-En by Operation Decoded v1.1] [Sub version].chd	False	663.9 MiB	01-Jan-2024 18:17
Disaster Report 3 - A Fading City and Her Song (Japan) [T-En by Geo-City Productions v1.1] [n].chd	False	1.0 GiB	01-Jan-2024 22:23
DotHack-Link (Japan) [T-En by Dothackers v2.0.2].chd	False	744.2 MiB	12-Jan-2024 19:38
Dragon Quest & Final Fantasy in Itadaki Street Portable (Japan) [T-En by MortoQueiba & Choppasmith Prerelease 3].chd	False	226.9 MiB	01-Jan-2024 18:18
Echo Night - The First Voyage (Japan) [T-En by Mugi & Tom & Xyz v1.00] [n].chd	False	29.3 MiB	01-Jan-2024 18:18
Evangelion - Girlfriend of Steel 2nd (Japan) [T-En by Binaryfail & Mugi & Jjjewel v1.02] [n].chd	False	205.0 MiB	01-Jan-2024 18:19
Evangelion - Girlfriend of Steel Portable (Japan) [T-En by Mugi & Xyz v1.01] [n].chd	False	264.9 MiB	01-Jan-2024 18:21
Ever17 - The Out of Infinity Premium Edition (Japan) [T-En by MrComputerRevo Beta4].chd	False	1.5 GiB	02-Jan-2024 00:08
Fate-Extra CCC (Japan) [T-En by CCC Translation Team v1.0] [low-res ruby font].chd	False	916.5 MiB	01-Jan-2024 20:50
Fate-Extra CCC (Japan) [T-En by CCC Translation Team v1.0].chd	False	916.5 MiB	01-Jan-2024 20:54
Final Fantasy Reishiki (Japan) [T-En by SkyBladeCloud v2].chd	False	2.3 GiB	02-Jan-2024 00:26
GA - Geijutsuka Art Design Class - Slapstick Wonder Land (Japan) [T-En by Nodamiki v1.0].chd	False	921.7 MiB	01-Jan-2024 20:59
God Eater 2 (Japan) [T-En by Gaikoz199 Beta] [i].chd	False	1.4 GiB	02-Jan-2024 00:31
God Eater 2 (Japan) [T-En by RedArtz v2.0].chd	False	1.4 GiB	30-Jun-2024 10:37
Grand Knights History (Japan) [T-En by Justfuit v1.16].chd	False	471.0 MiB	01-Jan-2024 18:23
Hatsune Miku - Project Diva (Japan) [T-En by Diva Fan Project v1.0].chd	False	1014.2 MiB	01-Jan-2024 22:28
Hatsune Miku - Project Diva 2nd (Japan) (Okaidokuban) [T-En by Diva Fan Project v0.82].chd	False	1.1 GiB	02-Jan-2024 11:08
Hatsune Miku - Project Diva 2nd (Japan) [T-En by Diva Fan Project v3.0].chd	False	1.1 GiB	02-Jan-2024 11:16
Hatsune Miku - Project Diva Extend (Japan) [T-En by Diva Fan Project v2.0 Rev2] [Classic].chd	False	710.2 MiB	01-Jan-2024 19:30
Hatsune Miku - Project Diva Extend (Japan) [T-En by Diva Fan Project v2.0 Rev2] [NewStyle].chd	False	1.2 GiB	02-Jan-2024 11:24
Haunted Zone, The (Japan) [T-En by Mugi & Tom & Xyz v1.00] [n].chd	False	13.8 MiB	01-Jan-2024 18:23
Idolmaster SP, The - Missing Moon (Japan, Asia) [T-En by TLWiki v0.41] [i].chd	False	1.1 GiB	30-Jun-2024 10:42
Idolmaster SP, The - Perfect Sun (Japan) [T-En by TLWiki v0.41] [i].chd	False	1.0 GiB	30-Jun-2024 10:46
Idolmaster SP, The - Perfect Sun (Japan) [T-En by TLWiki v0.41] [i].mp3	False	17.9 KiB	02-Aug-2024 19:09
Idolmaster SP, The - Perfect Sun (Japan) [T-En by TLWiki v0.41] [i].png	False	45.0 KiB	02-Aug-2024 19:46
Idolmaster SP, The - Perfect Sun (Japan) [T-En by TLWiki v0.41] [i]_spectrogram.png	False	5.2 KiB	02-Aug-2024 19:32
Idolmaster SP, The - Wandering Star (Japan, Asia) [T-En by TLWiki v0.41] [i].chd	False	1.1 GiB	30-Jun-2024 10:52
Idolmaster SP, The - Wandering Star (Japan, Asia) [T-En by TLWiki v0.41] [i].mp3	False	17.9 KiB	02-Aug-2024 19:19
