name	is_dir	size	date
01 Opening.mp3	False	593.9 KiB	28-Sep-2025 00:45
02 Credit.mp3	False	51.0 KiB	28-Sep-2025 00:45
03 The Deep Blue (Stage 1).mp3	False	1.7 MiB	28-Sep-2025 00:45
04 Iron Beast Warcry (Stage 2), Eagle Territory (Stage 5), Storm Fortress (Stage 10), Bell of Triumph (Stage 15).mp3	False	1.3 MiB	28-Sep-2025 00:45
05 Jungle Fight (Stage 3).mp3	False	1.8 MiB	28-Sep-2025 00:45
06 The Rock Fortress (Stage 4).mp3	False	1.5 MiB	28-Sep-2025 00:45
07 Devil Mountain (Stage 6).mp3	False	2.1 MiB	28-Sep-2025 00:45
08 Nightmare Valley (Stage 7).mp3	False	2.4 MiB	28-Sep-2025 00:45
09 Fields of War (Stage 8).mp3	False	899.9 KiB	28-Sep-2025 00:45
10 Muddy Interceptor (Stage 9).mp3	False	2.3 MiB	28-Sep-2025 00:45
11 Oil Legion (Stage 11).mp3	False	1.8 MiB	28-Sep-2025 00:45
12 Leviathan's Mouth (Stage 12).mp3	False	1.9 MiB	28-Sep-2025 00:45
13 Battle of Green Field (Stage 13).mp3	False	2.0 MiB	28-Sep-2025 00:45
14 The Last Duel (Stage 14).mp3	False	1.3 MiB	28-Sep-2025 00:45
15 Targets.mp3	False	1.7 MiB	28-Sep-2025 00:45
16 Stage Clear.mp3	False	168.6 KiB	28-Sep-2025 00:45
17 Ending.mp3	False	1.2 MiB	28-Sep-2025 00:45
18 Continue.mp3	False	1.0 MiB	28-Sep-2025 00:45
19 Game Over.mp3	False	77.5 KiB	28-Sep-2025 00:45
1944.txt	False	1.6 KiB	28-Sep-2025 00:45
20 Ranking.mp3	False	303.0 KiB	28-Sep-2025 00:45
21 Unused.mp3	False	259.7 KiB	28-Sep-2025 00:45
