name	is_dir	size	date
01 Neo Geo Logo.mp3	False	131.0 KiB	28-Sep-2025 00:55
02 The 100 Mega Shock!.mp3	False	106.3 KiB	28-Sep-2025 00:45
03 Fire Suplex (Title).mp3	False	1.5 MiB	28-Sep-2025 00:45
04 Come on, You Bastard! (Game Start).mp3	False	122.0 KiB	28-Sep-2025 00:45
05 How to Play (Demonstration).mp3	False	698.0 KiB	28-Sep-2025 00:45
06 Good Choice (Game Mode Select).mp3	False	1.7 MiB	28-Sep-2025 00:45
07 'Fire Muscle' Macho Man (Stage 1, 3, 5, 7, 9).mp3	False	1.7 MiB	28-Sep-2025 00:45
08 Dark Free Fall (Stage 2).mp3	False	1.5 MiB	28-Sep-2025 00:45
09 'Fighting Spirit' Mountain Guy (Stage 4).mp3	False	2.3 MiB	28-Sep-2025 00:45
10 Dirty Mexican Wall (Stage 6).mp3	False	1.6 MiB	28-Sep-2025 00:45
11 Burning Super Megaton Kick (Stage 8).mp3	False	1.8 MiB	28-Sep-2025 00:45
12 Terrible Master Barnes (Final Stage).mp3	False	1.4 MiB	28-Sep-2025 00:45
13 Theme of The Gandhara.mp3	False	560.8 KiB	28-Sep-2025 00:45
14 Theme of Leo Bradlay.mp3	False	495.0 KiB	28-Sep-2025 00:45
15 Theme of The Red Dragon.mp3	False	492.2 KiB	28-Sep-2025 00:45
16 Theme of Gochak Bigbomb.mp3	False	451.1 KiB	28-Sep-2025 00:45
17 Theme of Terry Rogers.mp3	False	451.1 KiB	28-Sep-2025 00:45
18 Theme of Blues Hablam.mp3	False	407.8 KiB	28-Sep-2025 00:45
19 Theme of Roy Wilson.mp3	False	535.5 KiB	28-Sep-2025 00:45
20 Theme of Big Bomberder.mp3	False	379.7 KiB	28-Sep-2025 00:45
21 Theme of Blubber Man.mp3	False	476.4 KiB	28-Sep-2025 00:45
22 Theme of Master Barnes.mp3	False	554.6 KiB	28-Sep-2025 00:45
23 Daaah! (Win).mp3	False	370.1 KiB	28-Sep-2025 00:45
24 Shit (Loss).mp3	False	479.2 KiB	28-Sep-2025 00:45
25 Oooaaarrrg! (Here Comes a New Player).mp3	False	55.7 KiB	28-Sep-2025 00:45
26 End of Bout (Game Over).mp3	False	54.5 KiB	28-Sep-2025 00:45
27 My Dear Wrestling (Ending).mp3	False	1.5 MiB	28-Sep-2025 00:45
3countb.txt	False	1.9 KiB	28-Sep-2025 00:45
