name	is_dir	size	date
01 Coin.mp3	False	48.1 KiB	28-Sep-2025 00:45
02 Game start - Soldier amatelass.mp3	False	2.2 MiB	28-Sep-2025 00:45
03 Restart - Soldier amatelass.mp3	False	2.2 MiB	28-Sep-2025 00:45
04 Last start - Soldier amatelass.mp3	False	2.2 MiB	28-Sep-2025 00:45
05 Theme of the Escapee.mp3	False	1.3 MiB	28-Sep-2025 00:45
06 Hell bird.mp3	False	2.2 MiB	28-Sep-2025 00:45
07 Gorgon head.mp3	False	1.1 MiB	28-Sep-2025 00:45
08 Bugdarian.mp3	False	1.2 MiB	28-Sep-2025 00:45
09 Lobster gunner.mp3	False	584.2 KiB	28-Sep-2025 00:45
10 Game clear.mp3	False	196.1 KiB	28-Sep-2025 00:45
11 Game over.mp3	False	148.2 KiB	28-Sep-2025 00:45
12 Orange Mountain Hill.mp3	False	1.2 MiB	28-Sep-2025 00:45
amazon.txt	False	1.0 KiB	28-Sep-2025 00:45
