name	is_dir	size	date
01 Title 1.mp3	False	114.7 KiB	28-Sep-2025 00:46
02 Credit.mp3	False	34.9 KiB	28-Sep-2025 00:46
03 Title 2.mp3	False	118.7 KiB	28-Sep-2025 00:46
04 Stage 1 Ruins.mp3	False	3.1 MiB	28-Sep-2025 00:46
05 Boss.mp3	False	3.2 MiB	28-Sep-2025 00:46
06 Stage Clear.mp3	False	120.4 KiB	28-Sep-2025 00:46
07 Stage 2 Subway.mp3	False	2.6 MiB	28-Sep-2025 00:46
08 Stage 3 Sewer.mp3	False	1.3 MiB	28-Sep-2025 00:46
09 Stage 4 Hanger.mp3	False	1.1 MiB	28-Sep-2025 00:46
10 Stage 5 Factory.mp3	False	1.9 MiB	28-Sep-2025 00:46
11 Stage 6 Passage.mp3	False	2.9 MiB	28-Sep-2025 00:46
12 Ending.mp3	False	461.2 KiB	28-Sep-2025 00:46
13 Name Entry.mp3	False	699.2 KiB	28-Sep-2025 00:46
14 Unused.mp3	False	118.7 KiB	28-Sep-2025 00:46
bullet.txt	False	1.1 KiB	28-Sep-2025 00:46
