name	is_dir	size	date
01 Opening Theme.mp3	False	1.6 MiB	28-Sep-2025 00:46
02 After the Battle.mp3	False	1.3 MiB	28-Sep-2025 00:46
03 Departure.mp3	False	1.4 MiB	28-Sep-2025 00:46
04 Enemy HQ.mp3	False	1.2 MiB	28-Sep-2025 00:46
05 Entrance to Abobo.mp3	False	892.2 KiB	28-Sep-2025 00:46
06 Industrial Areas.mp3	False	1.7 MiB	28-Sep-2025 00:46
07 Slums.mp3	False	2.7 MiB	28-Sep-2025 00:46
08 Woods.mp3	False	2.7 MiB	28-Sep-2025 00:46
09 Mission Complete.mp3	False	82.2 KiB	28-Sep-2025 00:46
10 Ending.mp3	False	1.0 MiB	28-Sep-2025 00:46
11 Unused 1.mp3	False	304.9 KiB	28-Sep-2025 00:46
12 Unused 2.mp3	False	139.0 KiB	28-Sep-2025 00:46
ddragon.txt	False	1.0 KiB	28-Sep-2025 00:46
