name	is_dir	size	date
01 Credit.mp3	False	49.2 KiB	28-Sep-2025 00:47
02 Questions.mp3	False	1.3 MiB	28-Sep-2025 00:47
03 Bonus.mp3	False	1.4 MiB	28-Sep-2025 00:47
04 Stage 1.mp3	False	735.5 KiB	28-Sep-2025 00:47
05 Map 2.mp3	False	255.7 KiB	28-Sep-2025 00:47
06 Age.mp3	False	497.5 KiB	28-Sep-2025 00:47
07 Game over.mp3	False	233.2 KiB	28-Sep-2025 00:47
08 Stage 2.mp3	False	769.8 KiB	28-Sep-2025 00:47
09 Stage 3.mp3	False	607.2 KiB	28-Sep-2025 00:47
10 Stage 4.mp3	False	581.9 KiB	28-Sep-2025 00:47
11 Stage 5.mp3	False	1.2 MiB	28-Sep-2025 00:47
12 Stage 6.mp3	False	813.1 KiB	28-Sep-2025 00:47
13 Stage 7.mp3	False	1.5 MiB	28-Sep-2025 00:47
14 Stage clear.mp3	False	110.0 KiB	28-Sep-2025 00:47
15 Opening.mp3	False	947.5 KiB	28-Sep-2025 00:47
16 Ending.mp3	False	2.5 MiB	28-Sep-2025 00:47
qsww.txt	False	1.3 KiB	28-Sep-2025 00:47
