name	is_dir	size	date
almathera clipart & fonts cd, the (europe).chd	False	81.0 MiB	28-Sep-2025 19:16
almathera comms & networking cd (europe).chd	False	72.5 MiB	28-Sep-2025 17:23
almathera photo library cd, the (europe).chd	False	464.9 MiB	28-Sep-2025 19:51
cdpd 1 (europe).chd	False	267.1 MiB	28-Sep-2025 18:38
cdpd 2 (europe).chd	False	263.3 MiB	28-Sep-2025 18:38
demo 1 (europe).chd	False	356.7 MiB	28-Sep-2025 22:16
illustrated works of shakespeare (europe).chd	False	16.4 MiB	28-Sep-2025 18:20
pandora's cd (europe) (alt).chd	False	281.5 MiB	28-Sep-2025 18:25
team yankee (europe) (ten on ten).chd	False	3.5 MiB	28-Sep-2025 17:57
world vista (europe).chd	False	267.5 MiB	28-Sep-2025 18:58
