name	is_dir	size	date
abc16.zip	False	35.1 KiB	28-Sep-2025 01:25
abc832.zip	False	20.7 KiB	28-Sep-2025 01:25
abcute.zip	False	74.0 KiB	28-Sep-2025 01:25
asm800.zip	False	58.2 KiB	28-Sep-2025 01:25
asm800a.zip	False	55.2 KiB	28-Sep-2025 01:25
catext.zip	False	73.8 KiB	28-Sep-2025 01:25
ccdos31.zip	False	525.5 KiB	28-Sep-2025 01:25
ccdos41.zip	False	65.4 KiB	28-Sep-2025 01:25
eeprom.zip	False	11.2 KiB	28-Sep-2025 01:25
inprak.zip	False	213.5 KiB	28-Sep-2025 01:25
llforth.zip	False	31.0 KiB	28-Sep-2025 01:25
meny0.zip	False	83.6 KiB	28-Sep-2025 01:25
misc1.zip	False	145.9 KiB	28-Sep-2025 01:25
misc2.zip	False	72.9 KiB	28-Sep-2025 01:25
misc3.zip	False	49.0 KiB	28-Sep-2025 01:25
ord800a.zip	False	45.0 KiB	28-Sep-2025 01:25
prod856.zip	False	81.0 KiB	28-Sep-2025 01:25
prodtest.zip	False	102.7 KiB	28-Sep-2025 01:25
snoka.zip	False	1.8 KiB	28-Sep-2025 01:25
sys850.zip	False	94.8 KiB	28-Sep-2025 01:25
syshd.zip	False	95.1 KiB	28-Sep-2025 01:25
systrans.zip	False	86.8 KiB	28-Sep-2025 01:25
teletex800.zip	False	5.4 MiB	28-Sep-2025 01:25
ufd631.zip	False	67.0 KiB	28-Sep-2025 01:25
ufd631a.zip	False	59.6 KiB	28-Sep-2025 01:25
