name	is_dir	size	date
acercpr.zip	False	809.1 KiB	28-Sep-2025 15:01
beos45.zip	False	675.6 KiB	28-Sep-2025 15:01
corellindx.zip	False	1.3 MiB	28-Sep-2025 15:01
freedos10.zip	False	168.3 KiB	28-Sep-2025 15:01
freedos12.zip	False	816.6 KiB	28-Sep-2025 15:01
freedos13.zip	False	809.1 KiB	28-Sep-2025 15:01
freedos14.zip	False	843.4 KiB	28-Sep-2025 15:01
win2k.zip	False	3.4 MiB	28-Sep-2025 15:01
win2kas.zip	False	3.4 MiB	28-Sep-2025 15:01
win2kasp1.zip	False	3.4 MiB	28-Sep-2025 15:01
win2kasrtm.zip	False	3.4 MiB	28-Sep-2025 15:01
win2kassp2.zip	False	3.4 MiB	28-Sep-2025 15:01
win2kassp3.zip	False	3.4 MiB	28-Sep-2025 15:01
win2krtm.zip	False	3.3 MiB	28-Sep-2025 15:01
win2ks.zip	False	3.4 MiB	28-Sep-2025 15:01
win2ksp1.zip	False	3.4 MiB	28-Sep-2025 15:01
win2ksp2.zip	False	3.4 MiB	28-Sep-2025 15:01
win2ksp3.zip	False	3.4 MiB	28-Sep-2025 15:01
win2ksrtm.zip	False	3.4 MiB	28-Sep-2025 15:01
win2kssp1.zip	False	3.4 MiB	28-Sep-2025 15:01
win2kssp2.zip	False	3.4 MiB	28-Sep-2025 15:01
win2kssp3.zip	False	3.4 MiB	28-Sep-2025 15:01
winnt31.zip	False	580.8 KiB	28-Sep-2025 15:01
winnt31_dede.zip	False	589.5 KiB	28-Sep-2025 15:01
winnt31_eses.zip	False	582.6 KiB	28-Sep-2025 15:01
winnt31_frfr.zip	False	586.3 KiB	28-Sep-2025 15:01
winnt31_itit.zip	False	756.5 KiB	28-Sep-2025 15:01
winnt31_nlnl.zip	False	781.9 KiB	28-Sep-2025 15:01
winnt31_ptbr.zip	False	604.6 KiB	28-Sep-2025 15:01
winnt31_svse.zip	False	670.5 KiB	28-Sep-2025 15:01
winnt31aso.zip	False	580.7 KiB	28-Sep-2025 15:01
winnt31o2.zip	False	290.2 KiB	28-Sep-2025 15:01
winnt35.zip	False	3.2 MiB	28-Sep-2025 15:01
winnt351.zip	False	1.6 MiB	28-Sep-2025 15:01
winnt351s.zip	False	1.6 MiB	28-Sep-2025 15:01
winnt35s.zip	False	3.2 MiB	28-Sep-2025 15:01
winnt40.zip	False	1.6 MiB	28-Sep-2025 15:01
winnt40o.zip	False	1.2 MiB	28-Sep-2025 15:01
winnt40s.zip	False	1.6 MiB	28-Sep-2025 15:01
winnt40so.zip	False	1.7 MiB	28-Sep-2025 15:01
winnt40ts.zip	False	1.7 MiB	28-Sep-2025 15:01
