name	is_dir	size	date
aitts.zip	False	3.6 MiB	28-Sep-2025 15:01
barbie.zip	False	4.0 MiB	28-Sep-2025 15:01
dora.zip	False	3.7 MiB	28-Sep-2025 15:01
dpmagic.zip	False	3.9 MiB	28-Sep-2025 15:01
holidaywl.zip	False	3.8 MiB	28-Sep-2025 15:01
jjs.zip	False	4.0 MiB	28-Sep-2025 15:01
jungboog.zip	False	4.2 MiB	28-Sep-2025 15:01
pianfav.zip	False	3.5 MiB	28-Sep-2025 15:01
pophits.zip	False	4.2 MiB	28-Sep-2025 15:01
rdp.zip	False	3.3 MiB	28-Sep-2025 15:01
scoobymm.zip	False	4.1 MiB	28-Sep-2025 15:01
showtune.zip	False	4.3 MiB	28-Sep-2025 15:01
wizardoz.zip	False	3.8 MiB	28-Sep-2025 15:01
