name	is_dir	size	date
1080snow.zip	False	10.7 MiB	28-Sep-2025 15:08
dk64.zip	False	26.3 MiB	28-Sep-2025 15:08
drmar64.zip	False	2.9 MiB	28-Sep-2025 15:08
eeerase.zip	False	30.5 KiB	28-Sep-2025 15:08
excitb64.zip	False	15.0 MiB	28-Sep-2025 15:08
fzerox.zip	False	12.4 MiB	28-Sep-2025 15:08
gauntleg.zip	False	14.0 MiB	28-Sep-2025 15:08
hydroth.zip	False	18.8 MiB	28-Sep-2025 15:08
kirby64.zip	False	11.6 MiB	28-Sep-2025 15:08
marioglf.zip	False	16.5 MiB	28-Sep-2025 15:08
mariokrt.zip	False	8.6 MiB	28-Sep-2025 15:08
mariopr3.zip	False	24.3 MiB	28-Sep-2025 15:08
marioten.zip	False	14.1 MiB	28-Sep-2025 15:08
midwaygh.zip	False	1.8 MiB	28-Sep-2025 15:08
mk4.zip	False	13.0 MiB	28-Sep-2025 15:08
ntetris.zip	False	9.7 MiB	28-Sep-2025 15:08
papermar.zip	False	34.7 MiB	28-Sep-2025 15:08
pilotwin.zip	False	5.2 MiB	28-Sep-2025 15:08
pokesnap.zip	False	8.7 MiB	28-Sep-2025 15:08
r2rumble.zip	False	28.9 MiB	28-Sep-2025 15:08
rampage2.zip	False	10.4 MiB	28-Sep-2025 15:08
rush2.zip	False	10.9 MiB	28-Sep-2025 15:08
sm64u.zip	False	5.9 MiB	28-Sep-2025 15:08
smashbro.zip	False	11.9 MiB	28-Sep-2025 15:08
starfox.zip	False	10.1 MiB	28-Sep-2025 15:08
swrogue.zip	False	13.8 MiB	28-Sep-2025 15:08
vchess.zip	False	2.7 MiB	28-Sep-2025 15:08
vpool.zip	False	2.4 MiB	28-Sep-2025 15:08
waverace.zip	False	5.9 MiB	28-Sep-2025 15:08
yoshisto.zip	False	9.2 MiB	28-Sep-2025 15:08
zeldamaj.zip	False	26.2 MiB	28-Sep-2025 15:08
zeldaoot.zip	False	25.3 MiB	28-Sep-2025 15:08
