name	is_dir	size	date
#	True	-	04-Oct-2025 19:56
A	True	-	04-Oct-2025 19:57
B	True	-	04-Oct-2025 20:03
C	True	-	04-Oct-2025 20:03
D	True	-	04-Oct-2025 20:03
E	True	-	04-Oct-2025 20:04
F	True	-	04-Oct-2025 20:07
G	True	-	04-Oct-2025 20:08
H	True	-	04-Oct-2025 20:10
I	True	-	04-Oct-2025 20:11
J	True	-	04-Oct-2025 20:17
K	True	-	04-Oct-2025 20:14
L	True	-	04-Oct-2025 20:16
M	True	-	04-Oct-2025 20:18
N	True	-	04-Oct-2025 20:18
O	True	-	04-Oct-2025 20:18
P	True	-	04-Oct-2025 20:20
Q	True	-	04-Oct-2025 20:19
R	True	-	04-Oct-2025 20:21
S	True	-	04-Oct-2025 20:25
T	True	-	04-Oct-2025 20:29
U	True	-	04-Oct-2025 20:22
V	True	-	04-Oct-2025 20:23
W	True	-	04-Oct-2025 20:25
X	True	-	04-Oct-2025 20:25
Y	True	-	04-Oct-2025 20:26
