name	is_dir	size	date
All-American Rejects - Swing_ Swing	False	30.9 MiB	09-May-2023 16:29
Blink-182 - Aliens Exist	False	27.5 MiB	09-May-2023 16:29
Blur - Song 2	False	19.4 MiB	09-May-2023 16:28
Bon Jovi - You Give Love a Bad Name	False	33.0 MiB	09-May-2023 16:27
Boys Like Girls - Thunder	False	30.7 MiB	09-May-2023 16:28
Bryan Adams - Summer of '69	False	29.0 MiB	09-May-2023 16:29
Carl Douglas - Kung Fu Fighting	False	27.8 MiB	09-May-2023 16:28
Counting Crows - Accidentally in Love	False	24.3 MiB	09-May-2023 16:28
David Bowie - Let's Dance	False	40.1 MiB	09-May-2023 16:28
Elton John - Crocodile Rock	False	24.1 MiB	09-May-2023 16:28
Europe - The Final Countdown	False	45.8 MiB	09-May-2023 16:28
Everlife - Real Wild Child	False	21.8 MiB	09-May-2023 16:29
Foo Fighters - Breakout	False	24.7 MiB	09-May-2023 16:28
Good Charlotte - Girls & Boys	False	30.2 MiB	09-May-2023 16:28
Iggy Pop - The Passenger	False	41.9 MiB	09-May-2023 16:29
Incubus - Dig	False	36.6 MiB	09-May-2023 16:28
KT Tunstall - Suddenly I See	False	21.2 MiB	09-May-2023 16:28
Kaiser Chiefs - Ruby	False	31.5 MiB	09-May-2023 16:28
Katrina and the Waves - Walking on Sunshin	False	39.0 MiB	09-May-2023 16:29
KoRn - Word Up!	False	27.3 MiB	09-May-2023 16:29
Lostprophets - Rooftops (A Liberation Broa	False	31.2 MiB	09-May-2023 16:28
P!nk - So What	False	37.4 MiB	09-May-2023 16:28
Queen - We Are the Champions	False	25.0 MiB	09-May-2023 16:29
Queen - We Will Rock You	False	13.5 MiB	09-May-2023 16:29
Rascal Flatts - Life Is a Highway	False	31.5 MiB	09-May-2023 16:29
Ray Parker Jr - Ghostbusters	False	39.1 MiB	09-May-2023 16:27
Razorlight - Stumble and Fall	False	24.4 MiB	09-May-2023 16:28
Spin Doctors - Two Princes	False	38.3 MiB	09-May-2023 16:29
Spinal Tap - Short and Sweet	False	44.2 MiB	09-May-2023 16:29
Steve Harley & Cockney Rebel - Make Me Smi	False	34.3 MiB	09-May-2023 16:29
Sum 41 - In Too Deep	False	28.3 MiB	09-May-2023 16:28
Supergrass - Grace	False	19.0 MiB	09-May-2023 16:28
T. Rex - Ride a White Swan	False	15.5 MiB	09-May-2023 16:28
The Automatic - Monster	False	30.8 MiB	09-May-2023 16:28
The Coral - Dreaming of You	False	18.3 MiB	09-May-2023 16:29
The Hives - Tick Tick Boom	False	33.1 MiB	09-May-2023 16:29
The Jackson 5 - I Want You Back	False	23.1 MiB	09-May-2023 16:28
The Jimi Hendrix Experience - Fire	False	14.9 MiB	09-May-2023 16:29
The Kooks - Na_ve	False	26.0 MiB	09-May-2023 16:28
The Police - Every Little Thing She Does I	False	36.4 MiB	09-May-2023 16:28
The Primitives - Crash	False	22.9 MiB	09-May-2023 16:28
The Zutons - Valerie	False	32.3 MiB	09-May-2023 16:29
Tom Petty - Free Fallin'	False	33.0 MiB	09-May-2023 16:28
Vampire Weekend - A-Punk	False	16.1 MiB	09-May-2023 16:27
We the Kings - Check Yes Juliet	False	32.4 MiB	09-May-2023 16:28
