name	is_dir	size	date
C3 Universe Pack 01.pkg	False	7.4 GiB	18-Mar-2022 22:36
Guitar Hero 5 Export Pack.pkg	False	4.2 GiB	18-Mar-2022 22:32
Guitar Hero Metallica Export Pack.pkg	False	2.2 GiB	18-Mar-2022 22:26
Guitar Hero Smash Hits Export Pack.pkg	False	466.8 MiB	18-Mar-2022 22:24
Guitar Hero Van Halen Export Pack.pkg	False	827.9 MiB	18-Mar-2022 22:29
Guitar Hero Warriors of Rock Export Pack.pkg	False	3.8 GiB	18-Mar-2022 22:34
Guitar Hero World Tour Export Pack.pkg	False	4.8 GiB	18-Mar-2022 22:31
Led Zeppelin Song Pack.pkg	False	270.6 MiB	18-Mar-2022 22:24
The Beatles Rock Band Export Pack.pkg	False	1.3 GiB	18-Mar-2022 22:27
UP8802-CUSA02084_00-RBN1PERFECTPORT1-A0000-V0100.pkg	False	13.0 GiB	13-Mar-2022 00:53
UP8802-CUSA02084_00-RBN1PERFECTPORT2-A0000-V0100.pkg	False	12.8 GiB	13-Mar-2022 00:57
UP8802-CUSA02084_00-RBN2PERFECTPORT1-A0000-V0100.pkg	False	16.1 GiB	12-Mar-2022 22:45
UP8802-CUSA02084_00-RBN2PERFECTPORT2-A0000-V0100.pkg	False	16.2 GiB	12-Mar-2022 22:48
