name	is_dir	size	date
xp-rbn-2011-01-31.nfo	False	7.1 KiB	29-Dec-2021 22:42
xp-rbn-2011-01-31.r00	False	47.7 MiB	29-Dec-2021 22:42
xp-rbn-2011-01-31.r01	False	47.7 MiB	29-Dec-2021 22:42
xp-rbn-2011-01-31.r02	False	47.7 MiB	29-Dec-2021 22:42
xp-rbn-2011-01-31.r03	False	47.7 MiB	29-Dec-2021 22:42
xp-rbn-2011-01-31.r04	False	47.7 MiB	29-Dec-2021 22:42
xp-rbn-2011-01-31.r05	False	47.7 MiB	29-Dec-2021 22:42
xp-rbn-2011-01-31.r06	False	47.7 MiB	29-Dec-2021 22:42
xp-rbn-2011-01-31.r07	False	28.1 MiB	29-Dec-2021 22:42
xp-rbn-2011-01-31.rar	False	47.7 MiB	29-Dec-2021 22:42
xp-rbn-2011-01-31.sfv	False	279 B	29-Dec-2021 22:41
