name	is_dir	size	date
dry50.zip	False	4.4 GiB	05-Jun-2024 00:46
dry51.zip	False	4.4 GiB	05-Jun-2024 02:00
dry52.zip	False	4.5 GiB	05-Jun-2024 00:47
dry53.zip	False	4.4 GiB	05-Jun-2024 01:57
dry54.zip	False	4.4 GiB	05-Jun-2024 02:02
dry55.zip	False	4.4 GiB	05-Jun-2024 02:05
dry56.zip	False	4.5 GiB	05-Jun-2024 02:06
dry57.zip	False	4.4 GiB	05-Jun-2024 02:10
dry58.zip	False	4.4 GiB	05-Jun-2024 02:04
dry59.zip	False	4.4 GiB	05-Jun-2024 02:08
dry5a.zip	False	4.4 GiB	05-Jun-2024 00:41
dry5b.zip	False	4.5 GiB	05-Jun-2024 01:57
dry5c.zip	False	4.4 GiB	05-Jun-2024 00:42
dry5d.zip	False	4.4 GiB	05-Jun-2024 00:43
dry5e.zip	False	4.4 GiB	05-Jun-2024 00:44
dry5f.zip	False	4.5 GiB	05-Jun-2024 00:45
