name	is_dir	size	date
1943 (World) (Aftermarket) (Unl).zip	False	2.6 MiB	17-Feb-2025 17:50
2048 (World) (Aftermarket) (Unl).zip	False	11.7 KiB	17-Feb-2025 17:50
Abbaye des Morts, L' (World) (Demo) (Aftermarket) (Unl).zip	False	156.9 KiB	17-Feb-2025 17:50
Abyss (World) (v0.74) (Proto) (Aftermarket) (Unl).zip	False	473.6 KiB	17-Feb-2025 17:50
Action Fighter (World) (Aftermarket) (Unl).zip	False	1.4 MiB	17-Feb-2025 17:50
Aircars (World) (Aftermarket) (Unl).zip	False	1.2 MiB	17-Feb-2025 17:50
Alice's Mom's Rescue (World) (En,Fr,De,Es,It) (Aftermarket) (Unl).zip	False	3.7 MiB	17-Feb-2025 17:50
Alien Syndrome (World) (Aftermarket) (Unl).zip	False	433.8 KiB	17-Feb-2025 17:50
Arena Football '95 (World) (Aftermarket) (Unl).zip	False	2.0 MiB	17-Feb-2025 17:50
Arkanna (World) (Demo) (Aftermarket) (Unl).zip	False	91.8 KiB	17-Feb-2025 17:50
Arkanoid - Revenge of DoH (World) (Aftermarket) (Unl).zip	False	2.3 MiB	17-Feb-2025 17:50
Assassin, The (World) (Demo 1) (Aftermarket) (Unl).zip	False	31.2 KiB	17-Feb-2025 17:50
Assassin, The (World) (Demo 2) (Aftermarket) (Unl).zip	False	177.1 KiB	17-Feb-2025 17:50
Asteroids (World) (Aftermarket) (Unl).zip	False	138.4 KiB	17-Feb-2025 17:50
AstroStorm (World) (v1.43) (Digital) (Aftermarket) (Unl).zip	False	693.4 KiB	17-Feb-2025 17:50
Atomic (World) (Aftermarket) (Unl).zip	False	314.8 KiB	17-Feb-2025 17:50
Atomic Reloaded (World) (Aftermarket) (Unl).zip	False	633.7 KiB	17-Feb-2025 17:50
Bad Apple (World) (Color Version) (Aftermarket) (Unl).zip	False	5.7 MiB	17-Feb-2025 17:50
Bad Apple (World) (Monochrome Version) (Aftermarket) (Unl).zip	False	5.4 MiB	17-Feb-2025 17:50
Badlands (World) (Aftermarket) (Unl).zip	False	3.5 MiB	17-Feb-2025 17:50
Barbarian (World) (AMIGA) (Aftermarket) (Unl).zip	False	252.0 KiB	17-Feb-2025 17:50
Barbarian (World) (Atari ST) (Aftermarket) (Unl).zip	False	1.5 MiB	17-Feb-2025 17:50
Barkley Shut Up and Jam (World) (Aftermarket) (Unl).zip	False	3.5 MiB	17-Feb-2025 17:50
Battle Sphere (World) (Aftermarket) (Unl).zip	False	2.3 MiB	17-Feb-2025 17:50
Battle Sphere Gold (World) (Aftermarket) (Unl).zip	False	2.2 MiB	17-Feb-2025 17:50
Beach Volley (World) (Aftermarket) (Unl).zip	False	1.2 MiB	17-Feb-2025 17:50
Beast Busters (World) (Aftermarket) (Unl).zip	False	2.7 MiB	17-Feb-2025 17:50
Beebris (World) (Aftermarket) (Unl).zip	False	707.5 KiB	17-Feb-2025 17:50
Bionic Commando (World) (Aftermarket) (Unl).zip	False	2.9 MiB	17-Feb-2025 17:50
Biopede (World) (v1.3) (Aftermarket) (Unl).zip	False	718.9 KiB	17-Feb-2025 17:50
Black Jag - Hyper Power League (World) (v1.01) (Demo) (Aftermarket) (Unl).zip	False	156.4 KiB	17-Feb-2025 17:50
Black Jag - Hyper Power League (World) (v1.02) (Demo) (Aftermarket) (Unl).zip	False	149.8 KiB	17-Feb-2025 17:50
Black Jag - Hyper Power League (World) (v1.03) (Demo) (Aftermarket) (Unl).zip	False	211.7 KiB	17-Feb-2025 17:50
Black Lamp (World) (Aftermarket) (Unl).zip	False	814.1 KiB	17-Feb-2025 17:50
Blackhole (World) (Proto) (Aftermarket) (Unl).zip	False	443.4 KiB	17-Feb-2025 17:50
Block'em Sock'em (World) (Digital) (Aftermarket) (Unl).zip	False	1.3 MiB	17-Feb-2025 17:50
Boingy (World) (Demo 1) (Aftermarket) (Unl).zip	False	442.7 KiB	17-Feb-2025 17:50
