name	is_dir	size	date
2069 AD (Japan) (Disk 1 - A).zip	False	18.7 MiB	08-Jun-2023 05:07
2069 AD (Japan) (Disk 2 - B).zip	False	18.5 MiB	08-Jun-2023 05:07
2069 AD (Japan) (Disk 3 - C).zip	False	18.4 MiB	08-Jun-2023 05:07
A Ressha de Ikou IV (Japan) (System Disk).zip	False	15.5 MiB	08-Jun-2023 05:07
Ai Shimai - Futari no Kajitsu (Japan) (Disk 1 - A).zip	False	19.3 MiB	03-May-2023 10:51
Ai Shimai - Futari no Kajitsu (Japan) (Disk 2 - B).zip	False	17.8 MiB	03-May-2023 10:54
Ai Shimai - Futari no Kajitsu (Japan) (Disk 3 - C).zip	False	19.1 MiB	03-May-2023 10:57
Ai Shimai - Futari no Kajitsu (Japan) (Disk 4 - D).zip	False	18.3 MiB	03-May-2023 11:00
Air Management - Oozora ni Kakeru (Japan).zip	False	18.1 MiB	08-Jun-2023 05:07
Air Warrior V2 (Japan) (v2.1L10) (Kidou Disk).zip	False	17.7 MiB	08-Jun-2023 05:07
Air Warrior V2 (Japan) (v2.1L10) (Marty Kidou Disk).zip	False	17.0 MiB	08-Jun-2023 05:07
Cameltry (Japan) (3.5 inch).zip	False	22.9 MiB	03-May-2023 11:03
DOR (Japan) (3.5 inch).zip	False	71.0 MiB	03-May-2023 11:27
DOR Part 3 (Japan) (3.5 inch).zip	False	79.1 MiB	03-May-2023 11:39
Daisenryaku III '90 Map Collection Vol. 1 (Japan) (3.5 inch).zip	False	15.0 MiB	03-May-2023 11:06
Dinosaur (Japan) (3.5 inch).zip	False	61.3 MiB	03-May-2023 11:15
Doukyuusei 2 Special Disk (Japan) (3.5 inch).zip	False	57.7 MiB	03-May-2023 11:48
Dragon Knight 4 Special Disk (Japan) (3.5 inch).zip	False	32.1 MiB	03-May-2023 11:53
Dragon Slayer - The Legend of Heroes (Japan) (3.5 inch).zip	False	60.5 MiB	03-May-2023 12:02
Dragon Slayer - The Legend of Heroes II (Japan) (3.5 inch).zip	False	102.9 MiB	03-May-2023 12:17
Elle (Japan) (3.5 inch).zip	False	100.6 MiB	03-May-2023 12:32
Emit Vol. 1 - Toki no Maigo (Japan) (3.5 inch).zip	False	16.1 MiB	03-May-2023 12:35
Emit Vol. 2 - Inochigake no Tabi (Japan) (3.5 inch).zip	False	13.0 MiB	03-May-2023 12:37
Emit Vol. 3 - Watashi ni Sayonara o (Japan) (3.5 inch).zip	False	14.7 MiB	03-May-2023 12:40
Gulf War - Soukouden (Japan) (3.5 inch).zip	False	14.5 MiB	03-May-2023 12:43
Leading Company - Keys of the City (Japan) (3.5 inch).zip	False	14.7 MiB	03-May-2023 12:46
Lip 3 - Lipstick Adventure 3 (Japan) (3.5 inch).zip	False	16.2 MiB	03-May-2023 12:49
Metal Eye Special Disk (Japan) (3.5 inch).zip	False	39.3 MiB	03-May-2023 12:55
Music Pro-Towns (Japan) (3.5 inch).zip	False	22.7 MiB	03-May-2023 12:58
New 3D Golf Simulation - Harukanaru Augusta (Japan) (3.5 inch).zip	False	13.6 MiB	03-May-2023 13:01
Nonomura Byouin no Hitobito (Japan) (3.5 inch).zip	False	101.5 MiB	03-May-2023 13:15
Premium (Japan) (3.5 inch).zip	False	68.1 MiB	03-May-2023 13:27
Quiz Banchou (Japan) (3.5 inch).zip	False	62.4 MiB	03-May-2023 13:36
S.A. 2 (Japan) (3.5 inch).zip	False	19.1 MiB	03-May-2023 13:38
Shangrlia (Japan) (3.5 inch).zip	False	76.5 MiB	03-May-2023 13:50
Shangrlia 2 Special Disk (Japan) (3.5 inch).zip	False	34.7 MiB	03-May-2023 13:56
Shinjuku Labyrinth (Japan) (3.5 inch).zip	False	18.2 MiB	03-May-2023 13:58
Super Ultra Mucchin Puripuri Cyborg Maririn DX (Japan) (3.5 inch).zip	False	52.2 MiB	03-May-2023 14:07
Sweet Angel (Japan) (3.5 inch).zip	False	45.2 MiB	03-May-2023 14:13
Sweet Angel (Japan) (Disk A) (3.5 inch).zip	False	26.8 MiB	08-Jun-2023 05:07
Sweet Angel (Japan) (Disk B) (3.5 inch).zip	False	24.8 MiB	08-Jun-2023 05:07
Towns Karaoke (Japan) (v1.1L10) (3.5 inch).zip	False	16.5 MiB	03-May-2023 14:16
