name	is_dir	size	date
#Kocchi Muite - Megochii V (World) (Ja) (Windows).zip	False	60.5 MiB	02-Sep-2025 06:35
#Leo-kun White Day Kikaku (World) (Ja) (Windows).zip	False	80.7 MiB	02-Sep-2025 06:35
#Uchi no Ko Yuzurimasu (World) (Ja) (Windows).zip	False	66.5 MiB	02-Sep-2025 06:35
'Hai' o Oshitaku naru Game (World) (Ja) (Windows).zip	False	43.0 MiB	02-Sep-2025 07:48
-196 - Dai-1-bu - Seimei no Inga (World) (Ja) (Windows).zip	False	76.7 MiB	02-Sep-2025 06:36
1 Minute 1 Week (World) (Ja) (Windows).zip	False	87.0 MiB	02-Sep-2025 06:35
1 Minute Irreversible (World) (Ja) (Windows).zip	False	68.3 MiB	02-Sep-2025 06:35
1-8 no Sentaku (World) (Ja) (Windows).zip	False	240.0 MiB	02-Sep-2025 06:35
1-nichi dake no Tenkousei (World) (Ja) (Windows).zip	False	86.3 MiB	02-Sep-2025 06:35
1-punkan no Isekai & Tyrano Builder Kaisetsu (World) (Ja) (Windows).zip	False	51.5 MiB	02-Sep-2025 06:35
1-sshuukan (World) (Ja) (Windows).zip	False	56.9 MiB	02-Sep-2025 06:35
10% to Sukoshi no Shiawase (World) (Ja) (Windows).zip	False	40.1 MiB	02-Sep-2025 06:35
10-gatsu 32-nichi no Halloween (World) (Ja) (Windows).zip	False	195.0 MiB	02-Sep-2025 06:35
1001 no Ryokou (World) (Ja) (Windows).zip	False	129.2 MiB	02-Sep-2025 06:36
11-gatsu no Trick (World) (Ja) (Windows).zip	False	48.7 MiB	02-Sep-2025 06:35
14-sai kara no Dasshutsu. (World) (Ja) (Windows).zip	False	57.9 MiB	02-Sep-2025 06:35
1=1x1 (World) (Ja) (Windows).zip	False	63.4 MiB	02-Sep-2025 06:35
2-5 Frontier (World) (Ja) (Windows).zip	False	458.3 MiB	02-Sep-2025 06:36
2-ri ga Meguri Au Toki (World) (Ja) (Windows).zip	False	42.4 MiB	02-Sep-2025 06:35
2-tsu no Kokoro (World) (Ja) (Windows).zip	False	106.1 MiB	02-Sep-2025 06:35
2021 - A Moon Odyssey (World) (Ja) (Windows).zip	False	146.5 MiB	02-Sep-2025 06:36
221B Futari no Tantei - Watson Yaku kara no Dasshutsu (World) (Ja) (Windows).zip	False	102.9 MiB	02-Sep-2025 06:36
3 (World) (Ja) (Windows).zip	False	37.6 MiB	02-Sep-2025 06:35
3 Men 6P! (World) (Ja) (Windows).zip	False	158.4 MiB	02-Sep-2025 06:35
3-mei, Fusoku. (World) (Ja) (Windows).zip	False	80.2 MiB	02-Sep-2025 06:35
3-nin no Kowai (World) (Ja) (Windows).zip	False	79.2 MiB	02-Sep-2025 06:35
4-gatsu, Toshoshitsu o Deru. (World) (Ja) (Windows).zip	False	89.3 MiB	02-Sep-2025 06:35
4-nin no Ikenie Kami-sama ni Sukareta Daigakusei no Nichijou (World) (Ja) (Windows).zip	False	123.2 MiB	02-Sep-2025 06:35
5 Alias (World) (Ja) (Windows).zip	False	126.3 MiB	02-Sep-2025 06:35
5-fun de Noutore! Refresh Aha Taiken (World) (Ja) (Windows).zip	False	63.1 MiB	02-Sep-2025 06:35
5-fun de Tsukureru! Anata no Bakagee (World) (Ja) (Windows).zip	False	152.1 MiB	02-Sep-2025 06:35
5-moji Talk Miyoko-chan (World) (Ja) (Windows).zip	False	39.4 MiB	02-Sep-2025 06:35
5.5-inch no Mado (World) (Ja) (Windows).zip	False	46.3 MiB	02-Sep-2025 06:35
6-gatsu no Kimi e (World) (Ja) (Windows).zip	False	79.0 MiB	02-Sep-2025 06:35
6-gatsu no Marriage Blue (World) (Ja) (Windows).zip	False	97.4 MiB	02-Sep-2025 06:35
60-byou Arya Hito o Korosu ni wa Juubun nanda yo (World) (Ja) (Windows).zip	False	59.8 MiB	02-Sep-2025 06:35
60-byou Kidan (World) (Ja) (Windows).zip	False	93.6 MiB	02-Sep-2025 06:35
7-banme no Kaidan (World) (Ja) (Windows).zip	False	61.4 MiB	02-Sep-2025 06:35
7-ji 45-fun, Densha nite. (World) (Ja) (Windows).zip	False	96.7 MiB	02-Sep-2025 06:35
7-kame no Hanayome (World) (Ja) (Windows).zip	False	105.4 MiB	02-Sep-2025 06:35
7-tsume no Shinzou (World) (Ja) (Windows).zip	False	64.6 MiB	02-Sep-2025 06:35
705-gou Shitsu (World) (Ja) (Windows).zip	False	90.6 MiB	02-Sep-2025 06:36
7th Room Escape (World) (Ja) (Windows).zip	False	39.9 MiB	02-Sep-2025 06:35
8-banme no Alice - Kanzen Ban (World) (Ja) (Windows).zip	False	187.8 MiB	02-Sep-2025 06:35
8-gatsu no Koukousei (World) (Ja) (Windows).zip	False	39.3 MiB	02-Sep-2025 06:35
99 (World) (Ja) (Windows).zip	False	78.0 MiB	02-Sep-2025 06:35
A+U (World) (Ja) (Windows).zip	False	106.2 MiB	02-Sep-2025 06:37
A-kun to Matsuri no Mukou - Ayanasu (World) (Ja) (Windows).zip	False	388.8 MiB	02-Sep-2025 06:41
A-kun to Matsuri no Mukou - Ayanasu - Kobetsu Route (World) (Ja) (Windows).zip	False	467.0 MiB	02-Sep-2025 06:41
AB-3! Shiragiku no Kimi Hen (World) (Ja) (Windows).zip	False	64.2 MiB	02-Sep-2025 06:37
Aa Mou Maji Mocchan da wa. (World) (Ja) (Windows).zip	False	59.0 MiB	02-Sep-2025 06:37
Abekobe Rii-chan (World) (Ja) (Windows).zip	False	107.6 MiB	02-Sep-2025 06:37
Abnormal Heart (World) (Ja) (Windows).zip	False	158.8 MiB	02-Sep-2025 06:38
Adazakura no Koi (World) (Ja) (Windows).zip	False	107.9 MiB	02-Sep-2025 06:38
Adel to Tsuta no Tokeitou (World) (Ja) (Windows).zip	False	45.7 MiB	02-Sep-2025 06:37
Adelgeia - Chapter 5 (World) (Ja) (Windows).zip	False	249.2 MiB	02-Sep-2025 06:38
Adelgeia Suisou (World) (Ja) (Windows).zip	False	236.2 MiB	02-Sep-2025 06:38
Adieu (World) (Ja) (Windows).zip	False	56.4 MiB	02-Sep-2025 06:37
Advent Calendar (World) (Ja) (Windows).zip	False	120.0 MiB	02-Sep-2025 06:38
After Noel (World) (Ja) (Windows).zip	False	144.5 MiB	02-Sep-2025 06:38
Again Love (World) (Ja) (Windows).zip	False	93.3 MiB	02-Sep-2025 06:38
