name	is_dir	size	date
1000 Miglia (Unknown) (Disk 1).zip	False	21.9 MiB	03-May-2023 14:42
1000 Miglia (Unknown) (Disk 2).zip	False	24.9 MiB	03-May-2023 14:42
1000 Miglia (Unknown) (Disk 3).zip	False	21.3 MiB	03-May-2023 14:42
3D Construction Kit (Disk 1) (Unknown) (3.5 inch).zip	False	23.0 MiB	03-May-2023 14:42
3D Construction Kit (Disk 2) (Unknown) (3.5 inch).zip	False	23.0 MiB	03-May-2023 14:42
3D World Boxing (Disk 1) (Unknown) (3.5 inch).zip	False	19.9 MiB	03-May-2023 14:42
3D World Boxing (Disk 2) (Unknown) (3.5 inch).zip	False	19.2 MiB	03-May-2023 14:42
4th & Inches (Unknown) (3.5 inch).zip	False	21.8 MiB	03-May-2023 14:42
Action Fighter (Unknown) (3.5 inch).zip	False	28.1 MiB	03-May-2023 14:42
All New World of Lemmings (Disk 1) (Unknown) (3.5 inch).zip	False	15.7 MiB	03-May-2023 14:42
All New World of Lemmings (Disk 2) (Unknown) (3.5 inch).zip	False	13.6 MiB	03-May-2023 14:42
All New World of Lemmings (Disk 3) (Unknown) (3.5 inch).zip	False	15.0 MiB	03-May-2023 14:42
All New World of Lemmings (Disk 4) (Unknown) (3.5 inch).zip	False	14.4 MiB	03-May-2023 14:42
Archer MacLean's Pool (Unknown) (3.5 inch).zip	False	11.8 MiB	03-May-2023 14:42
Baal (Unknown) (Disk 1).zip	False	20.4 MiB	03-May-2023 14:42
Baal (Unknown) (Disk 2).zip	False	18.6 MiB	03-May-2023 14:42
Baby Jo (Unknown).zip	False	19.7 MiB	03-May-2023 14:42
Back To The Future Part III (Unknown) (Disk 1).zip	False	23.6 MiB	03-May-2023 14:42
Back To The Future Part III (Unknown) (Disk 2).zip	False	22.0 MiB	03-May-2023 14:42
Batman the Movie (Disk 1-2) (Unknown).zip	False	20.7 MiB	03-May-2023 14:42
Batman the Movie (Disk 3-4) (Unknown).zip	False	18.1 MiB	03-May-2023 14:42
Beau Jolly - Defender of the Crown (Boot) (Unknown).zip	False	22.0 MiB	03-May-2023 14:42
Beau Jolly - Lombard Rac Rally (Unknown).zip	False	19.5 MiB	03-May-2023 14:42
Beau Jolly - TV Sports Football (Unknown).zip	False	21.4 MiB	03-May-2023 14:42
Boulder Dash (Unknown).zip	False	9.4 MiB	03-May-2023 14:42
Boulder Dash Construction Kit (Unknown).zip	False	20.0 MiB	03-May-2023 14:42
Bubble Bobble (Unknown).zip	False	22.3 MiB	03-May-2023 14:42
Budokan - The Martial Spirit (Unknown).zip	False	22.8 MiB	03-May-2023 14:42
Buffalo Bill's Rodeo Games (Unknown).zip	False	20.5 MiB	03-May-2023 14:42
