name	is_dir	size	date
240p Test Suite (World) (v1.12) (Program) (Aftermarket) (Unl).zip	False	70.7 KiB	17-Feb-2025 17:51
240p Test Suite (World) (v1.15) (Program) (Aftermarket) (Unl).zip	False	71.7 KiB	18-Feb-2025 23:55
Barbarian (World) (Amiga 500) (Aftermarket) (Unl).zip	False	148.8 KiB	11-Jul-2025 04:30
Barbarian (World) (Amstrad CPC) (Aftermarket) (Unl).zip	False	114.8 KiB	11-Jul-2025 04:30
Barbarian (World) (Atari ST) (Aftermarket) (Unl).zip	False	147.8 KiB	11-Jul-2025 04:30
Barbarian (World) (Commodore 64) (Aftermarket) (Unl).zip	False	101.0 KiB	11-Jul-2025 04:30
Barbarian (World) (ZX Spectrum) (Aftermarket) (Unl).zip	False	159.3 KiB	11-Jul-2025 04:30
Beer Girl Stadium (World) (v0.1) (Proto) (Aftermarket) (Unl).zip	False	20.2 KiB	18-Feb-2025 23:55
Billy's Bad Day (World) (Digital) (Online Version) (Aftermarket) (Unl).zip	False	359.5 KiB	17-Feb-2025 17:51
Binary Star (World) (Audio) (Aftermarket) (Unl).zip	False	290.5 KiB	11-Jul-2025 04:30
Bug Hunt (World) (NEO Coding Compo 2013) (Aftermarket) (Unl).zip	False	43.3 KiB	17-Feb-2025 17:51
Castlevania (World) (v0.44) (Proto) (Aftermarket) (Unl).zip	False	69.0 KiB	11-Jul-2025 04:30
Contra (World) (v0.35) (Proto) (Aftermarket) (Unl).zip	False	92.0 KiB	11-Jul-2025 04:30
Crash (World) (v1.01) (Aftermarket) (Unl).zip	False	25.4 KiB	18-Feb-2025 23:55
Death Sword (World) (Apple II) (Aftermarket) (Unl).zip	False	125.8 KiB	11-Jul-2025 04:30
Death Sword (World) (PC) (Aftermarket) (Unl).zip	False	114.5 KiB	11-Jul-2025 04:30
Dinoforce (Japan) (En) (Aftermarket) (Unl).zip	False	188.4 KiB	17-Feb-2025 17:51
DuckTales 2 (World) (v0.31) (Proto) (Aftermarket) (Unl).zip	False	93.7 KiB	11-Jul-2025 04:30
Gnop (World) (Proto) (Aftermarket) (Unl).zip	False	19.3 KiB	06-Oct-2025 09:26
Great Fumo Binning, The (World) (Aftermarket) (Unl).zip	False	33.2 KiB	17-Feb-2025 17:51
HuZERO (World) (Aftermarket) (Unl).zip	False	97.9 KiB	17-Feb-2025 17:51
Humpball (World) (Aftermarket) (Unl).zip	False	32.4 KiB	18-Feb-2025 23:55
Island Adventure (World) (NEO Coding Compo 2012) (Aftermarket) (Unl).zip	False	48.0 KiB	17-Feb-2025 17:51
Jackal (World) (v0.31) (Proto) (Aftermarket) (Unl).zip	False	82.4 KiB	11-Jul-2025 04:30
Light Cycles (World) (v0.5) (Proto) (Aftermarket) (Unl).zip	False	21.4 KiB	06-Oct-2025 09:26
Loop 2 (World) (Aftermarket) (Unl).zip	False	29.4 KiB	18-Feb-2025 23:55
Mai Nurse (World) (Aftermarket) (Unl).zip	False	37.4 KiB	18-Feb-2025 23:55
Maria (World) (Aftermarket) (Unl).zip	False	80.6 KiB	18-Feb-2025 23:55
Masteroids (World) (Proto) (Aftermarket) (Unl).zip	False	24.2 KiB	06-Oct-2025 09:26
Mega Man (World) (v0.94) (Beta) (Aftermarket) (Unl).zip	False	81.0 KiB	11-Jul-2025 04:30
Mega Man (World) (v0.98) (Beta) (Aftermarket) (Unl).zip	False	81.1 KiB	11-Jul-2025 04:30
Mega Man (World) (v1.01) (Aftermarket) (Unl).zip	False	109.5 KiB	11-Jul-2025 04:30
Mega Man 2 (World) (v0.87) (Proto) (Aftermarket) (Unl).zip	False	136.3 KiB	11-Jul-2025 04:30
Meteor Blaster DX (World) (v1.01) (Aftermarket) (Unl).zip	False	63.2 KiB	18-Feb-2025 23:55
Nantettatte Engine (World) (Aftermarket) (Unl).zip	False	65.7 KiB	17-Feb-2025 17:51
R-Type II (World) (Demo) (Aftermarket) (Unl).zip	False	38.3 KiB	11-Jul-2025 04:30
Reflectron (World) (Aftermarket) (Unl).zip	False	50.4 KiB	17-Feb-2025 17:51
Robo Warrior (World) (v0.27) (Proto) (Aftermarket) (Unl).zip	False	75.4 KiB	11-Jul-2025 04:30
Santatlantean (World) (Aftermarket) (Unl).zip	False	53.8 KiB	17-Feb-2025 17:51
SoundGenZ (World) (v1.03) (Program) (Aftermarket) (Unl).zip	False	27.1 KiB	18-Feb-2025 23:55
Special Ninja Squad (World) (v1.1) (Demo) (Aftermarket) (Unl).zip	False	204.3 KiB	06-Oct-2025 09:26
Strife Sisters (World) (Aftermarket) (Unl).zip	False	159.3 KiB	07-Oct-2025 23:39
Strife Sisters (World) (Demo) (Aftermarket) (Unl).zip	False	151.3 KiB	17-Feb-2025 17:51
Super Mario Bros. (World) (v0.21) (Proto) (Aftermarket) (Unl).zip	False	38.6 KiB	11-Jul-2025 04:30
Tongueman's Logic (World) (Aftermarket) (Unl).zip	False	194.9 KiB	17-Feb-2025 17:51
Tongueman's Logic (World) (Demo) (Aftermarket) (Unl).zip	False	106.4 KiB	17-Feb-2025 17:51
UWOL - Quest for Money (World) (v1.1) (Aftermarket) (Unl).zip	False	59.1 KiB	17-Feb-2025 17:51
Wolleyball in Wonderland (World) (Proto) (Aftermarket) (Unl).zip	False	23.3 KiB	18-Feb-2025 23:55
