name	is_dir	size	date
Fragrant Story (World).zip	False	235.6 MiB	05-Jul-2022 04:48
Kirby & the Amazing Mirror Sound Plus (Japan).zip	False	570.6 MiB	11-Jul-2025 08:08
New Dimension, A (USA) (TurboGrafx CD Hardware Bundle).zip	False	549.9 MiB	16-Jul-2025 10:36
Pop'n Music 11 AC + CS Pop'n Music 9 (Japan) (Disc 1).zip	False	617.1 MiB	18-Aug-2025 00:45
Pop'n Music 11 AC + CS Pop'n Music 9 (Japan) (Disc 2).zip	False	303.2 MiB	18-Aug-2025 00:44
Pop'n Music 11 AC + CS Pop'n Music 9 (Japan) (Disc 3).zip	False	482.6 MiB	18-Aug-2025 00:44
Pop'n Music 8 AC + CS Pop'n Music 6 (Japan) (Disc 1).zip	False	617.2 MiB	18-Aug-2025 00:45
Pop'n Music 8 AC + CS Pop'n Music 6 (Japan) (Disc 2).zip	False	593.7 MiB	18-Aug-2025 00:45
REFLEC BEAT - Original Soundtrack (Japan) (Disc 1).zip	False	410.7 MiB	18-Aug-2025 00:44
REFLEC BEAT - Original Soundtrack (Japan) (Disc 2).zip	False	443.1 MiB	18-Aug-2025 00:44
REFLEC BEAT colette - Original Soundtrack Vol. 1 (Japan) (Disc 1).zip	False	704.2 MiB	18-Aug-2025 00:45
REFLEC BEAT colette - Original Soundtrack Vol. 1 (Japan) (Disc 2 - REFLEC BEAT limelight - Original Soundtrack Extra).zip	False	664.9 MiB	18-Aug-2025 00:45
REFLEC BEAT limelight - Original Soundtrack (Japan) (Disc 1).zip	False	470.2 MiB	18-Aug-2025 00:44
REFLEC BEAT limelight - Original Soundtrack (Japan) (Disc 2).zip	False	523.8 MiB	18-Aug-2025 00:44
Rock Paintings - CD+G Sampler (USA) (SCD System Bundle).zip	False	374.3 MiB	11-Jul-2025 08:09
Sotsugyou II - Neo Generation - Shiritsu Seika Joshi Koutou Gakkou 3-nen B-gumi Sotsugyou Album (Japan).zip	False	112.5 MiB	11-Jul-2025 08:09
Super Dungeon Master (Japan).zip	False	355.1 MiB	11-Jul-2025 08:09
Valis III (Japan).zip	False	415.4 MiB	11-Jul-2025 08:10
beatmania 2nd Mix Complete (Japan).zip	False	507.1 MiB	18-Aug-2025 00:45
jubeat - Original Soundtrack (Japan).zip	False	415.9 MiB	18-Aug-2025 00:44
jubeat copious - Original Soundtrack (Japan).zip	False	428.3 MiB	18-Aug-2025 00:44
jubeat knit - Append Soundtrack (Japan).zip	False	446.0 MiB	18-Aug-2025 00:44
jubeat knit - Original Soundtrack (Japan).zip	False	446.2 MiB	11-Jul-2025 08:07
jubeat ripples - Original Soundtrack (Japan).zip	False	426.9 MiB	18-Aug-2025 00:44
jubeat saucer - Original Soundtrack - Cathy & Marron (Japan).zip	False	525.9 MiB	18-Aug-2025 00:45
jubeat saucer - Original Soundtrack - Kaori & Kotaro (Japan).zip	False	484.0 MiB	18-Aug-2025 00:44
jubeat saucer - Original Soundtrack - Sho & Hoshiko (Japan).zip	False	551.2 MiB	18-Aug-2025 00:45
jubeat saucer - Original Soundtrack - Smith (Japan).zip	False	401.9 MiB	18-Aug-2025 00:44
