name	is_dir	size	date
Crazy Taxi High Roller (World) (Rev B).zip	False	379.0 MiB	09-Apr-2022 03:34
Ghost Squad (World) (Rev A).zip	False	906.9 MiB	09-Apr-2022 03:37
Ghost Squad (World).zip	False	906.9 MiB	09-Apr-2022 03:39
House of the Dead 3, The (World).zip	False	416.2 MiB	09-Apr-2022 03:41
Ollie King (Japan).zip	False	728.2 MiB	09-Apr-2022 03:44
OutRun 2 (World) (Rev A).zip	False	815.6 MiB	09-Apr-2022 03:46
Sega Network Taisen Mahjong MJ2 (Japan) (Rev C).zip	False	642.3 MiB	07-Apr-2022 06:28
Sega Network Taisen Mahjong MJ2 (Japan) (Rev D).zip	False	2.1 MiB	09-Apr-2022 04:25
Sega Network Taisen Mahjong MJ3 (Japan) (Rev D).zip	False	983.3 MiB	07-Apr-2022 06:30
Sega Network Taisen Mahjong MJ3 Evolution (Japan) (Rev A).zip	False	966.8 MiB	09-Apr-2022 03:49
Sega Network Taisen Mahjong MJ3 Evolution-you Firmware Koushin Program (Japan).zip	False	73.5 MiB	09-Apr-2022 03:50
Sega Network Taisen Mahjong MJ3-you Firmware Koushin Program (Japan).zip	False	2.1 MiB	06-Oct-2025 09:48
Virtua Cop 3 (World) (Rev B).zip	False	952.7 MiB	09-Apr-2022 03:53
Wangan Midnight Maximum Tune (Japan) (Rev B).zip	False	806.1 MiB	09-Apr-2022 03:56
Wangan Midnight Maximum Tune (World) (Rev B).zip	False	798.3 MiB	09-Apr-2022 03:58
Wangan Midnight Maximum Tune 2 (Japan) (Rev A).zip	False	862.0 MiB	09-Apr-2022 04:01
Wangan Midnight Maximum Tune 2 (Japan).zip	False	861.9 MiB	07-Apr-2022 06:34
Wangan Midnight Maximum Tune 2 (World) (Rev A).zip	False	860.4 MiB	09-Apr-2022 04:04
Wangan Midnight Maximum Tune 2 (World).zip	False	860.3 MiB	09-Apr-2022 04:07
