name	is_dir	size	date
ADK World (Japan).chd	False	343.0 MiB	06-Aug-2025 19:29
Bang^2 Busters (France) (En,Ja) (Unl).chd	False	7.2 MiB	01-Oct-2025 00:23
Big Tournament Golf ~ Neo Turf Masters (Japan) (En,Ja).chd	False	210.7 MiB	06-Aug-2025 19:32
Breakers (Japan) (En,Ja).chd	False	293.9 MiB	06-Aug-2025 19:33
Choutetsu Brikin'ger ~ Ironclad - Tesshou Rusha (Japan) (En,Ja).chd	False	413.6 MiB	06-Aug-2025 19:35
Crossed Swords (Japan).chd	False	201.7 MiB	06-Aug-2025 19:35
Crossed Swords II (Japan) (En,Ja).chd	False	239.1 MiB	06-Aug-2025 19:36
Double Dragon (Japan) (En,Ja) (Rev 1).chd	False	422.6 MiB	01-Oct-2025 00:23
Dunk Dream ~ Street Slam ~ Street Hoop (Japan, USA).chd	False	198.5 MiB	16-Sep-2025 16:15
Far East of Eden - Tengai Makyou Shinden ~ Far East of Eden - Kabuki Klash (Japan) (En,Ja).chd	False	302.7 MiB	06-Aug-2025 19:39
Flying Power Disc ~ Windjammers (Japan) (En,Ja).chd	False	115.7 MiB	06-Aug-2025 19:40
Futsal - 5 on 5 Mini Soccer ~ PleasureGoal - 5 on 5 Mini Soccer (Japan) (En,Ja).chd	False	390.9 MiB	06-Aug-2025 19:40
Fuuun Mokushiroku - Kakutou Sousei ~ Savage Reign (World) (En,Ja,Es,Pt) (Rev 1).chd	False	323.4 MiB	06-Aug-2025 19:40
Fuuun Mokushiroku - Kakutou Sousei ~ Savage Reign (World) (En,Ja,Es,Pt).chd	False	323.4 MiB	06-Aug-2025 19:41
Garou Densetsu - Shukumei no Tatakai ~ Fatal Fury - King of Fighters (Japan) (En,Ja).chd	False	352.5 MiB	06-Aug-2025 19:41
King of Fighters '97, The (Japan) (En,Ja).chd	False	369.4 MiB	06-Aug-2025 19:44
Last Hope (Germany) (Aftermarket).chd	False	121.4 MiB	06-Aug-2025 19:45
League Bowling (Japan) (En,Ja).chd	False	2.6 MiB	06-Aug-2025 19:46
Magician Lord (Japan) (En,Ja).chd	False	178.4 MiB	06-Aug-2025 19:46
Metal Slug 2 (World) (En,Ja) (Slowdown Reduction Patch) (v1.0) (system11, SmokeMonster).chd	False	444.1 MiB	06-Aug-2025 19:47
Metal Slug 2 (World) (En,Ja).chd	False	454.2 MiB	06-Aug-2025 19:47
Mutation Nation (Japan) (En,Ja).chd	False	308.9 MiB	06-Aug-2025 19:49
Mutation Nation (Subset - Multi).chd	False	308.9 MiB	06-Aug-2025 19:49
Nam-1975 (Japan) (En,Ja).chd	False	230.3 MiB	06-Aug-2025 19:49
Neo Drift Out - New Technology (Japan).chd	False	160.7 MiB	06-Aug-2025 19:49
Next Thing, The - King of the Monsters 2 (World) (En,Ja).chd	False	375.1 MiB	06-Aug-2025 19:50
OverTop (Japan) (En,Ja).chd	False	326.5 MiB	06-Aug-2025 19:50
Pulstar (Japan) (En,Ja).chd	False	337.4 MiB	06-Aug-2025 19:52
Puzzle Bobble ~ Bust-A-Move (Japan) (En,Ja).chd	False	1.0 MiB	06-Aug-2025 19:52
Rally Chase (Japan) (En,Ja).chd	False	161.1 MiB	06-Aug-2025 19:53
Shinobi (World) (v1.0) (Hoffman) (Aftermarket).chd	False	78.6 MiB	06-Aug-2025 19:55
Shinobi (World) (v1.1) (Hoffman) (Aftermarket).chd	False	78.6 MiB	06-Aug-2025 19:55
Shougi no Tatsujin - Master of Syougi (Japan).chd	False	215.3 MiB	06-Aug-2025 19:55
Sonic Wings 2 ~ Aero Fighters 2 (World) (En,Ja).chd	False	334.8 MiB	06-Aug-2025 19:56
Super Sidekicks 3 - The Next Glory (Subset - Post '98 Champions).chd	False	269.0 MiB	06-Aug-2025 19:58
Tokuten-ou 3 - Eikou e no Chousen ~ Super Sidekicks 3 - The Next Glory (World) (En,Ja,Fr,Es,It,Pt).chd	False	269.0 MiB	25-Sep-2025 01:35
Top Hunter - Roddy & Cathy (World) (En,Ja).chd	False	300.2 MiB	06-Aug-2025 20:00
Top Player's Golf (Japan) (En,Ja).chd	False	156.0 MiB	06-Aug-2025 20:00
Treasure of the Caribbean (France) (En,Ja) (Unl).chd	False	164.2 MiB	06-Aug-2025 20:01
Twinkle Star Sprites (Japan) (En,Ja).chd	False	349.0 MiB	06-Aug-2025 20:01
World Heroes Perfect (Export) (En,Ja) (Rev 1).chd	False	375.1 MiB	06-Aug-2025 20:02
Xeno Crisis (World) (Aftermarket).chd	False	417.5 MiB	01-Oct-2025 00:23
