name	is_dir	size	date
19 - Neunzehn (Japan) [T-En by MrRichard999 v1.0] [Regular NES Font].zip	False	45.4 KiB	06-Oct-2025 11:47
19 - Neunzehn (Japan) [T-En by MrRichard999 v1.0].zip	False	45.4 KiB	06-Oct-2025 11:47
Adventure of Link, The - The Legend of Zelda 2 (Japan) (Rev 1) [T-En by Columbo v2.33] [Add by Masaru v1.0] [n].zip	False	75.4 KiB	06-Oct-2025 11:47
Adventures of Milo and Otis, The (Japan) [T-En by BlackPaladin v1.0] [corrected] [n].zip	False	35.7 KiB	06-Oct-2025 11:47
Adventures of Milo and Otis, The (Japan) [T-En by BlackPaladin v1.0] [n].zip	False	35.7 KiB	06-Oct-2025 11:47
All Night Nippon Super Mario Brothers (Japan) (Promotion Card) [T-En by Psyklax v1.0].zip	False	39.0 KiB	06-Oct-2025 11:47
Apple Town Story - Little Computer People (Japan) [T-En by BlackPaladin v1.0] [n].zip	False	55.8 KiB	06-Oct-2025 11:47
Aspic - Curse of the Snakelord (Japan) [T-En by BlackPaladin v1.0] [n].zip	False	58.1 KiB	06-Oct-2025 11:47
Battle Battle League (Japan) (Proto) [T-En by Letterbomb v1.0].zip	False	149.4 KiB	04-Nov-2025 21:12
Bodycon Quest I - Girls Exposed (Japan) (Unl) [T-En by DvD Translations Rev A] [n].zip	False	83.5 KiB	06-Oct-2025 11:47
Boxxle - Warehouse Evening of Tears Special (Japan) [T-En by KingMike's Translations v1.0] [n].zip	False	27.1 KiB	06-Oct-2025 11:47
Breeder (Japan) [T-En by Psyklax v1.0].zip	False	31.3 KiB	06-Oct-2025 11:47
Cocona World (Japan) [T-En by InvisibleUp v1.0].zip	False	57.7 KiB	06-Oct-2025 11:47
Crystal Dragon (Japan) [T-En by Mute v1.0] [n].zip	False	60.8 KiB	06-Oct-2025 11:47
Cursed Treasure of Cleopatra, The (Japan) [T-En by DvD Translations Rev A] [n].zip	False	65.4 KiB	06-Oct-2025 11:47
Dandy - The Resurrection of Zeuon (Japan) [T-En by Stardust Crusaders v1.00] [n].zip	False	38.4 KiB	06-Oct-2025 11:47
Dandy - Zeuon no Fukkatsu (Japan) [T-En by Super Roboprotector v1.2].zip	False	37.4 KiB	06-Oct-2025 11:47
Dead Zone (Japan) [T-En by Stardust Crusaders v1.00].zip	False	63.7 KiB	06-Oct-2025 11:47
Deep Dungeon - The Heretic War (Japan) [T-En by KingMike's Translations v1.0] [n].zip	False	38.5 KiB	06-Oct-2025 11:47
Deep Dungeon II - The Hero's Crest (Japan) [T-En by KingMike's Translations v1.0] [HP Unfix] [n].zip	False	50.9 KiB	06-Oct-2025 11:47
Deep Dungeon II - The Hero's Crest (Japan) [T-En by KingMike's Translations v1.0] [n].zip	False	50.9 KiB	06-Oct-2025 11:47
