name	is_dir	size	date
Risc User - Volume 1 Issue 1 (1987-11)(BEEBUG)(GB).zip	False	34.2 MiB	18-Feb-2025 11:50
Risc User - Volume 1 Issue 10 (1988-09)(BEEBUG)(GB).zip	False	56.3 MiB	18-Feb-2025 11:50
Risc User - Volume 1 Issue 2 (1987-12)(BEEBUG)(GB).zip	False	25.2 MiB	18-Feb-2025 11:50
Risc User - Volume 1 Issue 3 (1988-01)(BEEBUG)(GB).zip	False	24.8 MiB	18-Feb-2025 11:50
Risc User - Volume 1 Issue 4 (1988-03)(BEEBUG)(GB).zip	False	28.9 MiB	18-Feb-2025 11:50
Risc User - Volume 1 Issue 5 (1988-04)(BEEBUG)(GB).zip	False	29.4 MiB	18-Feb-2025 11:50
Risc User - Volume 1 Issue 6 (1988-05)(BEEBUG)(GB).zip	False	29.1 MiB	18-Feb-2025 11:50
Risc User - Volume 1 Issue 7 (1988-06)(BEEBUG)(GB).zip	False	28.5 MiB	18-Feb-2025 11:50
Risc User - Volume 1 Issue 8 (1988-07)(BEEBUG)(GB).zip	False	39.0 MiB	18-Feb-2025 11:50
Risc User - Volume 1 Issue 9 (1988-08)(BEEBUG)(GB).zip	False	57.1 MiB	18-Feb-2025 11:50
Risc User - Volume 2 Issue 1 (1988-10)(BEEBUG)(GB).zip	False	53.3 MiB	18-Feb-2025 11:50
Risc User - Volume 2 Issue 2 (1988-12)(BEEBUG)(GB).zip	False	65.0 MiB	18-Feb-2025 11:50
Risc User - Volume 2 Issue 3 (1989-02)(BEEBUG)(GB).zip	False	68.4 MiB	18-Feb-2025 11:50
Risc User - Volume 2 Issue 4 (1989-03)(BEEBUG)(GB).zip	False	70.3 MiB	18-Feb-2025 11:50
Risc User - Volume 2 Issue 5 (1989-04)(BEEBUG)(GB).zip	False	45.4 MiB	18-Feb-2025 11:50
Risc User - Volume 2 Issue 6 (1989-05)(BEEBUG)(GB).zip	False	75.9 MiB	18-Feb-2025 11:50
Risc User - Volume 2 Issue 7 (1989-06)(BEEBUG)(GB).zip	False	51.2 MiB	18-Feb-2025 11:50
Risc User - Volume 5 Issue 10 (1992-10)(BEEBUG)(GB).zip	False	83.8 MiB	18-Feb-2025 11:50
