name	is_dir	size	date
Alpha Beam with Ernie (1983)(Atari)(M5).zip	False	82.0 MiB	21-Jul-2025 17:26
Alpha Beam with Ernie (1983)(Atari)(US).zip	False	3.2 MiB	18-Feb-2025 11:54
Basic Math (1977)(Atari)(US).zip	False	1008.6 KiB	18-Feb-2025 11:54
Big Bird's Egg Catch (1983)(Atari)(M5).zip	False	68.2 MiB	21-Jul-2025 17:27
Big Bird's Egg Catch (1983)(Atari)(US).zip	False	1.9 MiB	18-Feb-2025 11:54
Brain Games (1978)(Atari)(M5).zip	False	86.9 MiB	21-Jul-2025 17:29
Cookie Monster Munch (1983)(Atari)(M5).zip	False	97.4 MiB	21-Jul-2025 17:30
I Want My Mommy (1983)(ZiMAG)(US).zip	False	769.9 KiB	18-Feb-2025 11:54
Math Gran Prix (1982)(Atari)(M5).zip	False	72.1 MiB	21-Jul-2025 17:30
Math Gran Prix (1986)(Atari)(US).zip	False	2.2 MiB	18-Feb-2025 11:54
Spelling (1977)(Sears)(US).zip	False	676.2 KiB	18-Feb-2025 11:54
