name	is_dir	size	date
Amazing Computing - Volume 01 Number 01 (1986-01)(PiM Publishing)(US).zip	False	8.2 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 01 Number 02 (1986-03)(PiM Publishing)(US).zip	False	9.7 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 01 Number 03 (1986-04)(PiM Publishing)(US).zip	False	10.2 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 01 Number 04 (1986-05)(PiM Publishing)(US).zip	False	23.5 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 01 Number 05 (1986-06)(PiM Publishing)(US).zip	False	25.1 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 01 Number 06 (1986-07)(PiM Publishing)(US).zip	False	33.7 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 01 Number 07 (1986-08)(PiM Publishing)(US).zip	False	37.6 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 01 Number 08 (1986-10)(PiM Publishing)(US).zip	False	37.7 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 01 Number 09 (1986-12)(PiM Publishing)(US).zip	False	24.5 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 02 Number 01 (1987-01)(PiM Publishing)(US).zip	False	39.8 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 02 Number 02 (1987-02)(PiM Publishing)(US).zip	False	22.5 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 02 Number 03 (1987-03)(PiM Publishing)(US).zip	False	22.9 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 02 Number 04 (1987-04)(PiM Publishing)(US).zip	False	21.6 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 02 Number 05 (1987-05)(PiM Publishing)(US).zip	False	22.5 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 02 Number 06 (1987-06)(PiM Publishing)(US).zip	False	22.8 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 02 Number 07 (1987-07)(PiM Publishing)(US).zip	False	27.9 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 02 Number 08 (1987-08)(PiM Publishing)(US).zip	False	24.8 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 02 Number 09 (1987-09)(PiM Publishing)(US).zip	False	26.2 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 02 Number 10 (1987-10)(PiM Publishing)(US).zip	False	49.4 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 02 Number 11 (1987-11)(PiM Publishing)(US).zip	False	60.4 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 02 Number 12 (1987-12)(PiM Publishing)(US).zip	False	61.6 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 03 Number 01 (1988-01)(PiM Publishing)(US).zip	False	61.8 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 03 Number 02 (1988-02)(PiM Publishing)(US).zip	False	52.2 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 03 Number 03 (1988-03)(PiM Publishing)(US).zip	False	53.6 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 03 Number 04 (1988-04)(PiM Publishing)(US).zip	False	55.2 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 03 Number 05 (1988-05)(PiM Publishing)(US).zip	False	63.2 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 03 Number 06 (1988-06)(PiM Publishing)(US).zip	False	62.0 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 03 Number 07 (1988-07)(PiM Publishing)(US).zip	False	54.7 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 03 Number 08 (1988-08)(PiM Publishing)(US).zip	False	54.1 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 03 Number 09 (1988-09)(PiM Publishing)(US).zip	False	54.2 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 03 Number 10 (1988-10)(PiM Publishing)(US).zip	False	54.9 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 03 Number 11 (1988-11)(PiM Publishing)(US).zip	False	55.9 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 03 Number 12 (1988-12)(PiM Publishing)(US).zip	False	59.0 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 04 Number 01 (1989-01)(PiM Publishing)(US).zip	False	62.9 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 04 Number 02 (1989-02)(PiM Publishing)(US).zip	False	55.2 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 04 Number 03 (1989-03)(PiM Publishing)(US).zip	False	57.9 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 04 Number 04 (1989-04)(PiM Publishing)(US).zip	False	55.1 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 04 Number 05 (1989-05)(PiM Publishing)(US).zip	False	56.1 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 04 Number 06 (1989-06)(PiM Publishing)(US).zip	False	53.7 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 04 Number 07 (1989-07)(PiM Publishing)(US).zip	False	56.9 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 04 Number 08 (1989-08)(PiM Publishing)(US).zip	False	56.3 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 04 Number 09 (1989-09)(PiM Publishing)(US).zip	False	57.0 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 04 Number 10 (1989-10)(PiM Publishing)(US).zip	False	56.2 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 04 Number 11 (1989-11)(PiM Publishing)(US).zip	False	55.7 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 04 Number 12 (1989-12)(PiM Publishing)(US).zip	False	59.7 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 05 Number 01 (1990-01)(PiM Publishing)(US).zip	False	54.0 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 05 Number 02 (1990-02)(PiM Publishing)(US).zip	False	48.7 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 05 Number 03 (1990-03)(PiM Publishing)(US).zip	False	48.0 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 05 Number 04 (1990-04)(PiM Publishing)(US).zip	False	48.8 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 05 Number 05 (1990-05)(PiM Publishing)(US).zip	False	45.3 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 05 Number 06 (1990-06)(PiM Publishing)(US).zip	False	44.9 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 05 Number 07 (1990-07)(PiM Publishing)(US).zip	False	47.6 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 05 Number 08 (1990-08)(PiM Publishing)(US).zip	False	46.4 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 05 Number 09 (1990-09)(PiM Publishing)(US).zip	False	44.0 MiB	18-Feb-2025 11:59
Amazing Computing - Volume 05 Number 10 (1990-10)(PiM Publishing)(US).zip	False	46.6 MiB	18-Feb-2025 11:59
