name	is_dir	size	date
Arcade - Issue 01 (1998-12)(Future Publishing)(GB).zip	False	187.7 MiB	18-Feb-2025 12:34
Arcade - Issue 02 (1999-01)(Future Publishing)(GB).zip	False	363.5 MiB	18-Feb-2025 12:34
Arcade - Issue 03 (1999-02)(Future Publishing)(GB).zip	False	322.6 MiB	18-Feb-2025 12:34
Arcade - Issue 04 (1999-03)(Future Publishing)(GB).zip	False	385.2 MiB	18-Feb-2025 12:34
Arcade - Issue 05 (1999-04)(Future Publishing)(GB).zip	False	388.0 MiB	18-Feb-2025 12:34
Arcade - Issue 06 (1999-05)(Future Publishing)(GB).zip	False	295.1 MiB	18-Feb-2025 12:34
Arcade - Issue 07 (1999-06)(Future Publishing)(GB).zip	False	346.7 MiB	26-Jul-2025 07:36
Arcade - Issue 11 (1999-10)(Future Publishing)(GB).zip	False	360.6 MiB	26-Jul-2025 07:37
Arcade - Issue 12 (1999-11)(Future Publishing)(GB).zip	False	361.8 MiB	26-Jul-2025 07:37
Arcade - Issue 13 (1999-12)(Future Publishing)(GB).zip	False	376.1 MiB	26-Jul-2025 07:43
Arcade - Issue 14 (1999)(Future Publishing)(GB)[xmas edition].zip	False	356.5 MiB	26-Jul-2025 07:49
Arcade - Issue 15 (2000-01)(Future Publishing)(GB).zip	False	368.4 MiB	26-Jul-2025 07:53
Arcade - Issue 16 (2000-02)(Future Publishing)(GB).zip	False	355.3 MiB	26-Jul-2025 07:49
Arcade - Issue 17 (2000-03)(Future Publishing)(GB).zip	False	360.2 MiB	26-Jul-2025 07:55
Arcade - Issue 18 (2000-04)(Future Publishing)(GB).zip	False	361.0 MiB	26-Jul-2025 08:01
Arcade - Issue 19 (2000-05)(Future Publishing)(GB).zip	False	340.3 MiB	26-Jul-2025 08:01
Arcade - Issue 20 (2000-06)(Future Publishing)(GB).zip	False	331.3 MiB	26-Jul-2025 08:05
Arcade - Issue 21 (2000-07)(Future Publishing)(GB).zip	False	386.6 MiB	26-Jul-2025 08:08
Arcade - Issue 22 (2000-08)(Future Publishing)(GB).zip	False	337.0 MiB	26-Jul-2025 08:13
Arcade - Issue 24 (2000-10)(Future Publishing)(GB).zip	False	330.2 MiB	26-Jul-2025 08:13
