name	is_dir	size	date
NewTekniques - Volume 1 No. 01 (1997-04)(Advanstar Communications)(US).zip	False	38.5 MiB	18-Feb-2025 12:46
NewTekniques - Volume 1 No. 02 (1997-07)(Advanstar Communications)(US).zip	False	40.6 MiB	18-Feb-2025 12:46
NewTekniques - Volume 1 No. 03 (1997-10)(Advanstar Communications)(US).zip	False	40.7 MiB	18-Feb-2025 12:46
NewTekniques - Volume 1 No. 04 (1997-12)(Advanstar Communications)(US).zip	False	33.9 MiB	18-Feb-2025 12:46
NewTekniques - Volume 2 No. 01 (1998-02)(Advanstar Communications)(US).zip	False	33.4 MiB	18-Feb-2025 12:46
NewTekniques - Volume 2 No. 02 (1998-04)(Advanstar Communications)(US).zip	False	35.6 MiB	18-Feb-2025 12:46
NewTekniques - Volume 2 No. 03 (1998-06)(Advanstar Communications)(US).zip	False	34.3 MiB	18-Feb-2025 12:46
NewTekniques - Volume 2 No. 04 (1998-08)(Advanstar Communications)(US).zip	False	29.5 MiB	18-Feb-2025 12:46
NewTekniques - Volume 2 No. 05 (1998-10)(Advanstar Communications)(US).zip	False	28.3 MiB	18-Feb-2025 12:46
NewTekniques - Volume 2 No. 06 (1998-12)(Advanstar Communications)(US).zip	False	24.0 MiB	18-Feb-2025 12:46
