name	is_dir	size	date
Crash - Annual 2019 (2019)(Fusion Retro Books)(GB).zip	False	152.8 MiB	04-Aug-2025 17:01
Crash Micro Action - No 01 (2020-12)(Fusion Retro Books)(GB).zip	False	8.3 MiB	29-Jul-2025 15:13
Crash Micro Action - No 02 (2021-02)(Fusion Retro Books)(GB).zip	False	9.3 MiB	04-Aug-2025 17:01
Crash Micro Action - No 03 (2021-04)(Fusion Retro Books)(GB).zip	False	9.7 MiB	04-Aug-2025 17:01
Crash Micro Action - No 04 (2021-07)(Fusion Retro Books)(GB).zip	False	9.0 MiB	04-Aug-2025 17:01
Crash Micro Action - No 05 (2021-09)(Fusion Retro Books)(GB).zip	False	48.5 MiB	04-Aug-2025 17:02
Crash Micro Action - No 06 (2021-11)(Fusion Retro Books)(GB).zip	False	31.4 MiB	04-Aug-2025 17:02
Crash Micro Action - No 07 (2022-01)(Fusion Retro Books)(GB).zip	False	47.2 MiB	04-Aug-2025 17:02
Crash Micro Action - No 08 (2022-03)(Fusion Retro Books)(GB).zip	False	45.8 MiB	04-Aug-2025 17:02
Crash Micro Action - No 09 (2022-05)(Fusion Retro Books)(GB).zip	False	47.3 MiB	04-Aug-2025 17:03
Crash Micro Action - No 10 (2022-07)(Fusion Retro Books)(GB).zip	False	44.4 MiB	04-Aug-2025 17:03
