name	is_dir	size	date
PSM3 - Issue 129 (2010-08)(Future Publishing)(GB).zip	False	47.4 MiB	18-Feb-2025 13:00
PSM3 - Issue 130 (2010-09)(Future Publishing)(GB).zip	False	45.2 MiB	18-Feb-2025 13:00
PSM3 - Issue 131 (2010-10)(Future Publishing)(GB).zip	False	47.3 MiB	18-Feb-2025 13:00
PSM3 - Issue 132 (2010-11)(Future Publishing)(GB).zip	False	38.8 MiB	18-Feb-2025 13:00
PSM3 - Issue 133 (2010-12)(Future Publishing)(GB).zip	False	50.5 MiB	18-Feb-2025 13:00
PSM3 - Issue 134 (2010)(Future Publishing)(GB)[christmas edition].zip	False	35.4 MiB	18-Feb-2025 13:00
PSM3 - Issue 135 (2011-01)(Future Publishing)(GB).zip	False	33.8 MiB	18-Feb-2025 13:00
PSM3 - Issue 135 (2011-01)(Future Publishing)(GB)[a].zip	False	43.9 MiB	18-Feb-2025 13:00
PSM3 - Issue 136 (2011-02)(Future Publishing)(GB).zip	False	88.1 MiB	18-Feb-2025 13:00
PSM3 - Issue 138 (2011-04)(Future Publishing)(GB).zip	False	60.7 MiB	18-Feb-2025 13:00
PSM3 - Issue 139 (2011-05)(Future Publishing)(GB).zip	False	76.7 MiB	18-Feb-2025 13:00
PSM3 - Issue 141 (2011-07)(Future Publishing)(GB).zip	False	80.7 MiB	18-Feb-2025 13:00
PSM3 - Issue 142 (2011-08)(Future Publishing)(GB).zip	False	82.2 MiB	18-Feb-2025 13:00
PSM3 - Issue 143 (2011-09)(Future Publishing)(GB).zip	False	53.0 MiB	18-Feb-2025 13:00
PSM3 - Issue 144 (2011-10)(Future Publishing)(GB).zip	False	81.9 MiB	18-Feb-2025 13:00
PSM3 - Issue 145 (2011-11)(Future Publishing)(GB).zip	False	53.1 MiB	18-Feb-2025 13:00
PSM3 - Issue 146 (2011-12)(Future Publishing)(GB).zip	False	37.9 MiB	18-Feb-2025 13:00
PSM3 - Issue 147 (2011)(Future Publishing)(GB)[christmas edition].zip	False	39.3 MiB	18-Feb-2025 13:00
PSM3 - Issue 148 (2012-01)(Future Publishing)(GB).zip	False	104.1 MiB	18-Feb-2025 13:00
PSM3 - Issue 149 (2012-02)(Future Publishing)(GB).zip	False	40.2 MiB	18-Feb-2025 13:00
PSM3 - Issue 150 (2012-03)(Future Publishing)(GB).zip	False	102.4 MiB	18-Feb-2025 13:00
PSM3 - Issue 151 (2012-04)(Future Publishing)(GB).zip	False	73.2 MiB	18-Feb-2025 13:00
PSM3 - Issue 152 (2012-05)(Future Publishing)(GB).zip	False	94.6 MiB	18-Feb-2025 13:00
PSM3 - Issue 160 (2012)(Future Publishing)(GB)[christmas edition].zip	False	86.9 MiB	18-Feb-2025 13:00
