name	is_dir	size	date
80-Grafix (19xx)(Programma International).zip	False	1.2 MiB	18-Feb-2025 13:00
Aculab Floppy Tape (1981)(Aculab).zip	False	925.3 KiB	18-Feb-2025 13:00
Adventure International Catalog (1979)(Adventure International).zip	False	76.5 KiB	18-Feb-2025 13:00
Adventure International Catalog - Volume 2 Issue 2 (1981)(Adventure International).zip	False	7.5 MiB	18-Feb-2025 13:00
Adventure International Catalog - Volume 2 Issue 3 (1981)(Adventure International).zip	False	12.8 MiB	18-Feb-2025 13:00
Adventure International Catalog - Volume 2 Issue 5 (1981)(Adventure International).zip	False	7.3 MiB	18-Feb-2025 13:00
Adventure International Catalog - Volume 3 Issue 1 (1982)(Adventure International).zip	False	9.6 MiB	18-Feb-2025 13:00
Affordable Computer Shop Catalog (1980)(Affordable Computers).zip	False	3.3 MiB	18-Feb-2025 13:00
Alcor Catalog (19xx)(Alcor Systems).zip	False	758.9 KiB	18-Feb-2025 13:00
Allen Gelder and Co Catalog (19xx)(Allen Gelder).zip	False	1.5 MiB	18-Feb-2025 13:00
Answers 1985-01 (1985)(Radio Shack).zip	False	15.8 MiB	18-Feb-2025 13:00
Apparat - ComRef SuperScripsit Drivers (19xx)(Apparat Inc).zip	False	112.2 KiB	18-Feb-2025 13:00
Apparat - Floppy Disk Drive (19xx)(Apparat Inc).zip	False	1.1 MiB	18-Feb-2025 13:00
Apparat - Hard Disk (19xx)(Apparat Inc).zip	False	84.7 KiB	18-Feb-2025 13:00
Apparat - Hardware and Software (19xx)(Apparat Inc).zip	False	163.3 KiB	18-Feb-2025 13:00
Apparat - NewDos-80 v2.5 (19xx)(Apparat Inc).zip	False	133.5 KiB	18-Feb-2025 13:00
Apparat - NewTerm Sprint MicroClinic (19xx)(Apparat Inc).zip	False	79.7 KiB	18-Feb-2025 13:00
Apparat - Professional Football etc (19xx)(Apparat Inc).zip	False	65.8 KiB	18-Feb-2025 13:00
Apparat - Registration Acknowledgement (19xx)(Apparat Inc).zip	False	60.8 KiB	18-Feb-2025 13:00
Apparat Catalog (1981)(Apparat).zip	False	13.2 MiB	18-Feb-2025 13:00
Ark Systems Catalog (1995)(Ark Systems).zip	False	1.3 MiB	18-Feb-2025 13:00
Avalon Hill Games and Parts (1982)(Avalon Hill).zip	False	1.4 MiB	18-Feb-2025 13:00
BDS Products Catalog (1992)(BDS Products).zip	False	741.1 KiB	18-Feb-2025 13:00
Benchmark Computing Services Software Catalog (1979)(Benchmark).zip	False	1.3 MiB	18-Feb-2025 13:00
Big Five Arcade (19xx)(Big Five Software).zip	False	1.5 MiB	18-Feb-2025 13:00
Big Five Software Flyers (19xx)(Big Five Software).zip	False	1.2 MiB	18-Feb-2025 13:00
Bob van der Poel Catalog (19xx)(Bob van der Poel).zip	False	907.8 KiB	18-Feb-2025 13:00
Burke and Burke Catalog (1989)(Burke and Burke).zip	False	3.0 MiB	18-Feb-2025 13:00
CLOAD Magazine Hype Sheet (1980)(CLOAD Magazine).zip	False	728.3 KiB	18-Feb-2025 13:00
CR-180 Cash Register Expansion System (19xx)(ICR).zip	False	2.4 MiB	18-Feb-2025 13:00
Chris Dekker's Software Catalog (1995)(Chris Dekker).zip	False	437.2 KiB	18-Feb-2025 13:00
CoCoPro Catalog - Issue 07 (1992)(CoCoPress).zip	False	1.4 MiB	18-Feb-2025 13:00
CoCoPro Catalog - Issue 12 (1992)(CoCoPress).zip	False	709.3 KiB	18-Feb-2025 13:00
CoNect Direct Catalog - Volume 01 Issue 05 (1992)(CoCoPro).zip	False	644.7 KiB	18-Feb-2025 13:00
CoNect Direct Catalog - Volume 02 Issue 01 (1993)(CoCoPro).zip	False	462.2 KiB	18-Feb-2025 13:00
CoNect Direct Catalog - Volume 02 Issue 02 (1993)(CoCoPro).zip	False	508.8 KiB	18-Feb-2025 13:00
CoNect Direct Catalog - Volume 02 Issue 04 (1993)(CoCoPro).zip	False	613.8 KiB	18-Feb-2025 13:00
CoNect Direct Catalog - Volume 02 Issue 05 (1993)(CoCoPro).zip	False	649.9 KiB	18-Feb-2025 13:00
Coloma Computer Catalog (19xx)(Coloma Computer).zip	False	338.8 KiB	18-Feb-2025 13:00
Computer Knowledge Center Winter Catalog (1982)(Computer Knowledge Center).zip	False	7.5 MiB	18-Feb-2025 13:00
Control Data 9408 Floppy Drive Data Sheet (19xx)(Control Data).zip	False	822.2 KiB	18-Feb-2025 13:00
Control Data 9409 Floppy Drive Data Sheet (19xx)(Control Data).zip	False	851.3 KiB	18-Feb-2025 13:00
Creative Computing Catalog 8 (19xx)(Creative Computing).zip	False	11.3 MiB	18-Feb-2025 13:00
DC Disk Catalog v3.0 (1982)(Rainbow P and P Corp).zip	False	1.1 MiB	18-Feb-2025 13:00
DOSPlus v3.5 Upgrade Ad (19xx)(Micro-Systems Software)[DOC].zip	False	80.2 KiB	18-Feb-2025 13:00
DOSPlus v3.5 Upgrade Ad (19xx)(Micro-Systems Software)[PDF].zip	False	100.6 KiB	18-Feb-2025 13:00
David White Paper (1993)(Microware).zip	False	820.2 KiB	18-Feb-2025 13:00
Disto Catalog (1989)(Disto).zip	False	212.8 KiB	18-Feb-2025 13:00
Dotwriter Catalog (19xx)(Prosoft).zip	False	2.4 MiB	18-Feb-2025 13:00
E-RAM High Resolution Graphics (19xx)(Keyline Computer Products).zip	False	2.6 MiB	18-Feb-2025 13:00
Enhanced OS-9 Data Sheet (19xx)(Microware).zip	False	69.7 KiB	18-Feb-2025 13:00
Epson MX-80 Product Flyer (19xx)(Epson America).zip	False	360.4 KiB	18-Feb-2025 13:00
Epson Printer Catalog (1983)(Epson).zip	False	2.9 MiB	18-Feb-2025 13:00
Exatron Stringy Floppy (19xx)(Exatron).zip	False	793.7 KiB	18-Feb-2025 13:00
H and E Computronics Software Catalog No 3 (19xx)(H and E Electronics).zip	False	8.6 MiB	18-Feb-2025 13:00
Holmes Engineering Catalog (1983)(Holmes Engineering).zip	False	4.0 MiB	18-Feb-2025 13:00
How To Use Quickpro (1981)(FutureSoft).zip	False	1.4 MiB	18-Feb-2025 13:00
IFB File Manager Data Sheet (1992)(ARK Systems).zip	False	1.2 MiB	18-Feb-2025 13:00
Image Computer Products Catalog (19xx)(Image Computer).zip	False	849.8 KiB	18-Feb-2025 13:00
Introduction to TRS-80 BASIC and Computer Programming (1980)(Prentice-Hall).zip	False	1.2 MiB	18-Feb-2025 13:00
LNW 4MHZ DD Color System Ad 1 (19xx)(LNW Research).zip	False	263.8 KiB	18-Feb-2025 13:00
LNW 4MHZ DD Color System Ad 2 (19xx)(LNW Research).zip	False	303.9 KiB	18-Feb-2025 13:00
LNW System Expansion Interface (19xx)(LNW Research).zip	False	811.3 KiB	18-Feb-2025 13:00
Level IV Products Winter Catalog (19xx)(Level IV Products).zip	False	3.0 MiB	18-Feb-2025 13:00
Longview (19xx)(Prosoft).zip	False	456.4 KiB	18-Feb-2025 13:00
MM-1 Extended Kit Flyer (19xx)(Interactive Media Systems).zip	False	487.6 KiB	18-Feb-2025 13:00
MMSForth General Description (1980)(Miller Microcomputer Services).zip	False	698.3 KiB	18-Feb-2025 13:00
MMSForth General Description (1982)(Miller Microcomputer Services).zip	False	3.4 MiB	18-Feb-2025 13:00
Mad Hatter Software Catalog (1979)(Mad Hatter Software).zip	False	2.7 MiB	18-Feb-2025 13:00
Matchless Systems Catalog (19xx)(Matchless Systems).zip	False	1.6 MiB	18-Feb-2025 13:00
Med Systems Software Spring 1981 Catalog (1981)(Med Systems).zip	False	1.2 MiB	18-Feb-2025 13:00
Micro Mint Hardware Catalog (19xx)(Micro Mint).zip	False	856.6 KiB	18-Feb-2025 13:00
Microsette Computer Cassette Duplication (19xx)(Microsette Co).zip	False	643.7 KiB	18-Feb-2025 13:00
Microware OS-9 Software Catalog (1995)(Microware).zip	False	1.6 MiB	18-Feb-2025 13:00
Misosys Catalog (1984)(Misosys).zip	False	14.4 MiB	18-Feb-2025 13:00
Misosys Catalog (1989)(Misosys).zip	False	2.3 MiB	18-Feb-2025 13:00
Misosys Catalog 87-1 (1987)(Misosys).zip	False	2.3 MiB	18-Feb-2025 13:00
Model I Word Processing Catalog (1980)(Tandy).zip	False	1.7 MiB	18-Feb-2025 13:00
Molymerx Mail Order Software Catalog (19xx)(Molymerx).zip	False	17.2 MiB	18-Feb-2025 13:00
Molymerx Mail Order Software Catalog 82-12 (1982)(Molymerx).zip	False	32.7 MiB	18-Feb-2025 13:00
Nebs Computer Forms Catalog (19xx)(Nebs).zip	False	1.7 MiB	18-Feb-2025 13:00
NewDOS-80 v2.0 Upgrade Offer (19xx)(Apparat).zip	False	1.2 MiB	18-Feb-2025 13:00
Omni Complete Catalog of Computer Software (1984)(Omni Publications International).zip	False	28.1 MiB	18-Feb-2025 13:00
PMC-80 Personal Computer Data Sheet (19xx)(Personal Microcomputers).zip	False	832.9 KiB	18-Feb-2025 13:00
Pan American Electronics Catalog (19xx)(Pan American Electronics).zip	False	3.6 MiB	18-Feb-2025 13:00
Pan American Electronics Price List (1980)(Pan American Electronics Incorporated).zip	False	2.4 MiB	18-Feb-2025 13:00
Paper Tiger 445 (199x)(Integral Data Systems).zip	False	702.4 KiB	18-Feb-2025 13:00
Paper Tiger 460 (199x)(Integral Data Systems).zip	False	1.3 MiB	18-Feb-2025 13:00
Percom Dealer Signup Package (1979)(Percom Data Company).zip	False	2.3 MiB	18-Feb-2025 13:00
Percom News Releases (1979)(Percom Data Company).zip	False	3.8 MiB	18-Feb-2025 13:00
Percom Product Bulletins (1979)(Percom Data Company).zip	False	5.9 MiB	18-Feb-2025 13:00
Percom Technical Memo TFD-100-04 (1979)(Percom Data Company).zip	False	239.9 KiB	18-Feb-2025 13:00
Personal Software Catalog (1980)(Personal Software).zip	False	3.8 MiB	18-Feb-2025 13:00
Program Catalog for the CoCo (1982)(Radio Shack).zip	False	6.8 MiB	18-Feb-2025 13:00
Prosoft Catalog (1982)(Prosoft).zip	False	3.2 MiB	18-Feb-2025 13:00
RSC-01 Computer Catalog (1977)(Radio Shack).zip	False	5.5 MiB	18-Feb-2025 13:00
RSC-02 Computer Catalog (1980)(Radio Shack).zip	False	5.4 MiB	18-Feb-2025 13:00
RSC-02 Computer Catalog (1980)(Radio Shack)[DJVU].zip	False	780.4 KiB	18-Feb-2025 13:00
RSC-02 Computer Catalog (1980)(Radio Shack)[a].zip	False	16.7 MiB	18-Feb-2025 13:00
RSC-03 Computer Catalog (1980)(Radio Shack)[PDF][NO OCR].zip	False	21.7 MiB	18-Feb-2025 13:00
RSC-03 Computer Catalog (1980)(Radio Shack)[PDF][OCR].zip	False	6.1 MiB	18-Feb-2025 13:00
RSC-04 Computer Catalog (1981)(Radio Shack)(EU).zip	False	12.6 MiB	18-Feb-2025 13:00
RSC-04 Computer Catalog (1981)(Radio Shack).zip	False	17.1 MiB	18-Feb-2025 13:00
RSC-05 Computer Catalog (1981)(Radio Shack).zip	False	10.7 MiB	18-Feb-2025 13:00
RSC-05 Computer Catalog (1981)(Radio Shack)[a].zip	False	31.6 MiB	18-Feb-2025 13:00
RSC-06 Computer Catalog (1982)(Radio Shack).zip	False	14.6 MiB	18-Feb-2025 13:00
RSC-06 Computer Catalog (1982)(Radio Shack)[a2].zip	False	68.8 MiB	18-Feb-2025 13:00
RSC-06 Computer Catalog (1982)(Radio Shack)[a].zip	False	35.7 MiB	18-Feb-2025 13:00
RSC-07 Computer Catalog (1982)(Radio Shack).zip	False	33.2 MiB	18-Feb-2025 13:00
RSC-08 Computer Catalog (1983)(Radio Shack).zip	False	83.1 MiB	18-Feb-2025 13:00
RSC-08 Computer Catalog (1983)(Radio Shack)[a].zip	False	34.4 MiB	18-Feb-2025 13:00
RSC-09 Computer Catalog (1983)(Radio Shack).zip	False	83.6 MiB	18-Feb-2025 13:00
RSC-09 Computer Catalog (1983)(Radio Shack)[OCR].zip	False	37.9 MiB	18-Feb-2025 13:00
RSC-10 Computer Catalog (1984)(Radio Shack).zip	False	83.3 MiB	18-Feb-2025 13:00
RSC-10 Computer Catalog (1984)(Radio Shack)[a].zip	False	43.6 MiB	18-Feb-2025 13:00
RSC-11 Computer Catalog (1984)(Radio Shack).zip	False	89.7 MiB	18-Feb-2025 13:00
RSC-11 Computer Catalog (1984)(Radio Shack)[a2].zip	False	39.4 MiB	18-Feb-2025 13:00
RSC-11 Computer Catalog (1984)(Radio Shack)[a].zip	False	39.8 MiB	18-Feb-2025 13:00
RSC-12 Computer Catalog (1985)(Radio Shack).zip	False	83.8 MiB	18-Feb-2025 13:00
RSC-12 Computer Catalog (1985)(Radio Shack)[a].zip	False	28.8 MiB	18-Feb-2025 13:00
RSC-14 Computer Catalog (1985)(Radio Shack).zip	False	97.7 MiB	18-Feb-2025 13:00
RSC-14 Computer Catalog (1985)(Radio Shack)[a2].zip	False	31.3 MiB	18-Feb-2025 13:00
