name	is_dir	size	date
1-2-3 Digit Multiplication v1.0 (1986)(Microcomputer Workshops)(II+).zip	False	343.7 KiB	18-Feb-2025 07:02
101 Misused Words (1983)(Learning Seed)(US)[read error T0A].zip	False	744.4 KiB	18-Feb-2025 07:02
ARCO Computer Preparation for the SAT (1984)(ARCO Publishing)(II+)(Disk 1 of 8).zip	False	555.3 KiB	18-Feb-2025 07:02
ARCO Computer Preparation for the SAT (1984)(ARCO Publishing)(II+)(Disk 2 of 8).zip	False	526.3 KiB	18-Feb-2025 07:02
ARCO Computer Preparation for the SAT (1984)(ARCO Publishing)(II+)(Disk 3 of 8)[b damaged].zip	False	857.0 KiB	18-Feb-2025 07:02
ARCO Computer Preparation for the SAT (1984)(ARCO Publishing)(II+)(Disk 4 of 8).zip	False	1.1 MiB	18-Feb-2025 07:02
ARCO Computer Preparation for the SAT (1984)(ARCO Publishing)(II+)(Disk 5 of 8).zip	False	1.1 MiB	18-Feb-2025 07:02
ARCO Computer Preparation for the SAT (1984)(ARCO Publishing)(II+)(Disk 6 of 8).zip	False	1.1 MiB	18-Feb-2025 07:02
ARCO Computer Preparation for the SAT (1984)(ARCO Publishing)(II+)(Disk 7 of 8).zip	False	937.2 KiB	18-Feb-2025 07:02
ARCO Computer Preparation for the SAT (1984)(ARCO Publishing)(II+)(Disk 8 of 8).zip	False	891.3 KiB	18-Feb-2025 07:02
ATI Training Power for CP-M v2.25a (1984)(South-Western Publishing)(IIE)[128K].zip	False	797.5 KiB	18-Feb-2025 07:02
ATI Training Power for MultiPlan v2.25a (1984)(South-Western Publishing)(IIE)(US)(Disk 1 of 2)[128K].zip	False	826.7 KiB	18-Feb-2025 07:02
ATI Training Power for MultiPlan v2.25a (1984)(South-Western Publishing)(IIE)(US)(Disk 2 of 2)[128K].zip	False	841.6 KiB	18-Feb-2025 07:02
ATI Training Power for SuperCalc v2.25a (1984)(South-Western Publishing)(IIE)(US)(Disk 1 of 2)[128K].zip	False	809.4 KiB	18-Feb-2025 07:02
ATI Training Power for SuperCalc v2.25a (1984)(South-Western Publishing)(IIE)(US)(Disk 2 of 2)[128K].zip	False	911.1 KiB	18-Feb-2025 07:02
ATI Training Power for WordStar Volume 1 v2.25a (1984)(South-Western Publishing)(IIE)(US)(Disk 1 of 2)[128K].zip	False	790.4 KiB	18-Feb-2025 07:02
ATI Training Power for WordStar Volume 1 v2.25a (1984)(South-Western Publishing)(IIE)(US)(Disk 2 of 2)[128K].zip	False	934.1 KiB	18-Feb-2025 07:02
ATI Training Power for WordStar Volume 2 v2.25a (1984)(South-Western Publishing)(IIE)(US)(Disk 1 of 2)[b damaged][128K].zip	False	709.6 KiB	18-Feb-2025 07:02
ATI Training Power for WordStar Volume 2 v2.25a (1984)(South-Western Publishing)(IIE)(US)(Disk 2 of 2)[128K].zip	False	680.4 KiB	18-Feb-2025 07:02
ATI Training Power for dBASE II Volume 1 v2.25a (1984)(South-Western Publishing)(IIE)(US)(Disk 1 of 2)[128K].zip	False	814.3 KiB	18-Feb-2025 07:02
ATI Training Power for dBASE II Volume 1 v2.25a (1984)(South-Western Publishing)(IIE)(US)(Disk 2 of 2)[128K].zip	False	605.2 KiB	18-Feb-2025 07:02
ATI Training Power for dBASE II Volume 2 v2.25a (1984)(South-Western Publishing)(IIE)(US)(Disk 1 of 2)[128K].zip	False	783.9 KiB	18-Feb-2025 07:02
ATI Training Power for dBASE II Volume 2 v2.25a (1984)(South-Western Publishing)(IIE)(US)(Disk 2 of 2)[128K].zip	False	753.3 KiB	18-Feb-2025 07:02
Ace Inquirer (1989)(Mindplay)(Side A).zip	False	1.0 MiB	18-Feb-2025 07:02
Ace Inquirer (1989)(Mindplay)(Side B).zip	False	466.7 KiB	18-Feb-2025 07:02
Ace Reporter (1987)(Mindplay)(Side A).zip	False	966.0 KiB	18-Feb-2025 07:02
Ace Reporter (1987)(Mindplay)(Side B).zip	False	488.6 KiB	18-Feb-2025 07:02
Acid-Base Reactions (1983)(Encyclopaedia Brittanica)[b].zip	False	961.3 KiB	18-Feb-2025 07:02
Adding Fractions v1.0 (1984)(Microcomputer Workshops Courseware).zip	False	759.7 KiB	18-Feb-2025 07:02
Addition (1984)(Prescription Learning)(Disk 1 of 8).zip	False	794.6 KiB	18-Feb-2025 07:02
Addition (1984)(Prescription Learning)(Disk 2 of 8).zip	False	271.9 KiB	18-Feb-2025 07:02
Addition (1984)(Prescription Learning)(Disk 3 of 8).zip	False	886.9 KiB	18-Feb-2025 07:02
Addition (1984)(Prescription Learning)(Disk 4 of 8).zip	False	876.1 KiB	18-Feb-2025 07:02
Addition (1984)(Prescription Learning)(Disk 5 of 8).zip	False	991.3 KiB	18-Feb-2025 07:02
Addition (1984)(Prescription Learning)(Disk 6 of 8).zip	False	941.7 KiB	18-Feb-2025 07:02
Addition (1984)(Prescription Learning)(Disk 7 of 8).zip	False	891.1 KiB	18-Feb-2025 07:02
Addition (1984)(Prescription Learning)(Disk 8 of 8).zip	False	960.5 KiB	18-Feb-2025 07:02
Addition - 4-Digit Numerals with Renaming (1985)(Prescription Learning)(II+)[THC-3M3-A].zip	False	598.4 KiB	18-Feb-2025 07:02
Addition Magician (1984)(The Learning Company)(US)[b][48K].zip	False	1.2 MiB	18-Feb-2025 07:02
Addition Multiple Renamings (1990)(Jostens Learning Corporation)(II+)[64K].zip	False	769.0 KiB	18-Feb-2025 07:02
Addition Two Renamings (1990)(Jostens Learning Corporation)(II+)[64K].zip	False	709.9 KiB	18-Feb-2025 07:02
Addition of Fractions - Common Denominators (1990)(Jostens Learning Corporation)(II+)[64K].zip	False	770.0 KiB	18-Feb-2025 07:02
Adjectives (1984-06-29)(Hartley Courseware).zip	False	707.9 KiB	18-Feb-2025 07:02
Adjectives (1987-05-27)(Hartley Courseware)[b damaged].zip	False	1.0 MiB	18-Feb-2025 07:02
Advanced Analogies (1984-06-29)(Hartley Courseware)(II+)(Disk 2 of 2).zip	False	824.5 KiB	18-Feb-2025 07:02
Advanced Electricity (1984)(E.M.E. Corporation)(II+)(US)[48K].zip	False	801.0 KiB	04-May-2025 05:48
Adventures with Fractions v1.0 (1983)(MECC)(II+)(US)[A-774].zip	False	1.0 MiB	18-Feb-2025 07:02
Adventures with Fractions v1.1 (1983)(MECC)(II+)(US)[48K][A-774].zip	False	823.8 KiB	18-Feb-2025 07:02
Alfred's Basic Band Computer Tutor (1985-06-05)(Alfred Publishing Company)(Disk 1 of 2).zip	False	875.0 KiB	18-Feb-2025 07:02
Alfred's Basic Band Computer Tutor (1985-06-05)(Alfred Publishing Company)(Disk 2 of 2)(Preview Disk).zip	False	1001.6 KiB	18-Feb-2025 07:02
Alfred's Basic Piano Theory Software (1986)(Alfred Publishing Company).zip	False	915.2 KiB	18-Feb-2025 07:02
Alge-Blaster (1985-07-21)(Davidson & Associates)(II+)(US)(Side A)[64K].zip	False	574.9 KiB	18-Feb-2025 07:02
Algebra Coach II, The - Introduction to Quadratic Equations (1985)(Educational Activities).zip	False	924.1 KiB	18-Feb-2025 07:02
Algebra Volume 1 v1.3 (1981-12-31)(Edu-Ware).zip	False	915.6 KiB	18-Feb-2025 07:02
Algebra Volume 2 v1.0 (1982-04-01)(Edu-Ware).zip	False	721.2 KiB	18-Feb-2025 07:02
Algebra Volume 2 v1.1 (1983-05-10)(Edu-Ware).zip	False	788.6 KiB	18-Feb-2025 07:02
Algebra Volume 3 v1.2 (1983)(Edu-Ware)[b].zip	False	1.0 MiB	18-Feb-2025 07:02
Algebra Volume 4 v1.0 (1983-01-10)(Edu-Ware).zip	False	1012.0 KiB	18-Feb-2025 07:02
Algebra Volume 5 v1.2 (1984)(Peachtree)[b].zip	False	886.6 KiB	18-Feb-2025 07:02
Algebra Volume 6 v1.2 (1984)(Peachtree Software)[b].zip	False	1007.9 KiB	18-Feb-2025 07:02
Alice in LogoLand (198x)(Krell Software)(US).zip	False	498.6 KiB	18-Feb-2025 07:02
Alien Addition (1982)(Developmental Learning Materials)(US).zip	False	604.6 KiB	18-Feb-2025 07:02
Aliencounter and Face Flash (1982)(Milliken Publishing).zip	False	565.0 KiB	18-Feb-2025 07:02
All About Purim v2.1 (1983)(Davka Corporation)(Disk 1 of 3).zip	False	995.0 KiB	18-Feb-2025 07:02
All About Purim v2.1 (1983)(Davka Corporation)(Disk 2 of 3).zip	False	1014.2 KiB	18-Feb-2025 07:02
All About Purim v2.1 (1983)(Davka Corporation)(Disk 3 of 3).zip	False	625.9 KiB	18-Feb-2025 07:02
Alligator Alley (1984)(Developmental Learning Materials)(US)[b].zip	False	572.9 KiB	18-Feb-2025 07:02
Alligator Mix Rev 0 (1982)(Developmental Learning Materials)(II+)(US).zip	False	601.2 KiB	18-Feb-2025 07:02
Alligators and Crocodiles (1984)(Troll Associates)(II+)(US).zip	False	677.9 KiB	18-Feb-2025 07:02
Alphabet Beasts & Company (1983)(Reader's Digest Software)(II+)[rip 1].zip	False	1000.3 KiB	18-Feb-2025 07:02
Alphabet Beasts & Company (1983)(Reader's Digest Software)(II+)[rip 2].zip	False	1011.9 KiB	18-Feb-2025 07:02
Alphabetic Keyboarding Volume 1 v1.0 (1983)(South-Western Publishing)(II+).zip	False	1009.0 KiB	18-Feb-2025 07:02
Alphabetic Keyboarding Volume 2 v1.0 (1983)(South-Western Publishing)(II+).zip	False	1.1 MiB	18-Feb-2025 07:02
Alphabetical Order (1984)(Intellectual Software)(US).zip	False	197.5 KiB	18-Feb-2025 07:02
Alphabetization Sequence (1980)(Milliken Publishing)(II+).zip	False	833.8 KiB	18-Feb-2025 07:02
Alphabetizing - Blue Level (1983)(Methods & Solutions)(II+)(US).zip	False	458.2 KiB	18-Feb-2025 07:02
Alpine Tram Ride (1985)(Litag)[b].zip	False	438.0 KiB	18-Feb-2025 07:02
America Coast to Coast (1984)(Mindscape)(IIE)(US)[b].zip	False	884.5 KiB	18-Feb-2025 07:02
American Government (1984)(Micro Learningware)(II+).zip	False	587.9 KiB	18-Feb-2025 07:02
American Government (1985)(Intellectual Software)(US)(Disk 1 of 5).zip	False	1012.9 KiB	18-Feb-2025 07:02
American Government (1985)(Intellectual Software)(US)(Disk 2 of 5).zip	False	993.0 KiB	18-Feb-2025 07:02
American Government (1985)(Intellectual Software)(US)(Disk 3 of 5).zip	False	1.0 MiB	18-Feb-2025 07:02
American Government (1985)(Intellectual Software)(US)(Disk 4 of 5).zip	False	997.4 KiB	18-Feb-2025 07:02
American Government (1985)(Intellectual Software)(US)(Disk 5 of 5).zip	False	970.9 KiB	18-Feb-2025 07:02
American History Achievement IV - World War II-Present v1.0 (1986)(Microcomputer Workshops Courseware)(II+).zip	False	1.2 MiB	18-Feb-2025 07:02
Analogies Tutorial (1984-06-29)(Hartley Courseware)(II+)(Disk 1 of 2).zip	False	844.2 KiB	18-Feb-2025 07:02
Analogies Tutorial (1984-06-29)(Hartley Courseware)(II+)(Disk 2 of 2).zip	False	719.3 KiB	18-Feb-2025 07:02
Analogies Tutorial (1987-12-15)(Hartley Courseware)(II+)(Side A)[48K].zip	False	724.9 KiB	18-Feb-2025 07:02
Analogies Tutorial (1987-12-15)(Hartley Courseware)(II+)(Side B)[48K].zip	False	702.5 KiB	18-Feb-2025 07:02
Animal Homes and Stories (1992)(Troll Associates)(II+)(US)[48K].zip	False	1.1 MiB	18-Feb-2025 07:02
Animal Kingdom (1985)(Unicorn Software)(Side A)[b].zip	False	951.8 KiB	18-Feb-2025 07:02
Animal Survival (1989-06-29)(Hartley Courseware)(IIE)[cr 4am][req Echo Voice System].zip	False	893.1 KiB	18-Feb-2025 07:02
Animal Survival (1989-06-29)(Hartley Courseware)(IIE)[cr 4am][req Ufonic Voice System].zip	False	1.2 MiB	18-Feb-2025 07:02
Antonym Antics (1983-09-20)(MUSE Software)(Disk 1 of 2).zip	False	763.1 KiB	18-Feb-2025 07:02
Antonym Antics (1983-09-20)(MUSE Software)(Disk 2 of 2).zip	False	812.7 KiB	18-Feb-2025 07:02
Antonyms-Synonyms 1 (1987-05-25)(Hartley Courseware).zip	False	951.4 KiB	18-Feb-2025 07:02
Antonyms-Synonyms 2 (1987-05-25)(Hartley Courseware)(II+).zip	False	744.1 KiB	18-Feb-2025 07:02
Aphasia I (1983)(Parrot Software)(II+).zip	False	449.6 KiB	18-Feb-2025 07:02
Aphasia III (1983)(Parrot Software)(II+).zip	False	394.1 KiB	18-Feb-2025 07:02
Aphasia IV - Reading Comprehension (1985)(Parrot Software)(II+).zip	False	826.4 KiB	18-Feb-2025 07:02
Apple Grade Book, The v2.5 (1982)(J & S Software)(II+).zip	False	784.1 KiB	18-Feb-2025 07:02
Apple Grade Book, The v4.1 (1984)(J & S Software)(II+).zip	False	646.4 KiB	18-Feb-2025 07:02
Association Pictures (1983)(Parrot Software)(II+).zip	False	446.8 KiB	18-Feb-2025 07:02
Astronomy Disk, The (1984)(Prentice-Hall)[b].zip	False	971.5 KiB	18-Feb-2025 07:02
BASIC Building Blocks (1983)(Micro Education)(Disk 1 of 2).zip	False	700.9 KiB	18-Feb-2025 07:02
