name	is_dir	size	date
Activision Sampler (19xx)(Activision).zip	False	68.3 KiB	18-Feb-2025 07:22
Animated Software Catalog, The (1985)(Baudville)(Side A).zip	False	65.4 KiB	18-Feb-2025 07:22
Animated Software Catalog, The (1985)(Baudville)(Side B).zip	False	64.5 KiB	18-Feb-2025 07:22
Applesoft Sampler (1982)(Apple)[A2D2002].zip	False	48.3 KiB	18-Feb-2025 07:22
Applesoft Sampler (1984)(Apple)[680-3011-A].zip	False	56.7 KiB	18-Feb-2025 07:22
College Board v81-82 (1981)(Krell Software)(II+)(US)[cr 4am].zip	False	22.8 KiB	18-Feb-2025 07:22
Collins Computing DEMODISK01027B (1982)(Collins Computing).zip	False	55.2 KiB	18-Feb-2025 07:22
Easy Reader Demo (1983)(American Educational Computer)(Disk 1 of 4)(Learn About Sounds)[cr 4am].zip	False	39.1 KiB	18-Feb-2025 07:22
Easy Reader Demo (1983)(American Educational Computer)(Disk 2 of 4)(Learn About Words 1)[cr 4am].zip	False	39.3 KiB	18-Feb-2025 07:22
Easy Reader Demo (1983)(American Educational Computer)(Disk 3 of 4)(Reading Comprehension Skills 1)[cr 4am].zip	False	45.1 KiB	18-Feb-2025 07:22
Easy Reader Demo (1983)(American Educational Computer)(Disk 4 of 4)(Reading Comprehension Skills 3)[cr 4am].zip	False	41.8 KiB	18-Feb-2025 07:22
Easy Reader Demo (1983)(American Educational Computer)[cr 4am][work disk].zip	False	33.3 KiB	18-Feb-2025 07:22
MatchMaker Demo Disk (1984)(American Educational Computer)[cr 4am].zip	False	44.6 KiB	18-Feb-2025 07:22
MatchMaker Demo Disk (1984)(American Educational Computer)[cr 4am][work disk].zip	False	33.4 KiB	18-Feb-2025 07:22
Mr. and Mrs. Potato Head (1985)(Random House)(II+)(US)[cr 4am][64K].zip	False	73.7 KiB	18-Feb-2025 07:22
Nibble Sampler Disk (1991)(MindCraft Publishing)(Side A)[DOS 3.3].zip	False	47.7 KiB	12-Jul-2025 00:57
Nibble Sampler Disk (1991)(MindCraft Publishing)(Side B)(Nibble Bonus Disk)[ProDOS].zip	False	36.1 KiB	12-Jul-2025 00:57
Property Management System (1982)(Realty Software)(II+)[cr 4am].zip	False	27.3 KiB	18-Feb-2025 07:22
Quest - Primary Voice Software Intro Disk (1986)(Prescription Learning)(Side A)[cr 4am].zip	False	86.2 KiB	18-Feb-2025 07:22
Quest - Primary Voice Software Intro Disk (1986)(Prescription Learning)(Side B)[cr 4am].zip	False	47.8 KiB	18-Feb-2025 07:22
Timeworks Demo Disk F401 (1983)(Timeworks).zip	False	54.4 KiB	18-Feb-2025 07:22
Typing Is A Ball, Charlie Brown (1985)(Random House)(II+)(US)[cr 4am].zip	False	58.5 KiB	18-Feb-2025 07:22
