name	is_dir	size	date
0 Grad Nord (1985)(Ariolasoft)(DE)(Side A)[cr Homesoft][BASIC].zip	False	58.3 KiB	18-Feb-2025 07:26
0 Grad Nord (1985)(Ariolasoft)(DE)(Side B)[cr Homesoft][BASIC].zip	False	56.7 KiB	18-Feb-2025 07:26
0 Grad Nord (1990)(Secret Games)(DE)(Side A)[BASIC].zip	False	53.5 KiB	18-Feb-2025 07:26
0 Grad Nord (1990)(Secret Games)(DE)(Side B)[BASIC].zip	False	62.0 KiB	18-Feb-2025 07:26
007 - The Living Daylights (1987)(Domark)(GB).zip	False	24.0 KiB	18-Feb-2025 07:26
007 - The Living Daylights (1987)(Domark)(GB)[b].zip	False	35.9 KiB	18-Feb-2025 07:26
007 - The Living Daylights (1987)(Domark)(GB)[cr L.P.S.].zip	False	24.9 KiB	18-Feb-2025 07:26
007 - The Living Daylights (1987)(Domark)(GB)[cr S.H.A.B.].zip	False	32.9 KiB	18-Feb-2025 07:26
007 - The Living Daylights (1987)(Domark)(GB)[k-file].zip	False	28.6 KiB	18-Feb-2025 07:26
007 - The Living Daylights (1994)(ANG Software)(NL)(en).zip	False	23.8 KiB	18-Feb-2025 07:26
1040 Terminator (1988)(Antic)(US)[BASIC].zip	False	12.1 KiB	18-Feb-2025 07:26
15 Mit 3 (19xx)(Funkysoft)(DE)(PD).zip	False	14.0 KiB	18-Feb-2025 07:26
180 (1986)(Mastertronic)(GB)[cr Mr. Bacardi][a][k-file].zip	False	20.8 KiB	18-Feb-2025 07:26
180 (1986)(Mastertronic)(GB)[cr Mr. Bacardi][k-file].zip	False	20.8 KiB	18-Feb-2025 07:26
2010 - The Second Odysee (1985)(Paterak Software)(DE)(PD)(Side A)[BASIC].zip	False	34.3 KiB	18-Feb-2025 07:26
2010 - The Second Odysee (1985)(Paterak Software)(DE)(PD)(Side A)[h Snake][BASIC].zip	False	34.3 KiB	18-Feb-2025 07:26
2010 - The Second Odysee (1985)(Paterak Software)(DE)(PD)(Side B)[BASIC].zip	False	27.2 KiB	18-Feb-2025 07:26
21 Blackjack (1990)(AtariServ)(US)(PD)[BASIC].zip	False	15.9 KiB	18-Feb-2025 07:26
21 Blackjack (1990)(AtariServ)(US)(PD)[a][BASIC].zip	False	29.9 KiB	18-Feb-2025 07:26
221B Baker Street - Case Library #1 (1987)(Datasoft)(US).zip	False	43.0 KiB	18-Feb-2025 07:26
221B Baker Street - Case Library #2 (1987)(Datasoft)(US).zip	False	43.7 KiB	18-Feb-2025 07:26
221B Baker Street v1.0 (1987)(Datasoft)(US)(Side A).zip	False	46.2 KiB	18-Feb-2025 07:26
221B Baker Street v1.0 (1987)(Datasoft)(US)(Side A)[cr The Bounty].zip	False	46.2 KiB	18-Feb-2025 07:26
221B Baker Street v1.0 (1987)(Datasoft)(US)(Side B).zip	False	42.9 KiB	18-Feb-2025 07:26
221B Baker Street v1.0 (1987)(Datasoft)(US)(Side B)[cr The Bounty].zip	False	43.0 KiB	18-Feb-2025 07:26
221B Baker Street v1.0 (1987)(Datasoft)(US)(Side B)[cr The Bounty][b].zip	False	46.6 KiB	18-Feb-2025 07:26
235 U (1992)(L.K. Avalon)(PL)[cr Mr. Bacardi][a][k-file].zip	False	16.1 KiB	18-Feb-2025 07:26
235 U (1992)(L.K. Avalon)(PL)[cr Mr. Bacardi][k-file].zip	False	16.1 KiB	18-Feb-2025 07:26
2600 Adventure (1986)(Tony Ramos)[a][unfinished].zip	False	30.8 KiB	18-Feb-2025 07:26
2600 Adventure (1986)(Tony Ramos)[unfinished].zip	False	32.6 KiB	18-Feb-2025 07:26
3-D Master Mind (1985)(Torru, G. P.)(NL)(PD).zip	False	13.0 KiB	18-Feb-2025 07:26
3-D Maze Escape (1983)(Antic)(US)[BASIC].zip	False	12.5 KiB	18-Feb-2025 07:26
3-D Noughts & Crosses (1984)(Ad Astra)(GB).zip	False	22.0 KiB	18-Feb-2025 07:26
3-D Pac (1989)(Secret Games)(DE)(en).zip	False	45.0 KiB	18-Feb-2025 07:26
3-D Pac Plus (1989)(Secret Games)(DE)(en).zip	False	48.8 KiB	18-Feb-2025 07:26
3-D Red Baron (1980)(Sebree's Computing)(US)[a][k-file].zip	False	6.2 KiB	18-Feb-2025 07:26
3-D Red Baron (1980)(Sebree's Computing)(US)[k-file].zip	False	6.1 KiB	18-Feb-2025 07:26
3-D Tic-Tac-Toe (1979)(Atari)(US).zip	False	4.7 KiB	18-Feb-2025 07:26
3-D Tic-Tac-Toe (1979)(Atari)(US)[a][k-file].zip	False	3.6 KiB	18-Feb-2025 07:26
3-D Tic-Tac-Toe (1979)(Atari)(US)[k-file].zip	False	3.6 KiB	18-Feb-2025 07:26
3-D-Pac (1988-06)(AMC-Verlag)(DE)(en).zip	False	39.2 KiB	18-Feb-2025 07:26
3d24 (1993)(L.K. Avalon)(PL)[h Mr. Bacardi][b].zip	False	21.6 KiB	18-Feb-2025 07:26
3d24 (1993)(L.K. Avalon)(PL)[k-file].zip	False	19.9 KiB	18-Feb-2025 07:26
4GRAVITY! (2024-03-26)(Spedaletti, Marco)(400-800)(IT)(en).zip	False	17.3 KiB	12-Jul-2025 00:58
4GRAVITY! (2024-03-26)(Spedaletti, Marco)(XE-XL)(IT)(en).zip	False	17.3 KiB	12-Jul-2025 00:58
7 Cities of Gold - Custom World (19xx)(-)(Side B)[b].zip	False	6.4 KiB	18-Feb-2025 07:26
747 Flug-Simulator (1981)(Atari)(DE)[BASIC].zip	False	11.6 KiB	18-Feb-2025 07:26
747 Landing Simulator (1981)(APX)(US)[BASIC].zip	False	17.5 KiB	18-Feb-2025 07:26
747 Landing Simulator (1981)(APX)(US)[a2][BASIC].zip	False	16.2 KiB	18-Feb-2025 07:26
747 Landing Simulator (1981)(APX)(US)[a][BASIC].zip	False	15.3 KiB	18-Feb-2025 07:26
A To Snad Ne (19xx)(-)(cs)(Side A)[k-file].zip	False	34.8 KiB	18-Feb-2025 07:26
A To Snad Ne (19xx)(-)(cs)(Side B)[k-file].zip	False	35.3 KiB	18-Feb-2025 07:26
A-Zone (1989)(B.Ware Software)(GB).zip	False	19.1 KiB	18-Feb-2025 07:26
A.D. 2044 (1991)(L.K. Avalon)(PL)(Side A).zip	False	48.1 KiB	18-Feb-2025 07:26
A.D. 2044 (1991)(L.K. Avalon)(PL)(Side A)[a2].zip	False	48.1 KiB	18-Feb-2025 07:26
A.D. 2044 (1991)(L.K. Avalon)(PL)(Side A)[a].zip	False	48.0 KiB	18-Feb-2025 07:26
A.D. 2044 (1991)(L.K. Avalon)(PL)(Side B).zip	False	36.0 KiB	18-Feb-2025 07:26
A.D. 2044 (1991)(L.K. Avalon)(PL)(Side B)[a2].zip	False	36.0 KiB	18-Feb-2025 07:26
A.D. 2044 (1991)(L.K. Avalon)(PL)(Side B)[a3].zip	False	47.9 KiB	18-Feb-2025 07:26
A.D. 2044 (1991)(L.K. Avalon)(PL)(Side B)[a].zip	False	36.0 KiB	18-Feb-2025 07:26
