name	is_dir	size	date
AceDOS128 (2010-04-07)(MIRKOSOFT).zip	False	26.6 KiB	18-Feb-2025 09:22
AceDOS128 (2010-04-07)(MIRKOSOFT)[a].zip	False	27.7 KiB	18-Feb-2025 09:22
AceDOS128 v1.1 (2010-05-22)(MIRKOSOFT).zip	False	25.4 KiB	18-Feb-2025 09:22
CPM 3.0 Boot Disk (1985)(Commodore)[minimal].zip	False	73.6 KiB	18-Feb-2025 09:22
CPM System (1987-05-28)(Commodore)(Side A).zip	False	69.5 KiB	18-Feb-2025 09:22
CPM System (1987-05-28)(Commodore)(Side B).zip	False	87.7 KiB	18-Feb-2025 09:22
CPM System Fast (1987-05-28)(Commodore)(Side A)[m Linards Ticmanis].zip	False	88.1 KiB	18-Feb-2025 09:22
CPM System Fast (1987-05-28)(Commodore)(Side B)[m Linards Ticmanis].zip	False	63.9 KiB	18-Feb-2025 09:22
Contiki v3.0 (2015-08-25)(contiki-os.org)(Side 1 of 2).zip	False	68.5 KiB	18-Feb-2025 09:22
Contiki v3.0 (2015-08-25)(contiki-os.org)(Side 2 of 2).zip	False	45.3 KiB	18-Feb-2025 09:22
