name	is_dir	size	date
ARC - SDA v5.1 (1988)(Rhodes, Mark).zip	False	36.2 KiB	18-Feb-2025 09:24
ARC - SDA v5.1 (1988)(Rhodes, Mark)[SDA].zip	False	38.1 KiB	18-Feb-2025 09:24
ARC - SDA v5.1 (1988)(Rhodes, Mark)[a2].zip	False	36.2 KiB	18-Feb-2025 09:24
ARC - SDA v5.1 (1988)(Rhodes, Mark)[a].zip	False	36.2 KiB	18-Feb-2025 09:24
ARC - SDA v5.1 (1988)(Rhodes, Mark)[o].zip	False	36.2 KiB	18-Feb-2025 09:24
Auto-Graph (19xx)(Fuzzy Fox).zip	False	20.3 KiB	18-Feb-2025 09:24
Auto-Graph (19xx)(Fuzzy Fox)[Docs].zip	False	22.3 KiB	18-Feb-2025 09:24
Auto-Graph (19xx)(Fuzzy Fox)[a2].zip	False	17.4 KiB	18-Feb-2025 09:24
Auto-Graph (19xx)(Fuzzy Fox)[a3].zip	False	17.4 KiB	18-Feb-2025 09:24
Auto-Graph (19xx)(Fuzzy Fox)[a4].zip	False	18.2 KiB	18-Feb-2025 09:24
Auto-Graph (19xx)(Fuzzy Fox)[a].zip	False	24.7 KiB	18-Feb-2025 09:24
Auto-Graph (19xx)(Fuzzy Fox)[o2].zip	False	17.4 KiB	18-Feb-2025 09:24
Auto-Graph (19xx)(Fuzzy Fox)[o].zip	False	17.4 KiB	18-Feb-2025 09:24
Fracmaster (19xx)(Moriarty, Mark).zip	False	17.4 KiB	18-Feb-2025 09:24
Fracmaster (19xx)(Moriarty, Mark)[o2].zip	False	17.4 KiB	18-Feb-2025 09:24
Fracmaster (19xx)(Moriarty, Mark)[o].zip	False	17.4 KiB	18-Feb-2025 09:24
GIFVert (19xx)(Weems, Randy).zip	False	5.3 KiB	18-Feb-2025 09:24
GIFVert (19xx)(Weems, Randy)[a2].zip	False	10.7 KiB	18-Feb-2025 09:24
GIFVert (19xx)(Weems, Randy)[a].zip	False	5.3 KiB	18-Feb-2025 09:24
GIFVert (19xx)(Weems, Randy)[o13].zip	False	5.3 KiB	18-Feb-2025 09:24
GIFVert (19xx)(Weems, Randy)[o3].zip	False	5.3 KiB	18-Feb-2025 09:24
GIFVert (19xx)(Weems, Randy)[o4].zip	False	6.2 KiB	18-Feb-2025 09:24
GIFVert (19xx)(Weems, Randy)[o4][a].zip	False	5.3 KiB	18-Feb-2025 09:24
GIFVert (19xx)(Weems, Randy)[o].zip	False	5.3 KiB	18-Feb-2025 09:24
Gary Label Maker v2.3 (1987)(Gary).zip	False	12.5 KiB	18-Feb-2025 09:24
Gif Viewer v2.0 (1990)(Jansen, David).zip	False	16.9 KiB	18-Feb-2025 09:24
Gif Viewer v2.0 (1990)(Jansen, David)[a2].zip	False	16.9 KiB	18-Feb-2025 09:24
Gif Viewer v2.0 (1990)(Jansen, David)[a3].zip	False	16.9 KiB	18-Feb-2025 09:24
Gif Viewer v2.0 (1990)(Jansen, David)[a].zip	False	16.9 KiB	18-Feb-2025 09:24
Handy-Term V8.4 Ultra (1990-06-13)(Ikari - Talent).zip	False	27.7 KiB	18-Feb-2025 09:24
Handy-Term V8.4 Ultra (1990-06-13)(Ikari - Talent)[a].zip	False	27.7 KiB	18-Feb-2025 09:24
Lynx XII (198x)(Corley, Will)[Docs].zip	False	33.0 KiB	18-Feb-2025 09:24
Lynx XV (198x)(Corley, Will)[Docs].zip	False	38.8 KiB	18-Feb-2025 09:24
Lynx XV (198x)(Corley, Will)[a2][Docs].zip	False	38.4 KiB	18-Feb-2025 09:24
Lynx XV (198x)(Corley, Will)[a3][Docs].zip	False	30.5 KiB	18-Feb-2025 09:24
Lynx XV (198x)(Corley, Will)[a][Docs].zip	False	35.6 KiB	18-Feb-2025 09:24
Lynx XVII (1989)(Corley, Will)[Docs].zip	False	35.6 KiB	18-Feb-2025 09:24
MS DOS Copy (19xx)(-).zip	False	8.0 KiB	18-Feb-2025 09:24
MS DOS Copy (19xx)(-)[a2].zip	False	7.9 KiB	18-Feb-2025 09:24
MS DOS Copy (19xx)(-)[a].zip	False	8.0 KiB	18-Feb-2025 09:24
MS DOS Copy (19xx)(-)[o2].zip	False	8.0 KiB	18-Feb-2025 09:24
MS DOS Copy (19xx)(-)[o3].zip	False	8.0 KiB	18-Feb-2025 09:24
MS DOS Copy (19xx)(-)[o].zip	False	8.0 KiB	18-Feb-2025 09:24
Network 64 v1.26 (1987)(Lewit, Sam)[b].zip	False	44.1 KiB	18-Feb-2025 09:24
Novaterm v9.5 (1993-04-01)(Rossi, Nick)(File 1 of 3).zip	False	41.7 KiB	18-Feb-2025 09:24
Novaterm v9.5 (1993-04-01)(Rossi, Nick)(File 2 of 3).zip	False	38.5 KiB	18-Feb-2025 09:24
Novaterm v9.5 (1993-04-01)(Rossi, Nick)(File 3 of 3).zip	False	36.7 KiB	18-Feb-2025 09:24
Pedigree v3.0 (1988)(ERO Systems)(File 1 of 5).zip	False	34.2 KiB	18-Feb-2025 09:24
Pedigree v3.0 (1988)(ERO Systems)(File 2 of 5).zip	False	38.2 KiB	18-Feb-2025 09:24
Pedigree v3.0 (1988)(ERO Systems)(File 3 of 5).zip	False	34.3 KiB	18-Feb-2025 09:24
Pedigree v3.0 (1988)(ERO Systems)(File 4 of 5).zip	False	31.2 KiB	18-Feb-2025 09:24
Pedigree v3.0 (1988)(ERO Systems)(File 5 of 5).zip	False	7.0 KiB	18-Feb-2025 09:24
Skipper Jim's Hurricane Tracking Chart (19xx)(Brown, James).zip	False	17.7 KiB	12-Jul-2025 00:58
Stat (19xx)(Rutter, Troy).zip	False	9.6 KiB	18-Feb-2025 09:24
Stat (19xx)(Rutter, Troy)[a].zip	False	9.6 KiB	18-Feb-2025 09:24
Ufo-Pack v1.0 (19xx)(-).zip	False	18.9 KiB	18-Feb-2025 09:24
Ultra Seq. Print v5.5 (19xx)(R.W. Kober).zip	False	14.7 KiB	18-Feb-2025 09:24
Ultra Seq. Print v5.5 (19xx)(R.W. Kober)[a].zip	False	14.2 KiB	18-Feb-2025 09:24
Wix Bouncer v4.3 (1993)(Style).zip	False	18.3 KiB	18-Feb-2025 09:24
Wix Bouncer v4.3 (1993)(Style)[a].zip	False	18.3 KiB	18-Feb-2025 09:24
Wix Bouncer v5.0 (1996)(Style).zip	False	18.0 KiB	18-Feb-2025 09:24
Wix Bouncer v5.0a (1996)(Style).zip	False	17.8 KiB	18-Feb-2025 09:24
Wraptor! v1.2 (1995)(Softdisk Publishing).zip	False	29.5 KiB	18-Feb-2025 09:24
