name	is_dir	size	date
64'er Magazin 2000-01 (2000)(Markt & Technik)(de)(Side A).zip	False	78.4 KiB	18-Feb-2025 09:40
64'er Magazin 2000-01 (2000)(Markt & Technik)(de)(Side A)[a].zip	False	78.4 KiB	18-Feb-2025 09:40
64'er Magazin 2000-01 (2000)(Markt & Technik)(de)(Side B).zip	False	145.4 KiB	18-Feb-2025 09:40
64'er Magazin 2000-01 (2000)(Markt & Technik)(de)(Side B)[a].zip	False	145.4 KiB	18-Feb-2025 09:40
64'er Magazin 2000-02 (2000)(Markt & Technik)(de)(Side A).zip	False	79.6 KiB	18-Feb-2025 09:40
64'er Magazin 2000-02 (2000)(Markt & Technik)(de)(Side A)[a].zip	False	79.6 KiB	18-Feb-2025 09:40
64'er Magazin 2000-02 (2000)(Markt & Technik)(de)(Side B).zip	False	126.5 KiB	18-Feb-2025 09:40
64'er Magazin 2000-02 (2000)(Markt & Technik)(de)(Side B)[a].zip	False	126.5 KiB	18-Feb-2025 09:40
64'er Magazin 84-04 (1984)(Markt & Technik)(de).zip	False	27.8 KiB	18-Feb-2025 09:40
64'er Magazin 84-10 (1984)(Markt & Technik)(de).zip	False	58.4 KiB	18-Feb-2025 09:40
64'er Magazin 84-10 (1984)(Markt & Technik)(de)[a].zip	False	58.5 KiB	18-Feb-2025 09:40
64'er Magazin 84-11 (1984)(Markt & Technik)(de).zip	False	65.6 KiB	18-Feb-2025 09:40
64'er Magazin 84-11 (1984)(Markt & Technik)(de)[a].zip	False	59.3 KiB	18-Feb-2025 09:40
64'er Magazin 84-12 (1984)(Markt & Technik)(de).zip	False	56.9 KiB	18-Feb-2025 09:40
64'er Magazin 84-12 (1984)(Markt & Technik)(de)[a].zip	False	58.1 KiB	18-Feb-2025 09:40
64'er Magazin 85-01 (1985)(Markt & Technik)(de).zip	False	50.2 KiB	18-Feb-2025 09:40
64'er Magazin 85-01 (1985)(Markt & Technik)(de)[a2].zip	False	50.1 KiB	18-Feb-2025 09:40
64'er Magazin 85-01 (1985)(Markt & Technik)(de)[a3].zip	False	51.4 KiB	18-Feb-2025 09:40
64'er Magazin 85-01 (1985)(Markt & Technik)(de)[a].zip	False	50.1 KiB	18-Feb-2025 09:40
64'er Magazin 85-02 (1985)(Markt & Technik)(de).zip	False	70.3 KiB	18-Feb-2025 09:40
64'er Magazin 85-02 (1985)(Markt & Technik)(de)[a].zip	False	70.4 KiB	18-Feb-2025 09:40
64'er Magazin 85-03 (1985)(Markt & Technik)(de).zip	False	58.0 KiB	18-Feb-2025 09:40
