name	is_dir	size	date
Digital-7-1-S-FB (1965-06-15)(DEC)(US)[Symbolic Tape Editor].zip	False	8.6 KiB	18-Feb-2025 10:00
Digital-7-11-I-IO-ASCII-1 (1964-12-12)(DEC)(US)[Tic Toc Subroutines].zip	False	1.5 KiB	18-Feb-2025 10:00
Digital-7-11-I-IO-ASCII-2 (1964-12-12)(DEC)(US)[Tic Toc Input].zip	False	1.4 KiB	18-Feb-2025 10:00
Digital-7-11-I-IO-ASCII-3 (1964-12-12)(DEC)(US)[Tic Toc Output].zip	False	1.1 KiB	18-Feb-2025 10:00
Digital-7-14-O-ASCII (196x)(DEC)(US)[Octal Print Subroutine].zip	False	509 B	18-Feb-2025 10:00
Digital-7-15-O-ASCII (196x)(DEC)(US)[Decimal Integer Print].zip	False	578 B	18-Feb-2025 10:00
Digital-7-2-S-BIN (1965-12-30)(DEC)(US)[Fortran 6DD Library].zip	False	2.0 KiB	18-Feb-2025 10:00
Digital-7-2-S-BIN (1965-12-30)(DEC)(US)[Fortran 9DD Library].zip	False	2.6 KiB	18-Feb-2025 10:00
Digital-7-2-S-BIN (1965-12-30)(DEC)(US)[Fortran Assembler].zip	False	9.3 KiB	18-Feb-2025 10:00
Digital-7-2-S-BIN (1965-12-30)(DEC)(US)[Fortran Compiler].zip	False	10.8 KiB	18-Feb-2025 10:00
Digital-7-2-S-BIN (1966-03-24)(DEC)(US)[Fortran OTS].zip	False	8.2 KiB	18-Feb-2025 10:00
Digital-7-2-S-BIN (196x)(DEC)(US)[Fortran IO Library].zip	False	6.1 KiB	18-Feb-2025 10:00
Digital-7-22A-IO-ASCII (1966-01-21)(DEC)(US)[PDP-7 Bi-Directional DECtape Routines].zip	False	3.8 KiB	18-Feb-2025 10:00
Digital-7-3-S-BIN (1966-02-07)(DEC)(US)[Symbols for Basic 4K Machine].zip	False	9.2 KiB	18-Feb-2025 10:00
Digital-7-4-S-BIN (1966-02-10)(DEC)(US)[Basic DDT for Basic 4K Machine].zip	False	5.3 KiB	18-Feb-2025 10:00
Digital-7-5-S-BIN (1965-09-25)(DEC)(US)[Bus Pak II].zip	False	13.7 KiB	18-Feb-2025 10:00
Digital-7-54-M-RIM (1966-03-11)(DEC)(US)[MainDEC 701 Instruction Test].zip	False	3.7 KiB	18-Feb-2025 10:00
Digital-7-87-U-ASCII (1965-09-23)(DEC)(US)(Tape 1 of 2)[Test Function - Test Subroutine].zip	False	428 B	18-Feb-2025 10:00
Digital-7-87-U-ASCII (1966-01-10)(DEC)(US)(Tape 2 of 2)[Fortran Operating Test].zip	False	1.4 KiB	18-Feb-2025 10:00
Digital-7-94-U-BIN (1966-01-21)(DEC)(US)[DEC Tape Copy Program].zip	False	2.6 KiB	18-Feb-2025 10:00
