name	is_dir	size	date
MainDEC-08-D02B-PB (1968-01-03)(Diagnostic Group)(US)[Instruction Test Part 2B].zip	False	1.3 KiB	18-Feb-2025 10:00
MainDEC-08-D02B-PB (1968-01-03)(Diagnostic Group)(US)[a][Instruction Test Part 2B].zip	False	755 B	18-Feb-2025 10:00
MainDEC-08-D04B-PB (1967-02-08)(Diagnostic Group)(US)[Random JMP Test].zip	False	612 B	18-Feb-2025 10:00
MainDEC-08-D05B-PB (1967-12-28)(Diagnostic Group)(US)[Random JMP-JMS Test].zip	False	722 B	18-Feb-2025 10:00
MainDEC-08-D07B-PB (1967-12-26)(Diagnostic Group)(US)[Random ISZ Test].zip	False	836 B	18-Feb-2025 10:00
MainDEC-08-D07B-PB (1967-12-28)(Diagnostic Group)(US)[Random ISZ Test].zip	False	865 B	18-Feb-2025 10:00
MainDEC-08-D1AC-PB (1968-09-16)(Diagnostic Group)(US)[Memory Power On-Off Test].zip	False	392 B	18-Feb-2025 10:00
MainDEC-08-D1AC-PB (1968-09-16)(Diagnostic Group)(US)[a][Memory Power On-Off Test].zip	False	436 B	18-Feb-2025 10:00
MainDEC-08-D1B1-PM (1968-04-01)(Diagnostic Group)(US)[Memory Address Test, Low].zip	False	713 B	18-Feb-2025 10:00
MainDEC-08-D1B1-PM (1968-04-01)(Diagnostic Group)(US)[a][Memory Address Test, Low].zip	False	770 B	18-Feb-2025 10:00
MainDEC-08-D1B2-PM (1968-04-01)(Diagnostic Group)(US)[Memory Address Test, High].zip	False	665 B	18-Feb-2025 10:00
MainDEC-08-D1B2-PM (1968-04-01)(Diagnostic Group)(US)[a][Memory Address Test, High].zip	False	721 B	18-Feb-2025 10:00
MainDEC-08-D1EB-PB (1968-05-01)(Diagnostic Group)(US)[PDP-8, 8I Extended Memory Data & Checkerboard Test].zip	False	1.9 KiB	18-Feb-2025 10:00
MainDEC-08-D1GD-PB (1970-07-27)(Diagnostic Group)(US)[PDP-8, 8S Extended Memory Control Test].zip	False	1.5 KiB	18-Feb-2025 10:00
MainDEC-08-D1HA-PB (1968-10-01)(Diagnostic Group)(US)[PDP-8, 8I Extended Memory Address Test].zip	False	1.7 KiB	18-Feb-2025 10:00
MainDEC-08-D1L1-PM (1968-02-27)(Diagnostic Group)(US)[Basic PDP-8, 8I Memory Checkerboard, Low].zip	False	674 B	18-Feb-2025 10:00
MainDEC-08-D1L1-PM (1968-02-27)(Diagnostic Group)(US)[a][Basic PDP-8, 8I Memory Checkerboard, Low].zip	False	668 B	18-Feb-2025 10:00
MainDEC-08-D1L2-PM (1968-06-07)(Diagnostic Group)(US)[Basic PDP-8, 8I Memory Checkerboard, High].zip	False	403 B	18-Feb-2025 10:00
MainDEC-08-D1L2-PM (1968-06-07)(Diagnostic Group)(US)[a][Basic PDP-8, 8I Memory Checkerboard, High].zip	False	632 B	18-Feb-2025 10:00
MainDEC-08-D2PE-PB (1969-02-21)(Diagnostic Group)(US)[ASR33-35 Teletype Tests Part 1].zip	False	1.4 KiB	18-Feb-2025 10:00
MainDEC-08-D2PE-PB (1969-02-21)(Diagnostic Group)(US)[a][ASR33-35 Teletype Tests Part 1].zip	False	1.5 KiB	18-Feb-2025 10:00
MainDEC-08-D2QD-PB (1968-06-04)(Diagnostic Group)(US)[ASR33-35 Teletype Tests Part 2].zip	False	2.5 KiB	18-Feb-2025 10:00
MainDEC-08-D2QD-PB (1968-06-04)(Diagnostic Group)(US)[a][ASR33-35 Teletype Tests Part 2].zip	False	2.5 KiB	18-Feb-2025 10:00
MainDEC-08-D5DB-PB (1968-08-22)(Diagnostic Group)(US)[DF32 Multi Disk].zip	False	1.0 KiB	18-Feb-2025 10:00
MainDEC-08-D5HC-PB (1970-10-01)(Diagnostic Group)(US)[RK8 Disk Data Reliability Test][RK01 Version].zip	False	4.0 KiB	18-Feb-2025 10:00
MainDEC-08-D5JB-PB (1971-11-15)(Diagnostic Group)(US)[RK8 Disk and Control Instruction Test].zip	False	3.4 KiB	18-Feb-2025 10:00
MainDEC-08-D5KB-PB (1970-11-19)(Diagnostic Group)(US)[RK08 Disk Formatter].zip	False	1.7 KiB	18-Feb-2025 10:00
MainDEC-08-DHMCA-A-PB (1972-06-16)(Diagnostic Group)(US)[PDP-8E Memory Extension & Time Share Control Test].zip	False	2.4 KiB	18-Feb-2025 10:00
MainDEC-8E-D0AB-PB (1971-05-10)(Diagnostic Group)(US)[PDP-8E Instruction Test].zip	False	2.0 KiB	18-Feb-2025 10:00
MainDEC-8E-D0BB-PB (1971-06-10)(Diagnostic Group)(US)[PDP-8E Instruction Test 2].zip	False	1.7 KiB	18-Feb-2025 10:00
MainDEC-8E-D1FB-PB (1971-06-14)(Diagnostic Group)(US)[PDP-8E Extended Memory Address Test].zip	False	2.0 KiB	18-Feb-2025 10:00
MainDEC-8I-D01B-PB (1968-03-25)(Diagnostic Group)(US)[Instruction Test 1].zip	False	1.7 KiB	18-Feb-2025 10:00
MainDEC-8I-D01C-PB (1969)(Diagnostic Group)(US)[Instruction Test 1].zip	False	1.7 KiB	18-Feb-2025 10:00
MainDEC-8I-D02B-PB (1968-03-21)(Diagnostic Group)(US)[Instruction Test 2].zip	False	1.5 KiB	18-Feb-2025 10:00
MainDEC-8I-D02B-PB (1968-03-21)(Diagnostic Group)(US)[a2][Instruction Test 2].zip	False	1.6 KiB	18-Feb-2025 10:00
MainDEC-8I-D02B-PB (1968-03-21)(Diagnostic Group)(US)[a][Instruction Test 2].zip	False	1.6 KiB	18-Feb-2025 10:00
