name	is_dir	size	date
BASIC 1.0 - EPROM 1-2 (198x)(Enterprise).zip	False	6.3 KiB	18-Feb-2025 10:00
BASIC 1.0 - EPROM 1-2 (198x)(Enterprise)[a].zip	False	6.3 KiB	18-Feb-2025 10:00
BASIC 1.0 - EPROM 2-2 (198x)(Enterprise).zip	False	6.5 KiB	18-Feb-2025 10:00
BASIC 1.0 - EPROM 2-2 (198x)(Enterprise)[a].zip	False	6.5 KiB	18-Feb-2025 10:00
BASIC 1.1 - EPROM 1.1 (198x)(Enterprise).zip	False	12.5 KiB	18-Feb-2025 10:00
BASIC Interpreter v2.1 (1985)(Intelligent Software).zip	False	12.5 KiB	18-Feb-2025 10:00
BASIC Interpreter v2.1 (1985)(Intelligent Software)[a].zip	False	12.5 KiB	18-Feb-2025 10:00
Disk Controller v1.3 (1985)(Intelligent Software).zip	False	14.3 KiB	18-Feb-2025 10:00
EPDOS v1.7 (19xx)(Haluska, Laszlo).zip	False	23.5 KiB	18-Feb-2025 10:00
EX-DOS EPROM (198x)(Enterprise).zip	False	13.3 KiB	18-Feb-2025 10:00
EXDos BASIC+FORTH (198x)(Enterprise).zip	False	23.8 KiB	18-Feb-2025 10:00
Exos (198x)(Enterprise).zip	False	26.6 KiB	18-Feb-2025 10:00
Expandible OS v2.0 (1984)(Intelligent Software).zip	False	26.5 KiB	18-Feb-2025 10:00
Expandible OS v2.1 (1985)(Intelligent Software).zip	False	26.7 KiB	18-Feb-2025 10:00
Expandible OS v2.3 (1987)(Intelligent Software).zip	False	43.0 KiB	18-Feb-2025 10:00
Forth (198x)(Enterprise).zip	False	12.0 KiB	18-Feb-2025 10:00
HP Enterprise v1.01 (1985)(Hisoft).zip	False	2.7 KiB	18-Feb-2025 10:00
HiSoft Pascal Enterprise v1.01 (1985)(Hisoft).zip	False	14.4 KiB	18-Feb-2025 10:00
Turbo AsMon 1.5 (19xx)(Sandor Gyangy).zip	False	20.0 KiB	18-Feb-2025 10:00
Turbo EXDOS+ISDOS (19xx)(Zoltan Nemeth).zip	False	24.3 KiB	18-Feb-2025 10:00
UELISP v0.6 (198x)(Enterprise).zip	False	11.2 KiB	18-Feb-2025 10:00
ZozoTools v1.8 (19xx)(Zoltan Nemeth).zip	False	18.4 KiB	18-Feb-2025 10:00
