name	is_dir	size	date
Argo (1988)(Kure Software Koubou)(Disk 1).zip	False	200.1 KiB	18-Feb-2025 10:01
Argo (1988)(Kure Software Koubou)(Disk 2).zip	False	171.7 KiB	18-Feb-2025 10:01
Daiva - Active Simulation War (1987-02)(T&E Soft)(Disk 1)[TEM-74].zip	False	112.4 KiB	18-Feb-2025 10:01
Daiva - Active Simulation War (1987-02)(T&E Soft)(Disk 2)[TEM-74].zip	False	73.6 KiB	18-Feb-2025 10:01
Death Force (1987)(Riverhill Software)(Disk 1)[FURH-19001].zip	False	137.8 KiB	18-Feb-2025 10:01
Death Force (1987)(Riverhill Software)(Disk 2)[FURH-19001].zip	False	126.7 KiB	18-Feb-2025 10:01
Death Force (1987)(Riverhill Software)(User Disk)[FURH-19001].zip	False	128.2 KiB	18-Feb-2025 10:01
Deep Forest (1987-05)(Xain Soft)(Disk 1).zip	False	158.4 KiB	18-Feb-2025 10:01
Deep Forest (1987-05)(Xain Soft)(Disk 2).zip	False	139.3 KiB	18-Feb-2025 10:01
Digital Devil Monogatari - Megami Tensei (1987-09)(Nihon Telenet)(Disk 1).zip	False	174.5 KiB	18-Feb-2025 10:01
Digital Devil Monogatari - Megami Tensei (1987-09)(Nihon Telenet)(Disk 2).zip	False	183.5 KiB	18-Feb-2025 10:01
Dragon Buster (1987)(Dempa Shinbunsha)[DP3301212].zip	False	86.8 KiB	18-Feb-2025 10:01
Fireball (1987)(Humming Bird Soft)[12130].zip	False	54.5 KiB	18-Feb-2025 10:01
Jesus (1987-07)(Enix)(Disk 1 of 3)[E-G195].zip	False	215.1 KiB	18-Feb-2025 10:01
Jesus (1987-07)(Enix)(Disk 2 of 3)[E-G195].zip	False	215.3 KiB	18-Feb-2025 10:01
Jesus (1987-07)(Enix)(Disk 3 of 3)[E-G195].zip	False	221.4 KiB	18-Feb-2025 10:01
Kohakuiro no Yuigon - Seiyou Karuta Renzoku Satsujin Jiken (1988-11)(Riverhill Software)(Disk 1 of 4).zip	False	233.6 KiB	18-Feb-2025 10:01
Kohakuiro no Yuigon - Seiyou Karuta Renzoku Satsujin Jiken (1988-11)(Riverhill Software)(Disk 1 of 4)[a].zip	False	233.2 KiB	18-Feb-2025 10:01
Kohakuiro no Yuigon - Seiyou Karuta Renzoku Satsujin Jiken (1988-11)(Riverhill Software)(Disk 2 of 4).zip	False	205.2 KiB	18-Feb-2025 10:01
Kohakuiro no Yuigon - Seiyou Karuta Renzoku Satsujin Jiken (1988-11)(Riverhill Software)(Disk 2 of 4)[a].zip	False	204.3 KiB	18-Feb-2025 10:01
Kohakuiro no Yuigon - Seiyou Karuta Renzoku Satsujin Jiken (1988-11)(Riverhill Software)(Disk 3 of 4).zip	False	258.9 KiB	18-Feb-2025 10:01
Kohakuiro no Yuigon - Seiyou Karuta Renzoku Satsujin Jiken (1988-11)(Riverhill Software)(Disk 3 of 4)[a].zip	False	258.0 KiB	18-Feb-2025 10:01
Kohakuiro no Yuigon - Seiyou Karuta Renzoku Satsujin Jiken (1988-11)(Riverhill Software)(Disk 4 of 4).zip	False	346.9 KiB	18-Feb-2025 10:01
Kohakuiro no Yuigon - Seiyou Karuta Renzoku Satsujin Jiken (1988-11)(Riverhill Software)(Disk 4 of 4)[a].zip	False	346.1 KiB	18-Feb-2025 10:01
Ku Gyoku Den (1986-10)(TecnoSoft)(Disk 1)[FUTJ-19002].zip	False	115.7 KiB	18-Feb-2025 10:01
Ku Gyoku Den (1986-10)(TecnoSoft)(Disk 1)[a][FUTJ-19002].zip	False	115.7 KiB	18-Feb-2025 10:01
Ku Gyoku Den (1986-10)(TecnoSoft)(Disk 2)[FUTJ-19002].zip	False	96.4 KiB	18-Feb-2025 10:01
Laydock (1986-11)(T&E Soft)(Disk 1)[TEM-66].zip	False	145.2 KiB	18-Feb-2025 10:01
Laydock (1986-11)(T&E Soft)(Disk 1)[a2][TEM-66].zip	False	145.6 KiB	18-Feb-2025 10:01
Laydock (1986-11)(T&E Soft)(Disk 1)[a][TEM-66].zip	False	145.6 KiB	18-Feb-2025 10:01
Laydock (1986-11)(T&E Soft)(Disk 2)[TEM-66].zip	False	67.8 KiB	18-Feb-2025 10:01
Laydock (1986-11)(T&E Soft)(Disk 2)[a2][TEM-66].zip	False	67.8 KiB	18-Feb-2025 10:01
Laydock (1986-11)(T&E Soft)(Disk 2)[a][TEM-66].zip	False	67.8 KiB	18-Feb-2025 10:01
Mahjong Kyo Jidai Special (1988-09)(Micronet)(Disk 1).zip	False	165.4 KiB	18-Feb-2025 10:01
Mahjong Kyo Jidai Special (1988-09)(Micronet)(Disk 2).zip	False	137.9 KiB	18-Feb-2025 10:01
Metal X (1990-08)(FM Circle Jimukyoku).zip	False	61.1 KiB	18-Feb-2025 10:01
Might & Magic (1987-12)(Starcraft)(Disk A).zip	False	188.7 KiB	18-Feb-2025 10:01
Might & Magic (1987-12)(Starcraft)(Disk A)[a2].zip	False	185.2 KiB	18-Feb-2025 10:01
Might & Magic (1987-12)(Starcraft)(Disk A)[a].zip	False	185.2 KiB	18-Feb-2025 10:01
Might & Magic (1987-12)(Starcraft)(Disk B).zip	False	118.5 KiB	18-Feb-2025 10:01
Might & Magic (1987-12)(Starcraft)(Disk B)[a].zip	False	116.7 KiB	18-Feb-2025 10:01
Might & Magic (1987-12)(Starcraft)(Disk C).zip	False	140.1 KiB	18-Feb-2025 10:01
Might & Magic (1987-12)(Starcraft)(Disk C)[a].zip	False	137.8 KiB	18-Feb-2025 10:01
Might & Magic (1987-12)(Starcraft)(Disk D).zip	False	120.4 KiB	18-Feb-2025 10:01
