name	is_dir	size	date
Bishoujo no Oishii Sodatekata (1994)(TAKI)(Disk 1 of 8).zip	False	1.5 MiB	18-Feb-2025 10:17
Bishoujo no Oishii Sodatekata (1994)(TAKI)(Disk 2 of 8).zip	False	1.4 MiB	18-Feb-2025 10:17
Bishoujo no Oishii Sodatekata (1994)(TAKI)(Disk 3 of 8).zip	False	1.4 MiB	18-Feb-2025 10:17
Bishoujo no Oishii Sodatekata (1994)(TAKI)(Disk 4 of 8).zip	False	1.4 MiB	18-Feb-2025 10:17
Bishoujo no Oishii Sodatekata (1994)(TAKI)(Disk 5 of 8).zip	False	1.4 MiB	18-Feb-2025 10:17
Bishoujo no Oishii Sodatekata (1994)(TAKI)(Disk 6 of 8).zip	False	1.4 MiB	18-Feb-2025 10:17
Bishoujo no Oishii Sodatekata (1994)(TAKI)(Disk 7 of 8).zip	False	999.7 KiB	18-Feb-2025 10:17
Bishoujo no Oishii Sodatekata (1994)(TAKI)(Disk 8 of 8).zip	False	818.1 KiB	18-Feb-2025 10:17
Bundesliga Manager (1990)(Software 2000)(DE)(Disk 1 of 2).zip	False	1.1 MiB	18-Feb-2025 10:17
Bundesliga Manager (1990)(Software 2000)(DE)(Disk 2 of 2).zip	False	1.3 MiB	18-Feb-2025 10:17
Faery Tale Adventure, The (1988)(Microillusions)(Disk 1 of 2)[cp manual][Disk A-B].zip	False	643.5 KiB	18-Feb-2025 10:17
Faery Tale Adventure, The (1988)(Microillusions)(Disk 2 of 2)[cp manual][Disk C].zip	False	415.2 KiB	18-Feb-2025 10:17
Fire Hawk - Thexder - The Second Contact (1990)(Sierra On-Line)(Disk 1 of 2).zip	False	471.6 KiB	18-Feb-2025 10:17
Fire Hawk - Thexder - The Second Contact (1990)(Sierra On-Line)(Disk 2 of 2).zip	False	702.4 KiB	18-Feb-2025 10:17
Incredible Machine, The (1992)(Sierra)[cp manual].zip	False	781.4 KiB	18-Feb-2025 10:17
Leisure Suit Larry 5 - Passionate Patti Does a Little Undercover Work (1991-11-09)(Sierra)(Disk 1 of 8)(Startup Disk).zip	False	1.2 MiB	18-Feb-2025 10:17
Leisure Suit Larry 5 - Passionate Patti Does a Little Undercover Work (1991-11-09)(Sierra)(Disk 2 of 8)(Game Disk 1).zip	False	1003.2 KiB	18-Feb-2025 10:17
Leisure Suit Larry 5 - Passionate Patti Does a Little Undercover Work (1991-11-09)(Sierra)(Disk 3 of 8)(Game Disk 2).zip	False	1.4 MiB	18-Feb-2025 10:17
Leisure Suit Larry 5 - Passionate Patti Does a Little Undercover Work (1991-11-09)(Sierra)(Disk 4 of 8)(Game Disk 3).zip	False	1.0 MiB	18-Feb-2025 10:17
Leisure Suit Larry 5 - Passionate Patti Does a Little Undercover Work (1991-11-09)(Sierra)(Disk 5 of 8)(Game Disk 4).zip	False	1.3 MiB	18-Feb-2025 10:17
Leisure Suit Larry 5 - Passionate Patti Does a Little Undercover Work (1991-11-09)(Sierra)(Disk 6 of 8)(Game Disk 5).zip	False	1.3 MiB	18-Feb-2025 10:17
Leisure Suit Larry 5 - Passionate Patti Does a Little Undercover Work (1991-11-09)(Sierra)(Disk 7 of 8)(Game Disk 6).zip	False	1.3 MiB	18-Feb-2025 10:17
Leisure Suit Larry 5 - Passionate Patti Does a Little Undercover Work (1991-11-09)(Sierra)(Disk 8 of 8)(Game Disk 7).zip	False	1.3 MiB	18-Feb-2025 10:17
Nova 9 (1991)(Dynamix)(Disk 1 of 4).zip	False	1.1 MiB	18-Feb-2025 10:17
Nova 9 (1991)(Dynamix)(Disk 1 of 6).zip	False	628.9 KiB	18-Feb-2025 10:17
Nova 9 (1991)(Dynamix)(Disk 2 of 4).zip	False	1.5 MiB	18-Feb-2025 10:17
Nova 9 (1991)(Dynamix)(Disk 2 of 6).zip	False	807.6 KiB	18-Feb-2025 10:17
Nova 9 (1991)(Dynamix)(Disk 3 of 4).zip	False	1.4 MiB	18-Feb-2025 10:17
Nova 9 (1991)(Dynamix)(Disk 3 of 6).zip	False	894.8 KiB	18-Feb-2025 10:17
Nova 9 (1991)(Dynamix)(Disk 4 of 4).zip	False	359.7 KiB	18-Feb-2025 10:17
Nova 9 (1991)(Dynamix)(Disk 4 of 6).zip	False	900.9 KiB	18-Feb-2025 10:17
Nova 9 (1991)(Dynamix)(Disk 5 of 6).zip	False	716.4 KiB	18-Feb-2025 10:17
Nova 9 (1991)(Dynamix)(Disk 6 of 6).zip	False	273.9 KiB	18-Feb-2025 10:17
Panorama Tantei Game - Kaitou Q (1995)(FlipFlop)(JP)(Disk 1 of 6).zip	False	1.5 MiB	18-Feb-2025 10:17
Panorama Tantei Game - Kaitou Q (1995)(FlipFlop)(JP)(Disk 2 of 6).zip	False	1.8 MiB	18-Feb-2025 10:17
Panorama Tantei Game - Kaitou Q (1995)(FlipFlop)(JP)(Disk 3 of 6).zip	False	1.7 MiB	18-Feb-2025 10:17
Panorama Tantei Game - Kaitou Q (1995)(FlipFlop)(JP)(Disk 4 of 6).zip	False	1.8 MiB	18-Feb-2025 10:17
Panorama Tantei Game - Kaitou Q (1995)(FlipFlop)(JP)(Disk 5 of 6).zip	False	1.8 MiB	18-Feb-2025 10:17
Panorama Tantei Game - Kaitou Q (1995)(FlipFlop)(JP)(Disk 6 of 6).zip	False	1.7 MiB	18-Feb-2025 10:17
