name	is_dir	size	date
3D Maze (2007-05)(Lopes, Ricardo Fernandes)(PD)[19K].zip	False	2.7 KiB	18-Feb-2025 10:37
Ace Avoider (1984-07)(Personal Computer World)(GB)[3K].zip	False	852 B	18-Feb-2025 10:37
Ace Invaders (1982)(Hi-Tech Microsoft)(GB)[3K].zip	False	918 B	18-Feb-2025 10:37
Ace Invaders (1983)(Forth Dimension)[1K].zip	False	1.2 KiB	18-Feb-2025 10:37
Ace Invasion (1983)(Titan Programs)(GB)[3K].zip	False	1.3 KiB	18-Feb-2025 10:37
Ace Mines (2004)(Lopes, Ricardo Fernandes)[19K].zip	False	2.1 KiB	18-Feb-2025 10:37
Ace Star (2010)(Jupiter Ace Archive Team)(GB)(PD)[19K].zip	False	5.3 KiB	18-Feb-2025 10:37
Acevaders (1983)(Micro Marketing)(GB)[3K].zip	False	910 B	18-Feb-2025 10:37
Adventure A - Planet of Death (1981)(Artic Computing)(PD)[19K].zip	False	8.8 KiB	18-Feb-2025 10:37
Alien Defender (1984)(Boldfield Computing)(GB)[19K].zip	False	1.7 KiB	18-Feb-2025 10:37
Alien Swarm (1983-01-20)(Popular Computing Weekly)(GB)[3K].zip	False	1.1 KiB	18-Feb-2025 10:37
Amazing Maze (1984)(Boldfield Computing)(GB)[19K].zip	False	1.2 KiB	18-Feb-2025 10:37
Antarctica (1983-08)(Personal Computer World)(GB)[3K].zip	False	933 B	18-Feb-2025 10:37
Astrian Descent (1983-08)(Bates, Brian)[unreleased][19K].zip	False	4.0 KiB	18-Feb-2025 10:37
Atic Raid (1984)(Boldfield Computing)(GB)(PD)[19K].zip	False	6.8 KiB	18-Feb-2025 10:37
Black Island Adventure (1984)(Boldfield Computing)(GB)[19K].zip	False	30.4 KiB	18-Feb-2025 10:37
Bomber (1997)(Robson, Paul)(PD)[3K].zip	False	985 B	18-Feb-2025 10:37
Breakout (1983-03-17)(Popular Computing Weekly)(GB)[3K].zip	False	788 B	18-Feb-2025 10:37
Cavern Attack (1983)(Hi-Tech Microsoft)(GB)[3K].zip	False	884 B	18-Feb-2025 10:37
Cenipede (1984)(Boldfield Computing)(GB)[19K].zip	False	3.6 KiB	18-Feb-2025 10:37
Chase (1983-01-27)(Popular Computing Weekly)(GB)[3K].zip	False	529 B	18-Feb-2025 10:37
Chess (1984)(Boldfield Computing)(GB)[19K].zip	False	7.6 KiB	18-Feb-2025 10:37
Cross Bomber (2023-01-16)(Caruso, Fabrizio)[16K].zip	False	4.2 KiB	18-Feb-2025 10:37
Cross Chase (2023-01-16)(Caruso, Fabrizio)[16K].zip	False	7.9 KiB	18-Feb-2025 10:37
Cross Horde (2023-01-16)(Caruso, Fabrizio)[16K].zip	False	7.0 KiB	18-Feb-2025 10:37
Cross Shoot (2023-01-16)(Caruso, Fabrizio)[16K].zip	False	10.6 KiB	18-Feb-2025 10:37
Cross Shoot (2023-01-22)(Caruso, Fabrizio)[16K].zip	False	9.5 KiB	18-Feb-2025 10:37
