name	is_dir	size	date
### (198x)(-).zip	False	998 B	18-Feb-2025 10:38
AMON v1.0 (1987)(Paller Gabor).zip	False	4.3 KiB	18-Feb-2025 10:38
AMON v1.0 (1987)(Paller Gabor)[req 32K].zip	False	4.4 KiB	18-Feb-2025 10:38
AMON v1.0 (1987)(Paller Gabor)[req 48K].zip	False	4.4 KiB	18-Feb-2025 10:38
AMON v1.0 (1987)(Paller Gabor)[req 64K].zip	False	4.4 KiB	18-Feb-2025 10:38
AMON v1.1 (1988)(Paller Gabor).zip	False	5.1 KiB	18-Feb-2025 10:38
Adatbank 2 (19xx)(-)(hu).zip	False	2.0 KiB	18-Feb-2025 10:38
Ado (198x)(-)(hu).zip	False	2.1 KiB	18-Feb-2025 10:38
Adoszamito es Berbruttosito (198x)(-)(hu).zip	False	1.4 KiB	18-Feb-2025 10:38
Amortizacio (198x)(-)(hu).zip	False	874 B	18-Feb-2025 10:38
Anti Autostart (198x)(-)(hu).zip	False	407 B	18-Feb-2025 10:38
Anti Autostart (198x)(-).zip	False	596 B	18-Feb-2025 10:38
Anti Autostart (198x)(-)[a].zip	False	608 B	18-Feb-2025 10:38
Anti Autostart 5 (198x)(-).zip	False	612 B	18-Feb-2025 10:38
Anticopy '88.MR (1988)(Miszlai Robert).zip	False	3.3 KiB	18-Feb-2025 10:38
Anticopy '88.MR (1988)(Miszlai Robert)[a].zip	False	3.3 KiB	18-Feb-2025 10:38
Anticopy MF (1988)(Miszlai Robert).zip	False	963 B	18-Feb-2025 10:38
Arvetes (198x)(-)(hu).zip	False	841 B	18-Feb-2025 10:38
Assebler-Basic System (198x)(-).zip	False	2.6 KiB	18-Feb-2025 10:38
Atszamito program (198x)(-)(hu).zip	False	3.3 KiB	18-Feb-2025 10:38
Auto naplo (1986)(Miszlai Robert)(hu).zip	False	2.5 KiB	18-Feb-2025 10:38
Auto-leallito 1.1 (198x)(-)(hu).zip	False	421 B	18-Feb-2025 10:38
BASIC-ontanito - 9. teszt (1985)(MTA SZTAKI - COSY)(hu).zip	False	2.9 KiB	18-Feb-2025 10:38
BB00-D3FF D18E (198x)(-).zip	False	4.9 KiB	18-Feb-2025 10:38
BB00-D3FF D18E (198x)(-)[a].zip	False	4.8 KiB	18-Feb-2025 10:38
Basic Assembler (198x)(-)[req CDOS].zip	False	8.3 KiB	18-Feb-2025 10:38
Basic Auto-Start (1985)(Tick Jozsef)(hu).zip	False	624 B	18-Feb-2025 10:38
Basic EPROM programozo (198x)(-)(hu).zip	False	2.3 KiB	18-Feb-2025 10:38
Beszed szimulator (1987)(Szarka Zoltan)(hu).zip	False	11.0 KiB	18-Feb-2025 10:38
