name	is_dir	size	date
Arriba v1.0 (1989)(The Good Software Corp.) [IMA][360k][!].zip	False	561.4 KiB	26-Sep-2025 18:43
Arriba v1.0 (1989)(The Good Software Corp.) [kfx][360k][!].zip	False	9.7 MiB	26-Sep-2025 18:43
FracTools v2.0 (1989)(Bourbaki Inc.) [IMA][360k].zip	False	1.3 MiB	17-Aug-2025 09:28
FracTools v2.0 (1989)(Bourbaki Inc.) [kfx][360k].zip	False	17.0 MiB	17-Aug-2025 09:28
PC Globe v3.0 (1989)(PC Globe, Inc.) [IMA][360k].zip	False	1.1 MiB	17-Aug-2025 09:28
PC Globe v3.0 (1989)(PC Globe, Inc.) [kfx][360k].zip	False	24.7 MiB	17-Aug-2025 09:29
PC USA (1989)(PC Globe, Inc.) [IMA][360k].zip	False	652.0 KiB	17-Aug-2025 09:29
PC USA (1989)(PC Globe, Inc.) [kfx][360k].zip	False	14.7 MiB	17-Aug-2025 09:29
TUTOR.COM v4.42 [SW] (1989)(Computer Knowledge) [IMA][360k].zip	False	269.9 KiB	26-Sep-2025 18:43
Templates of Doom (1989)(Pete Antoniak, Solar Systems Software) [IMA][360k].zip	False	114.8 KiB	26-Sep-2025 18:43
