name	is_dir	size	date
10th Frame (1987)(Access Software, Inc.) [Sports][!].zip	False	46.9 KiB	26-Sep-2025 18:49
10th Frame [a1] (1987)(Access Software, Inc.) [Sports].zip	False	29.3 KiB	26-Sep-2025 18:49
1998 Amerika vA.01 [SW] (1987)(Pasadena Software) [Strategy].zip	False	37.2 KiB	26-Sep-2025 18:49
20th Century Faro [SW] (1987)(Robert L. Nicolai) [Strategy, Cards].zip	False	55.3 KiB	26-Sep-2025 18:49
221 B Baker St. v1.0 (1987)(Datasoft, Inc.) [Adventure, Strategy].zip	False	254.0 KiB	26-Sep-2025 18:49
3-D Helicopter Simulator [a1] (1987)(Sierra On-Line, Inc.) [Action, Simulation].zip	False	96.4 KiB	26-Sep-2025 18:49
3-D Helicopter Simulator [h1] (1987)(Sierra On-Line, Inc.) [Action, Simulation].zip	False	70.8 KiB	26-Sep-2025 18:49
3-D Helicopter Simulator [h2] (1987)(Sierra On-Line, Inc.) [Action, Simulation].zip	False	69.7 KiB	26-Sep-2025 18:49
3-D Helicopter Simulator v1.00 (1987)(Sierra On-Line, Inc.) [Action, Simulation].zip	False	64.4 KiB	26-Sep-2025 18:49
3-D Helicopter Simulator v1.10 (1987)(Sierra On-Line, Inc.) [Action, Simulation][!].zip	False	107.8 KiB	26-Sep-2025 18:49
3-D Helicopter Simulator v1.10 [a1] (1987)(Sierra On-Line, Inc.) [Action, Simulation].zip	False	107.9 KiB	26-Sep-2025 18:49
3D Naughts and Crosses (1987)(Stephen Peter) [Strategy].zip	False	29.5 KiB	26-Sep-2025 18:49
3D-Ball (1987)(Lee Griffin) [Action].zip	False	28.1 KiB	26-Sep-2025 18:49
500 cc Grand Prix (1987)(MicroÃ¯ds) [Racing - Driving, Simulation].zip	False	51.6 KiB	26-Sep-2025 18:49
ABC Fun Keys v2.0 [SW] (1987)(Courtney E. Krehbiel) [Educational].zip	False	87.7 KiB	26-Sep-2025 18:49
ACE- Air Combat Emulator (1987)(Spinnaker Software Corporation) [Simulation].zip	False	40.4 KiB	26-Sep-2025 18:49
Abadia del CrÃ­men, La (Es) [DC][f1] (1987)(Opera Soft S.A.) [Adventure].zip	False	155.2 KiB	17-Aug-2025 10:01
Academy (1987)(CRL Group PLC) [Action, Strategy].zip	False	35.0 KiB	26-Sep-2025 18:49
Accolade's Mean 18- Famous Course Disk - Volume III (1987)(Accolade, Inc.) [Sports, Addon].zip	False	123.5 KiB	26-Sep-2025 18:49
Accolade's Mean 18- Famous Course Disk - Volume IV (1987)(Accolade, Inc.) [Sports, Addon].zip	False	126.0 KiB	26-Sep-2025 18:49
Ace 2 (1987)(Artronic Limited) [Simulation].zip	False	31.0 KiB	26-Sep-2025 18:49
Ace of Aces (1987)(Accolade, Inc.) [Action, Simulation][!].zip	False	119.2 KiB	26-Sep-2025 18:49
Ace of Aces (EGA) (1987)(Accolade, Inc.) [Action, Simulation].zip	False	123.3 KiB	26-Sep-2025 18:49
Ace of Aces [a1] (1987)(Accolade, Inc.) [Action, Simulation].zip	False	69.0 KiB	26-Sep-2025 18:49
Acheton (1987)(Topologika Software Ltd.) [Adventure, Interactive Fiction].zip	False	122.1 KiB	26-Sep-2025 18:49
Advanced Math Shop (1987)(Scholastic, Inc.) [Educational].zip	False	105.1 KiB	26-Sep-2025 18:49
