name	is_dir	size	date
0050-1new.cd	False	1.7 KiB	20-Aug-2005 23:57
0060-1new.cd	False	1.7 KiB	20-Aug-2005 23:57
0100-1new.cd	False	2.2 KiB	21-Aug-2005 00:06
0110-1new.cd	False	1.3 KiB	20-Aug-2005 23:57
0110-1new.lpt	False	1.4 KiB	20-Aug-2005 21:44
halt.cd	False	80 B	20-Aug-2005 18:18
infrastructure.cd	False	1.3 KiB	21-Aug-2005 00:07
infrastructure.lst	False	12.1 KiB	21-Aug-2005 00:07
infrastructure.s	False	3.3 KiB	15-Sep-2005 08:20
infrastructure.tex	False	11.6 KiB	21-Aug-2005 00:08
list-1new.cd	False	1.6 KiB	20-Aug-2005 22:24
list-1new.lpt	False	13.4 KiB	20-Aug-2005 22:24
list-1new.out	False	3.4 KiB	20-Aug-2005 22:24
list-1new.s	False	2.5 KiB	15-Sep-2005 08:21
takeover.cd	False	72 B	20-Aug-2005 18:05
test	False	2.0 KiB	21-Aug-2005 00:21
test.out	False	788 B	21-Aug-2005 00:22
test0050-1.lpt	False	1.8 KiB	20-Aug-2005 07:55
test0050-1.out	False	77 B	20-Aug-2005 07:10
test0060-1.lpt	False	1.8 KiB	20-Aug-2005 09:13
test0100-1.lpt	False	2.2 KiB	20-Aug-2005 18:13
