name	is_dir	size	date
.IOERR_006.txt	False	4.0 KiB	03-Dec-2004 05:28
.PCK___002.txt	False	2.0 KiB	03-Dec-2004 05:28
.SIXPK_001.txt	False	2.6 KiB	03-Dec-2004 05:28
AWAKE__002.txt	False	712 B	03-Dec-2004 05:28
BUSY___002.txt	False	427 B	03-Dec-2004 05:28
CLEAR__009.txt	False	2.5 KiB	03-Dec-2004 05:28
CLK013_SRC.txt	False	1.4 KiB	03-Dec-2004 05:28
CPO[A]_026.txt	False	9.9 KiB	03-Dec-2004 05:28
DATE___001.txt	False	483 B	03-Dec-2004 05:28
DCSIM__005.txt	False	2.5 KiB	03-Dec-2004 05:28
DCTEST_005.txt	False	2.5 KiB	03-Dec-2004 05:28
DCT____006.txt	False	1.2 KiB	03-Dec-2004 05:28
DC_____004.txt	False	14.2 KiB	03-Dec-2004 05:28
DLERPL_001.txt	False	387 B	03-Dec-2004 05:28
DRAW___011.txt	False	8.9 KiB	03-Dec-2004 05:28
DSPLAY_016.txt	False	18.0 KiB	03-Dec-2004 05:28
FC_____015.txt	False	12.1 KiB	03-Dec-2004 05:28
HANDLR_SKL.txt	False	10.5 KiB	03-Dec-2004 05:28
HOTNWS_003.txt	False	1.5 KiB	03-Dec-2004 05:28
ISENSW_003.txt	False	783 B	03-Dec-2004 05:28
MAPPER_SRC.txt	False	1.5 KiB	03-Dec-2004 05:28
MORT3__SRC.txt	False	2.2 KiB	03-Dec-2004 05:28
NCT..._023.txt	False	17.2 KiB	03-Dec-2004 05:28
PDATE__004.txt	False	4.2 KiB	03-Dec-2004 05:28
PREAL__002.txt	False	936 B	03-Dec-2004 05:28
PULSE__030.txt	False	16.8 KiB	03-Dec-2004 05:28
ROMSIM_017.txt	False	15.7 KiB	03-Dec-2004 05:28
ROTER__SRC.txt	False	784 B	03-Dec-2004 05:28
RUNOFF_005.txt	False	7.8 KiB	03-Dec-2004 05:28
SNAPDF_SRC.txt	False	938 B	03-Dec-2004 05:28
SNAP___023.txt	False	13.3 KiB	03-Dec-2004 05:28
SWAP___SRC.txt	False	232 B	03-Dec-2004 05:28
TAPDMP_001.txt	False	1.0 KiB	03-Dec-2004 05:28
TEXT___015.txt	False	10.8 KiB	03-Dec-2004 05:28
TIMOUT_001.txt	False	972 B	03-Dec-2004 05:28
TPULSE_SRC.txt	False	3.0 KiB	03-Dec-2004 05:28
TRACER_008.txt	False	3.8 KiB	03-Dec-2004 05:28
TRIM___SRC.txt	False	538 B	03-Dec-2004 05:28
TSW____002.txt	False	2.6 KiB	03-Dec-2004 05:28
UN.PCK_002.txt	False	2.3 KiB	03-Dec-2004 05:28
VCTR07_SRC.txt	False	7.2 KiB	03-Dec-2004 05:28
WITS___006.txt	False	10.0 KiB	03-Dec-2004 05:28
WITS___007.txt	False	9.8 KiB	03-Dec-2004 05:28
_directory.txt	False	1.0 KiB	03-Dec-2004 05:28
