name	is_dir	size	date
09800-10334r1.0.dmk	False	418.8 KiB	08-Sep-2017 18:17
09800-11304r3.1.dmk	False	418.8 KiB	08-Sep-2017 18:17
09800-11335r1.1.dmk	False	437.5 KiB	08-Sep-2017 18:17
09800-11336r1.1.dmk	False	418.8 KiB	08-Sep-2017 18:17
44458-10020r2.1.dmk	False	418.8 KiB	08-Sep-2017 18:17
44458-10023r2.1.dmk	False	418.8 KiB	08-Sep-2017 18:17
44458-10024r2.1.dmk	False	418.8 KiB	08-Sep-2017 18:17
44458-10025r2.1.dmk	False	418.8 KiB	08-Sep-2017 18:17
98561-10334r1.1.dmk	False	418.8 KiB	08-Sep-2017 18:17
98613-10306rA.dmk	False	437.5 KiB	08-Sep-2017 18:17
98615-12354r3.01.dmk	False	437.5 KiB	08-Sep-2017 18:17
98615-12354r3.01_cp2.dmk	False	437.5 KiB	08-Sep-2017 18:17
98615-12354r3.01_cp3.dmk	False	437.5 KiB	08-Sep-2017 18:17
98615-12356r3.0.dmk	False	437.5 KiB	08-Sep-2017 18:17
98615-12364r3.0.dmk	False	437.5 KiB	08-Sep-2017 18:17
98615-12365r3.0.dmk	False	437.5 KiB	08-Sep-2017 18:17
98615-12366r3.0.dmk	False	437.5 KiB	08-Sep-2017 18:17
98615-12367r3.01.dmk	False	437.5 KiB	08-Sep-2017 18:17
98615-12367r3.01_cp2.dmk	False	437.5 KiB	08-Sep-2017 18:17
BASIC4.0_Drivers.dmk	False	437.5 KiB	08-Sep-2017 18:17
BASIC4.0_LangExtensions.dmk	False	437.5 KiB	08-Sep-2017 18:17
BASIC4.0_ManualExamples.dmk	False	437.5 KiB	08-Sep-2017 18:17
BASIC4.0_System.dmk	False	437.5 KiB	08-Sep-2017 18:17
BASIC4.0_UtilLib1_hasErrs.dmk	False	962.5 KiB	08-Sep-2017 18:17
BASIC4.0_UtilLib2.dmk	False	437.5 KiB	08-Sep-2017 18:17
format.txt	False	41 B	08-Sep-2017 18:17
labels.txt	False	1.5 KiB	08-Sep-2017 18:17
