name	is_dir	size	date
booting.botex.1	False	2.6 KiB	21-Apr-2017 01:05
configuration-files.botex.1	False	1.1 KiB	21-Apr-2017 01:05
copyright-page.botex.1	False	738 B	21-Apr-2017 01:06
devices-and-peripherals.botex.1	False	1.0 KiB	21-Apr-2017 01:06
file-system-interface.botex.1	False	9.0 KiB	21-Apr-2017 01:06
kmac.botex.1	False	695 B	21-Apr-2017 01:06
kmemory.botex.1	False	768 B	21-Apr-2017 01:06
meeting-issues.botex.1	False	3.7 KiB	21-Apr-2017 01:06
other-software-issues.botex.1	False	4.9 KiB	21-Apr-2017 01:06
paging-io.botex.1	False	1.2 KiB	21-Apr-2017 01:06
screen-keyboard-mouse.botex.1	False	6.1 KiB	21-Apr-2017 01:06
shared-memory.botex.1	False	8.2 KiB	21-Apr-2017 01:06
stream-io.botex.1	False	682 B	21-Apr-2017 01:06
