name	is_dir	size	date
abacus.lisp.21	False	8.7 KiB	21-Apr-2017 01:32
alarm.lisp.51	False	24.8 KiB	21-Apr-2017 01:32
beeps.lisp.8	False	18.3 KiB	21-Apr-2017 01:32
cafe.lisp.8	False	5.9 KiB	21-Apr-2017 01:32
colorhack.lisp.7	False	25.6 KiB	21-Apr-2017 01:32
colxor.lisp.54	False	13.0 KiB	21-Apr-2017 01:32
copyright.text.1	False	499 B	21-Apr-2017 01:32
craze.lisp.2	False	2.9 KiB	21-Apr-2017 01:32
crock.lisp.6	False	7.7 KiB	21-Apr-2017 01:32
ctest.lisp.1	False	37.0 KiB	21-Apr-2017 01:32
dc.lisp.4	False	8.0 KiB	21-Apr-2017 01:32
deutsc.lisp.35	False	4.8 KiB	21-Apr-2017 01:32
dlwhak.lisp.40	False	9.1 KiB	21-Apr-2017 01:32
docscr.lisp.6	False	18.3 KiB	21-Apr-2017 01:32
doctor.lisp.12	False	6.4 KiB	21-Apr-2017 01:32
doctor.lisp.13	False	6.4 KiB	21-Apr-2017 01:32
fredkin.lisp.2	False	2.1 KiB	21-Apr-2017 01:32
fredkin.lisp.3	False	2.3 KiB	21-Apr-2017 01:32
geb.lisp.28	False	12.9 KiB	21-Apr-2017 01:32
geb.lisp.29	False	13.1 KiB	21-Apr-2017 01:32
hacks-cwarns.lisp.1	False	91 B	21-Apr-2017 01:32
hacks-cwarns.lisp.2	False	4.4 KiB	21-Apr-2017 01:32
hakdef.lisp.15	False	2.9 KiB	21-Apr-2017 01:32
hakdef.lisp.16	False	3.1 KiB	21-Apr-2017 01:32
hcedit.lisp.29	False	9.3 KiB	21-Apr-2017 01:32
liss.lisp.5	False	2.3 KiB	21-Apr-2017 01:32
munch.lisp.15	False	11.9 KiB	21-Apr-2017 01:32
munch.lisp.16	False	11.9 KiB	21-Apr-2017 01:32
npaint.lisp.1	False	37.9 KiB	21-Apr-2017 01:32
ohacks.lisp.37	False	20.2 KiB	21-Apr-2017 01:32
ohacks.lisp.38	False	20.2 KiB	21-Apr-2017 01:32
organ.lisp.21	False	7.4 KiB	21-Apr-2017 01:32
organ.lisp.22	False	7.4 KiB	21-Apr-2017 01:32
pfom.lisp.31	False	4.7 KiB	21-Apr-2017 01:32
qix.lisp.6	False	4.8 KiB	21-Apr-2017 01:32
rotate.lisp.8	False	5.8 KiB	21-Apr-2017 01:32
rotate.lisp.9	False	5.9 KiB	21-Apr-2017 01:32
rotcir.lisp.6	False	3.2 KiB	21-Apr-2017 01:32
rotcir.lisp.7	False	3.3 KiB	21-Apr-2017 01:32
treedv.lisp.4	False	86.1 KiB	21-Apr-2017 01:32
versat.lisp.1	False	7.4 KiB	21-Apr-2017 01:32
votrax.lisp.1	False	3.8 KiB	21-Apr-2017 01:32
what.lisp.19	False	16.3 KiB	21-Apr-2017 01:32
words.lisp.1	False	5.0 KiB	21-Apr-2017 01:32
worm-trails.lisp.17	False	7.2 KiB	21-Apr-2017 01:32
worm-trails.lisp.18	False	7.2 KiB	21-Apr-2017 01:32
worm.lisp.11	False	5.3 KiB	21-Apr-2017 01:32
worm.lisp.12	False	5.4 KiB	21-Apr-2017 01:32
wormch.ast.1	False	607 B	21-Apr-2017 01:32
