name	is_dir	size	date
foo	True	-	21-Apr-2017 01:10
foo.lisp.1	False	2.2 KiB	21-Apr-2017 00:58
foo.lisp.2	False	16 B	21-Apr-2017 00:58
qrand.fbin.1	False	121.9 KiB	21-Apr-2017 00:58
qrand.fbin.2	False	132.0 KiB	21-Apr-2017 00:58
qrand.fbin.3	False	131.5 KiB	21-Apr-2017 00:58
qrand.fbin.4	False	130.0 KiB	21-Apr-2017 00:58
qrand.fbin.6	False	129.2 KiB	21-Apr-2017 00:58
qrand.fbin.7	False	129.2 KiB	21-Apr-2017 00:58
qrand.fbin.8	False	132.1 KiB	21-Apr-2017 00:58
qrand.fdef.1	False	10.2 KiB	21-Apr-2017 00:58
qrand.fdef.2	False	10.4 KiB	21-Apr-2017 00:58
qrand.fdef.3	False	10.4 KiB	21-Apr-2017 00:58
qrand.fdef.4	False	10.4 KiB	21-Apr-2017 00:58
qrand.fdef.6	False	10.4 KiB	21-Apr-2017 00:58
qrand.fdef.7	False	10.4 KiB	21-Apr-2017 00:58
qrand.fdef.8	False	10.4 KiB	21-Apr-2017 00:58
qrand.lisp.1	False	116.5 KiB	21-Apr-2017 00:58
qrand.lisp.2	False	116.5 KiB	21-Apr-2017 00:58
qrand.lisp.3	False	116.5 KiB	21-Apr-2017 00:58
qrand.lisp.4	False	116.5 KiB	21-Apr-2017 00:58
qrand.lisp.5	False	116.5 KiB	21-Apr-2017 00:58
qrand.lisp.6	False	116.5 KiB	21-Apr-2017 00:58
qrand.lisp.7	False	116.5 KiB	21-Apr-2017 00:58
qrand.lisp.8	False	116.5 KiB	21-Apr-2017 00:58
qrand.unfasl.1	False	1.2 MiB	21-Apr-2017 00:58
test.lisp.1	False	58 B	21-Apr-2017 00:58
test.lisp.10	False	670 B	21-Apr-2017 00:58
test.lisp.2	False	268 B	21-Apr-2017 00:58
test.lisp.3	False	292 B	21-Apr-2017 00:58
test.lisp.4	False	662 B	21-Apr-2017 00:58
test.lisp.5	False	663 B	21-Apr-2017 00:58
test.lisp.6	False	664 B	21-Apr-2017 00:58
test.lisp.7	False	665 B	21-Apr-2017 00:58
test.lisp.8	False	666 B	21-Apr-2017 00:58
test.lisp.9	False	669 B	21-Apr-2017 00:58
warm-files.lisp.1	False	8.5 KiB	21-Apr-2017 00:58
