name	is_dir	size	date
alpha	True	-	01-Oct-2023 18:33
amiga	True	-	01-Oct-2023 18:33
arm32	True	-	01-Oct-2023 18:33
atari	True	-	01-Oct-2023 18:33
hp300	True	-	01-Oct-2023 18:33
i386	True	-	01-Oct-2023 18:33
m68k	True	-	01-Oct-2023 18:33
mac68k	True	-	01-Oct-2023 18:33
macppc	True	-	01-Oct-2023 18:33
mvme68k	True	-	01-Oct-2023 18:33
next68k	True	-	01-Oct-2023 18:33
patches	True	-	01-Oct-2023 18:33
pc532	True	-	01-Oct-2023 18:33
pmax	True	-	01-Oct-2023 18:33
source	True	-	01-Oct-2023 18:33
sparc	True	-	01-Oct-2023 18:33
sun3	True	-	01-Oct-2023 18:33
vax	True	-	01-Oct-2023 18:33
x68k	True	-	01-Oct-2023 18:33
CHANGES-1.4.2	False	119.5 KiB	11-Mar-2000 17:13
LAST_MINUTE	False	4.5 KiB	29-Mar-2000 15:03
README.files	False	1.2 KiB	23-Mar-2000 09:36
