name	is_dir	size	date
BSDSUM	False	264 B	16-Mar-2000 07:58
CKSUM	False	367 B	16-Mar-2000 07:58
MD5	False	659 B	16-Mar-2000 07:58
SYSVSUM	False	268 B	16-Mar-2000 07:59
base.tgz	False	11.5 MiB	03-Mar-2000 23:16
comp.tgz	False	8.6 MiB	03-Mar-2000 23:18
etc.tgz	False	57.4 KiB	03-Mar-2000 23:18
games.tgz	False	2.8 MiB	03-Mar-2000 23:18
kern.tgz	False	859.0 KiB	16-Mar-2000 06:11
man.tgz	False	3.9 MiB	03-Mar-2000 23:19
misc.tgz	False	2.2 MiB	03-Mar-2000 23:20
text.tgz	False	1.2 MiB	03-Mar-2000 23:20
xbase.tgz	False	2.8 MiB	04-Mar-2000 00:43
xcomp.tgz	False	1.9 MiB	04-Mar-2000 00:44
xcontrib.tgz	False	188.3 KiB	04-Mar-2000 00:44
xfont.tgz	False	5.7 MiB	04-Mar-2000 00:44
xserver.tgz	False	1.7 MiB	04-Mar-2000 00:44
