name	is_dir	size	date
610040-02.dmk.gz	False	314.3 KiB	13-Oct-2004 18:12
c.1_non-src.dmk.gz	False	158.7 KiB	13-Oct-2004 18:04
c.1_src1.dmk.gz	False	197.2 KiB	13-Oct-2004 18:06
c.1_src2.dmk.gz	False	141.2 KiB	13-Oct-2004 18:09
c1_non-src.dmk.gz	False	158.7 KiB	13-Oct-2004 18:11
dp_d1.1_1.dmk.gz	False	177.6 KiB	13-Oct-2004 18:14
dp_d1.1_2.dmk.gz	False	99.8 KiB	13-Oct-2004 18:15
dp_d1.7_1.dmk.gz	False	187.1 KiB	13-Oct-2004 18:17
dp_d1.7_2.dmk.gz	False	24.7 KiB	13-Oct-2004 18:18
dp_g.3_bin.dmk.gz	False	149.3 KiB	13-Oct-2004 18:20
labels.txt	False	797 B	13-Oct-2004 18:26
