name	is_dir	size	date
9000-07.dmk.gz	False	80.6 KiB	10-Oct-2004 14:38
9001-07.dmk.gz	False	95.3 KiB	10-Oct-2004 14:41
9002-07.dmk.gz	False	147.2 KiB	10-Oct-2004 14:42
9003-07.dmk.gz	False	86.4 KiB	10-Oct-2004 14:43
9004-07.dmk.gz	False	157.2 KiB	10-Oct-2004 14:44
9005-07.dmk.gz	False	179.7 KiB	10-Oct-2004 14:45
9006-07.dmk.gz	False	188.0 KiB	10-Oct-2004 14:46
9007-07.dmk.gz	False	113.1 KiB	10-Oct-2004 14:47
9008-07.dmk.gz	False	142.1 KiB	10-Oct-2004 14:48
9009-07.dmk.gz	False	155.7 KiB	10-Oct-2004 14:33
9010-07.dmk.gz	False	102.3 KiB	10-Oct-2004 14:32
9011-07.dmk.gz	False	184.0 KiB	10-Oct-2004 14:40
9012-07.dmk.gz	False	89.1 KiB	10-Oct-2004 14:49
interleave.txt	False	715 B	10-Oct-2004 14:41
labels.txt	False	1.5 KiB	10-Oct-2004 14:59
