name	is_dir	size	date
ATXMODEM.DOC	False	8.4 KiB	11-Jun-2007 15:15
ATXMODEM.SYS	False	16.5 KiB	11-Jun-2007 15:15
ATXMODM2.DOC	False	15.8 KiB	11-Jun-2007 15:15
BBS-USE.DOC	False	2.9 KiB	11-Jun-2007 15:15
BBSINSTL.DOC	False	5.6 KiB	11-Jun-2007 15:15
BBSLIST.CMD	False	2.0 KiB	11-Jun-2007 15:15
BBSLIST.DBF	False	6.0 KiB	11-Jun-2007 15:15
BBSLIST.DOC	False	3.0 KiB	11-Jun-2007 15:15
BBSLIST.FRM	False	512 B	11-Jun-2007 15:15
BBSMAINT.CMD	False	2.5 KiB	11-Jun-2007 15:15
BBSSEARC.CMD	False	1.5 KiB	11-Jun-2007 15:15
BOARDS.LST	False	28.3 KiB	11-Jun-2007 15:15
BYE.SYS	False	1.8 KiB	11-Jun-2007 15:15
CALLERS	False	128 B	11-Jun-2007 15:15
CALLS.ASM	False	2.4 KiB	11-Jun-2007 15:15
CHAT.CPM	False	1.0 KiB	11-Jun-2007 15:15
CHGLIB.CPM	False	2.6 KiB	11-Jun-2007 15:15
COUNT.BAS	False	2.0 KiB	11-Jun-2007 15:15
COUNTERS	False	128 B	11-Jun-2007 15:15
DIALER.BAS	False	3.9 KiB	11-Jun-2007 15:15
MESSAGES	False	128 B	11-Jun-2007 15:15
PASSWORD.BAS	False	2.9 KiB	11-Jun-2007 15:15
PLINK.MAC	False	20.6 KiB	11-Jun-2007 15:15
PLINK65.DOC	False	4.0 KiB	11-Jun-2007 15:15
QXBULLA.SYS	False	17.0 KiB	11-Jun-2007 15:15
QXBULLB.SYS	False	17.0 KiB	11-Jun-2007 15:15
RBBSUTL.SYS	False	23.5 KiB	11-Jun-2007 15:16
RCPMDATA.18	False	12.9 KiB	11-Jun-2007 15:16
RCPMSYS.DOC	False	4.0 KiB	11-Jun-2007 15:16
RECV.CPM	False	768 B	11-Jun-2007 15:16
RIBBS.SYS	False	34.0 KiB	11-Jun-2007 15:16
SCRAMBL2.ASM	False	6.0 KiB	11-Jun-2007 15:16
SCRAMBLE.DOC	False	1.5 KiB	11-Jun-2007 15:16
SECRET.CTL	False	15.9 KiB	11-Jun-2007 15:16
SECURITY.ASM	False	4.3 KiB	11-Jun-2007 15:16
SECURSYS.DOC	False	9.4 KiB	11-Jun-2007 15:16
SEND.ASM	False	6.8 KiB	11-Jun-2007 15:16
SEND.CPM	False	896 B	11-Jun-2007 15:16
SEND.DOC	False	2.8 KiB	11-Jun-2007 15:16
SEND.MBS	False	512 B	11-Jun-2007 15:16
SEND.SUB	False	384 B	11-Jun-2007 15:16
SENDRECV.DOC	False	2.1 KiB	11-Jun-2007 15:16
SUMMARY	False	128 B	11-Jun-2007 15:16
USER-8#8.ASM	False	2.0 KiB	11-Jun-2007 15:16
USERS	False	128 B	11-Jun-2007 15:16
XMODEM.DOC	False	4.1 KiB	11-Jun-2007 15:16
XMODEM.SYS	False	1.0 KiB	11-Jun-2007 15:16
XMODEM74.MOD	False	3.3 KiB	11-Jun-2007 15:16
