name	is_dir	size	date
_Index	True	-	07-Jul-2024 15:54
Computer_Design_V02_N09_196310.pdf	False	31.3 MiB	21-Aug-2022 00:14
Computer_Design_V03_N04_196404.pdf	False	37.2 MiB	21-Aug-2022 00:14
Computer_Design_V03_N10_196410.pdf	False	41.7 MiB	21-Aug-2022 00:15
Computer_Design_V03_N11_196411.pdf	False	27.6 MiB	21-Aug-2022 00:15
Computer_Design_V04_N03_196503.pdf	False	41.9 MiB	21-Aug-2022 00:15
Computer_Design_V04_N05_196505.pdf	False	60.0 MiB	21-Aug-2022 00:16
Computer_Design_V04_N06_196506.pdf	False	38.5 MiB	04-Nov-2022 21:18
Computer_Design_V04_N07_196507.pdf	False	43.7 MiB	04-Nov-2022 21:18
Computer_Design_V04_N09_196509.pdf	False	47.9 MiB	04-Nov-2022 21:17
Computer_Design_V04_N10_196510.pdf	False	50.5 MiB	04-Nov-2022 21:17
Computer_Design_V04_N12_196512.pdf	False	40.5 MiB	04-Nov-2022 21:16
Computer_Design_V05_N02_196602.pdf	False	54.8 MiB	04-Nov-2022 21:16
Computer_Design_V05_N04_196604.pdf	False	60.4 MiB	04-Nov-2022 21:16
Computer_Design_V06_N01_196701.pdf	False	53.3 MiB	05-Jul-2020 08:19
Computer_Design_V06_N02_196702.pdf	False	54.8 MiB	05-Jul-2020 08:31
Computer_Design_V06_N03_196703.pdf	False	58.8 MiB	05-Jul-2020 08:44
Computer_Design_V06_N04_196704.pdf	False	63.3 MiB	05-Jul-2020 08:58
Computer_Design_V06_N05_196705.pdf	False	52.2 MiB	05-Jul-2020 09:09
Computer_Design_V06_N06_196706.pdf	False	54.1 MiB	05-Jul-2020 09:21
Computer_Design_V06_N07_196707.pdf	False	49.0 MiB	05-Jul-2020 09:32
Computer_Design_V06_N08_196708.pdf	False	47.4 MiB	05-Jul-2020 20:48
Computer_Design_V06_N09_196709.pdf	False	41.5 MiB	05-Jul-2020 20:59
Computer_Design_V06_N10_196710.pdf	False	66.8 MiB	05-Jul-2020 21:18
Computer_Design_V06_N10_196710_Fabritek_MT.pdf	False	2.4 MiB	05-Jul-2020 20:35
Computer_Design_V06_N11_196711.pdf	False	53.6 MiB	05-Jul-2020 21:32
Computer_Design_V06_N12_196712.pdf	False	63.6 MiB	05-Jul-2020 21:47
Computer_Design_V07_N01_196801.pdf	False	54.0 MiB	01-Jul-2020 06:37
Computer_Design_V07_N02_196802.pdf	False	14.0 MiB	28-Aug-2022 16:43
Computer_Design_V07_N03_196803.pdf	False	53.6 MiB	05-Jul-2020 22:19
Computer_Design_V07_N03_196803_Fundamentals_of_Time-Shared_Computers_Pt2.pdf	False	10.7 MiB	05-Jul-2020 20:33
Computer_Design_V07_N04_196804.pdf	False	17.2 MiB	28-Aug-2022 16:44
Computer_Design_V07_N05_196805.pdf	False	53.6 MiB	05-Jul-2020 22:33
Computer_Design_V07_N06_196806.pdf	False	56.5 MiB	05-Jul-2020 22:02
Computer_Design_V07_N07_196807.pdf	False	10.7 MiB	28-Aug-2022 16:44
Computer_Design_V07_N08_196808.pdf	False	14.1 MiB	28-Aug-2022 16:44
Computer_Design_V07_N11_196811.pdf	False	17.3 MiB	28-Aug-2022 16:44
Computer_Design_V07_N12_196812.pdf	False	55.6 MiB	05-Jul-2020 22:48
Computer_Design_V08_N01_196901.pdf	False	13.3 MiB	28-Aug-2022 16:44
Computer_Design_V08_N02_196902.pdf	False	59.6 MiB	05-Jul-2020 23:03
Computer_Design_V08_N03_196903.pdf	False	72.7 MiB	05-Jul-2020 23:21
Computer_Design_V08_N05_196905.pdf	False	16.1 MiB	28-Aug-2022 16:45
Computer_Design_V08_N07_196907.pdf	False	12.9 MiB	28-Aug-2022 16:45
Computer_Design_V08_N10_196910.pdf	False	19.0 MiB	28-Aug-2022 16:45
Computer_Design_V09_N03_197003.pdf	False	87.5 MiB	05-Jul-2020 23:48
Computer_Design_V14_N07_197507.pdf	False	141.9 MiB	16-Jun-2020 16:40
Computer_Design_V14_N08_197508.pdf	False	139.0 MiB	16-Jun-2020 17:41
Computer_Design_V14_N09_197509.pdf	False	151.0 MiB	16-Jun-2020 18:14
Computer_Design_V14_N10_197510.pdf	False	86.0 MiB	06-Jul-2020 10:56
Computer_Design_V14_N11_197511.pdf	False	86.4 MiB	06-Jul-2020 11:14
Computer_Design_V14_N12_197512.pdf	False	69.9 MiB	26-Jun-2020 15:52
Computer_Design_V14_N12_197512_Choosing_the_Correct_Flat_Cable_for_High_Speed_Logic_Circuits.pdf	False	265.6 KiB	16-Jun-2020 18:50
Computer_Design_V15_N02_197602.pdf	False	150.6 MiB	26-Jun-2020 16:44
Computer_Design_V15_N05_197605_NCC_25th.pdf	False	130.9 MiB	27-Jun-2020 09:29
Computer_Design_V15_N06_197606.pdf	False	136.0 MiB	26-Jun-2020 17:40
Computer_Design_V15_N07_197607.pdf	False	139.8 MiB	26-Jun-2020 18:38
Computer_Design_V15_N08_197608.pdf	False	144.2 MiB	26-Jun-2020 19:22
Computer_Design_V15_N09_197609.pdf	False	149.0 MiB	26-Jun-2020 20:11
Computer_Design_V15_N10_197610.pdf	False	93.3 MiB	26-Jun-2020 20:41
Computer_Design_V15_N10_197610_A_Method_of_High_Density_Recording_on_Flexible_Magnetic_Discs.pdf	False	2.0 MiB	26-Jun-2020 20:11
Computer_Design_V15_N11_197611.pdf	False	106.0 MiB	26-Jun-2020 21:16
Computer_Design_V15_N12_197612.pdf	False	90.3 MiB	26-Jun-2020 21:46
Computer_Design_V15_N12_197612_Group-Coded_Recording_Reliably_Doubles_Diskette_Capacity.pdf	False	2.3 MiB	26-Jun-2020 20:43
Computer_Design_V15_N12_197612_Putting_a_Microcomputer_On_a_Single_Chip.pdf	False	3.4 MiB	26-Jun-2020 20:42
